MACRO_FIELD_DATA_HISTORY_ID,EVENT_ID,BIOSAMPLE_COLLECT_METHOD_ID,BIOSAMPLE_COLLECT_METHOD_ID_NOTE,MFDH_EPHEMEROPTERA_IND,MFDH_PLECOPTERA_IND,MFDH_TRICHOPTERA_IND,MFDH_COLEOPTERA_IND,MFDH_MEGALOPTERA_IND,MFDH_ODOFALSEATA_IND,MFDH_CHIROFALSEOMIDAE_IND,MFDH_SIMULIIDAE_IND,MFDH_DECAPODS_IND,MFDH_GAMMARIDAE_IND,MFDH_MOLLUSCA_IND,MFDH_OLIGOCHAETA_IND,MFDH_TIPULIDAE_IND,MFDH_OTHERS_IND,MFDH_OTHER,MFDH_FIELD_WATER_QLTY,MFDH_HABITAT,MFDH_LGS_HABITAT_BANK,MFDH_LGS_HABITAT_MACROPHYTE,MFDH_LGS_HABITAT_SNAG,MFDH_LGS_HABITAT_SUBSTRATE,MFDH_BOTTOM_TYPE,MFDH_DOMINANT_SUBSTRATE,MFDH_WATER_CLARITY_DRIVER,MFDH_MACRO_COMMENT,CREATE_DATE,END_DATE,UPDATE_DATE,UPDATED_BY_GUID
6419,13-LSAG_T1-0.1_20100721,Kick: Standard,,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Very good,Other (describe,,,,,,,,"Large boulders tough to find place to kick, logger upstream of road 75 m at large bedrockb area on right bank just at waters edge, tape marker, natural dark organic silt",,,,
6428,12-MCQU-2.7_20100727,Kick: Standard,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Very good,Adequate,,,,,,,,"Agriculture, Forest",,,,
6430,12-SCHU-2.9_20100727,Kick: Standard,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Tipulidae,Good,Adequate,,,,,,,,"Very low flow, not much area to kick",,,,
6443,12-MOYR-5.1_20100728,Kick: Standard,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Very good,Adequate,,,,,,,,Forest,,,,
6455,12-CAYA_T3-0.7_20100729,Kick: Standard,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Very good,Adequate,,,,,,,,"Check for reference looks very good, close to ag but buffered, small, low elevation hg stream",,,,
6463,12-MATT-0.4_20100729,Kick: Standard,,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Good,Adequate,,,,,,,,Not a nice site but decent bugs,,,,
6465,12-OTSQ-2.4_20100729,Kick: Standard,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Good,Adequate,,,,,,,,Agriculture,,,,
6496,09-SCKE-14.4_20100817,Kick: Standard,,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,Good,"Low Flow, Swamp",,,,,,,,Agriculture,,,,
6502,09-LSAL-3.1_20100818,Kick: Standard,,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Good to poor,Adequate some b,,,,,,,,"Residential, Agriculture",,,,
6573,14-BSHR-3.7_20100922,Kick: Standard,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,"Impoundment, Low Flow, Wetland",Wetland,,,,,,,,"Residential, Agriculture",,,,
6577,14-PINE-0.2_20100922,Kick: Standard,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,Tipulidae,Very good,"Adequate, Low F",,,,,,,,"Residential, Commercial",,,,
6839,11-PAUL-2.4_20120702,Kick: Standard,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Very good,Adequate,,,,,,,,"Very nice site, beautiful invertebrate community.",,,,
