BAS_LOC_RM,TOC_Percent
01-BLKE-0.1,5.1793
01-FISN-2.4,7.4297
01-GOTC-0.2,0.9843
01-LSIS-2.0,4.1916
01-PLUT_N_T4-1.0,7.2
01-STYB_T5-0.3,17.8641
03-BEAG-1.8,2.5316
03-CHMO-8.6,15.1013
03-EMIL_E_T6-0.4,3.7807
03-FOMI_S-0.1,2.5253
03-FOMI-5.5,4.3137
03-GUFF-1.8,3.5842
03-JEDO_T3-0.4,1.8
03-JOHN-13.7,7.4236
03-LSAM_N-7.9,1.4028
03-MIDL-2.4,8.7209
03-SAND_T21-4.0,3.6145
03-TELV-12.8,8.9463
03-YANT_T1c-0.2,1.4257
04-BLAK_T7-3.0,7.5949
04-JCOX-4.6,5.2224
04-SPRG-10.1,14.0206
05-CAMB-11.2,6.4516
05-WINI_T2-1.2,2.7864
06-FABS-5.0,7.3814
06-FLYS-0.7,18.4466
06-MADB-0.1,2.2648
06-NING-7.7,10.1392
07-BUTL-3.5,2.621
07-HARB-0.5,0.6525
07-MUDE-4.4,4.1667
07-MUSK-0.5,19.5519
07-ONON_W_T7-1.5,5.5102
07-POBK_T4-1.5,2.8112
07-WBOT-0.3,6.841
08-BARE_T5-0.5,2.0677
08-BLAC-2.5,0.5102
09-ALLE-1.9,0.9836
09-BLCH-0.2,5.2336
09-CEDL-0.1,23.4086
09-ENGL-17.6,7.6321
09-FARR-3.1,2.1869
09-LSUK-11.3,5.915
09-TRAY-2.9,1.3944
10-ARNO-0.1,0.53
10-COLW-0.7,0.2004
10-MILC-6.3,0.5068
10-NSAR_T7-0.8,39.0625
10-PUTM_T5-0.3,3.1936
10-TWOB-3.6,1.2903
10-URIL-0.4,0.9381
11-GORN-6.0,8.9069
11-SRUN-3.8,2.1825
12-ALPL_T11-2.1,6.6132
12-TEET-0.8,2.1739
13-QKER-1.0,33.6152
13-SPRO-9.2,6.3717
13-WALK_T25-1.5,8.9069
13-WBLKK-8.9,6.11
14-HURL-2.8,1.7928
14-WLAK-5.8,2.3762
15-HACK-3.3,10.5906
15-MAWA-3.7,1.1952
15-RAMA-13.7,3.0596
16-AMEN_T2-1.1,2.8099
16-BOGH-0.3,6.4579
16-WEBA_T4-1.3,3.6458
16-WEBA-23.3,3.2129
17-BRWN-0.9,2.2609
17-BVDC-0.4,1.751
17-CARL-0.8,0.3339
17-CARM-12.9,3.9106
17-CARM-9.0,1.0703
17-GREN-0.8,1.5314
17-MASS-1.2,1.4311
17-MBUR-2.1,0.8
17-MUDL-1.4,1.5968
17-NISS_E-2.6,0.6048
17-NISS-4.7,2.5641
17-PECN-8.9,1.8762
17-SAMP-2.1,0.7937
