BAS_LOC_RM,Grainsize_total_phi
01-GOTC-0.2,2.2
01-LSIS-2.0,1.4
01-PLUT_N_T4-1.0,1.19
01-STYB_T5-0.3,2.65
03-BEAG-1.8,1.55
03-EMIL_E_T6-0.4,1.2
03-FOMI_S-0.1,1.77
03-FOMI-5.5,1.06
03-GUFF-1.8,1.6
03-HRTB-2.2,2.05
03-JEDO_T3-0.4,1.27
03-JOHN-13.7,1.59
03-LSAM_N-7.9,3.02
03-MIDL-2.4,1.38
03-SAND_T21-4.0,1.98
03-YANT_T1c-0.2,1.83
04-JCOX-4.6,1.31
05-WINI_T2-1.2,1.41
06-FABS-5.0,1.53
06-FLYS-0.7,1.74
06-MADB-0.1,1.37
06-NING-7.7,1.32
07-BUTL-3.5,3.17
07-MUDE-4.4,1.62
07-MUSK-0.5,1.2
07-ONON_W_T7-1.5,1.18
07-POBK_T4-1.5,1.89
08-BARE_T5-0.5,1.86
08-BLAC-2.5,2.38
09-ALLE-1.9,2.09
09-BLCH-0.2,2.36
09-ENGL-17.6,1.26
09-FARR-3.1,2.52
09-LSUK-11.3,1.74
09-TRAY-2.9,2.39
10-ARNO-0.1,2.43
10-COLW-0.7,2
10-MILC-6.3,1.5
10-PUTM_T5-0.3,2.35
10-TWOB-3.6,2.77
10-URIL-0.4,1.73
11-GORN-6.0,2.24
11-SRUN-3.8,2.72
12-ALPL_T11-2.1,1.48
12-TEET-0.8,1.39
13-QKER-1.0,1.26
13-SPRO-9.2,1.67
13-WALK_T25-1.5,2.24
14-HURL-2.8,2
14-WLAK-5.8,2.51
15-HACK-3.3,2.39
15-MAWA-3.7,1.74
15-RAMA-13.7,1.58
16-AMEN_T2-1.1,1.51
16-BOGH-0.3,1.88
16-WEBA_T4-1.3,1.18
16-WEBA-23.3,1.08
17-BRWN-0.9,1.56
17-BVDC-0.4,1.5
17-CARL-0.8,1.05
17-CARM-12.9,2
17-CARM-9.0,1.73
17-GREN-0.8,1.38
17-MASS-1.2,1.41
17-MBUR-2.1,1.3
17-MUDL-1.4,2.01
17-NISS_E-2.6,1.79
17-NISS-4.7,1.57
17-PECN-8.9,2.17
17-SAMP-2.1,1.88
17-TERR-0.2,1.48
