BASIN,LOCATION,RIVMILE,STATION,COLL_DATE,NAME,CREW,ARRIVETIME,WIDTH,DEPTH,CUR_SPD,TEMP,COND,DO,PERCENT_SAT,PH,CANOPY,SALINITY,SECCHI,EMBEDD,ROCK,RUBBLE,GRAVEL,SAND,SILT,CLAY,ALGAE_S,ALGAE_FIL,ALGAE_D,THICKNESS_D,MACRO,LGS_HAB_BNK,LGS_HAB_MAC,LGS_HAB_SNG,LGS_HAB_SUB,BOTTOM_TYPE,DOM_SUBSTRATE,WTRCLR_DRIVER,PHT_ID_UP,PHT_ID_DWN,EPHEM,PLECOP,TRICH,COLEOP,MEGALOP,ODONATA,CHIR,SIMUL,DECAPOD,GAMMAR,MOLLUSK,OLIGO,OTHERS,FIELD_WQA,HABITAT,NOTES,LANDUSE,SAMP,ORG_FOR_TOXICS,MICROTOX,HAB_PRESENT,PROJECT
01,BMAN,0.3,,8/4/2015,,JL/JD,4:03:00 PM,2.5,0.2,50,20.8,1820,9.8,110.5,7.88,29,,,20,40,50,8,2,,,1,1,100,3,,,,,,,,,14393100660001.jpg,14393100660002.jpg,1,0,1,0,0,0,1,1,1,1,1,1,Leeches,Poor,Other,,Agriculture,Sampled,0,1,,RIBS_Scr
01,CYGA,2.4,,8/4/2015,,Heitzman Pratt,3:55:00 PM,3,0.1,30,22.1,1,8.55,98.1,8.12,80,,,,5,50,30,,15,,1,1,40,0,,,,,,,,,14392988320019.jpg,14392988320020.jpg,0,0,1,0,0,0,0,0,1,0,0,0,,Very poor,Low flow,,Residential,Sampled,0,0,,RIBS_Int
01,DURK,2.7,,8/4/2015,,Duffy Mosher,1:49:00 PM,1,0.1,,21.2,304,6.3,,7.6,92,0.14,,30,5,60,35,0,0,,0,0,100,1,0,,,,,,,,14389704440015.jpg,14389704440016.jpg,1,1,1,1,0,0,0,0,0,0,0,0,"Fish, tipulid",Very good,Adequate,"Very little water, narrow riffle",Residential,Sampled,,0,,RIBS_Scr
01,ELEV,0.2,,8/4/2015,,Duffy Mosher,1:12:00 PM,1,0.1,25,17.9,645,6.6,,7.3,92,,,20,0,55,40,0,5,,0,0,100,1,0,,,,,,,,14389704440017.jpg,14389704440018.jpg,1,0,1,1,0,1,0,0,1,0,0,0,Atherix,Good,Adequate,,Residential,Sampled,,0,,RIBS_Scr
01,ELLI,22.9,,8/4/2015,,Heitzman Pratt,1:07:00 PM,6,0.388,70,23.7,1,7.78,,7.99,16,,,30,10,10,50,10,10,,0,0,80,1,30,,,,,,,,14389704440019.jpg,14389704440020.jpg,1,0,1,1,0,0,1,1,1,1,1,0,,Good,Adequate,Hydro lab dead before starting,Agricultural Residential,Sampled,0,0,,RIBS_Scr
01,ELLI,7.1,,8/4/2015,,Duffy Mosher,4:45:00 PM,30,0.2,71,23.8,1691,10.5,,7.9,,,,50,50,15,5,5,25,,0,0,100,3,0,,,,,,,,14392988320023.jpg,14392988320024.jpg,1,0,1,1,0,1,0,0,1,0,0,0,Hirudinia,Poor,Adequate,Outflow upstream. Green odonates and weird crayfish,Residential recreation,Sampled,,0,,RIBS_Int
01,FISN,2.4,,8/4/2015,,Heitzman Pratt,5:03:00 PM,4,0.3,0,20.8,2.132,2.27,25.5,7.4,100,,,,,,,,,,1,1,,,100,0,2,0,2,Very soft,Clay,Turb,14392991020003.jpg,14392991020004.jpg,,,,,,,,,,,,,,,,.,agricultural,Sampled,,,,RIBS_Scr
01,GILL,0.3,,8/4/2015,,Heitzman Pratt,5:45:00 PM,4,0.7,30,24.4,0.476,11.74,1.4,8.8,,,,,,,,,,,0,0,,,,,,,,,,,14392988320029.jpg,14392988320030.jpg,,,,,,,,,,,,,,,,,,Sampled,,,,RIBS_Scr
01,GOTC,0.2,,8/4/2015,,Duffy Mosher,4:12:00 PM,3,0.2,29,21.5,2108,12.5,142,7.8,10,,,,,,,,,,0,0,,,80,0,2,1,2,Very soft,Silt,Turb,14389715920003.jpg,14389715920004.jpg,,,,,,,,,,,,,,,,"Big Odonata, nasty site, channelized behind condos",Forest residential,Sampled,,,,RIBS_Scr
01,GUNC,0.7,,8/4/2015,,Heitzman Pratt,7:00:00 PM,3,0.3,10,16.611,2,5.475,55.1,7.3,81,,,30,,20,45,25,10,,0,0,0,,70,,,,,,,,14392988320031.jpg,14392988320032.jpg,0,0,0,0,0,0,0,0,0,1,1,0,Isopod,Poor,Low flow,,,Sampled,0,0,,RIBS_Scr
