NewID,Location,Station,Direct,Name,Basin,Descript,Lat,Long,Lat/Long,Date_FieldData,Time,Bank,Macrophyte,Crew,Snags,Substrate,Reference?,% Macrophyte,Depth,Bottom type,Width,Dominant substrate,Current,Riffle present,% slope,Canopy,Land use,Temp,Algae filamentous,Algae suspended,Conduct,Notes,pH,DO,Photo,Photo_2,%Sat,ChlA,Water Clarity Driver,Sample Type
BARK-0.6,BARK,0.6,,Barker Creek,MOHK,,42.93544,-75.48775,,42235,0.456944444,2,2,JL/JD,1,2,No,60,0.25,Soft,1,Sand,15,Yes,50,,Forest; res.,17.3,1,0,604,Net jab,7.55,7.58,14401631630001.jpg,14401631630002.jpg,79,,,Low gradient
BEAG-1.8,BEAG,1,,bald Eagle creek,ONT,,43.354688,-78.018375,,7/22/2015,9:26,2,2,JL/JD,2,2,No,10,1,Soft,4,Sand,2,No,,96,AG,19,1,1,820,Nearly still water,7.78,4.69,14377589820009.jpg,14377589820010.jpg,49,,Turb,Low gradient
BERO-4.4,,,,,,,43.235727,-77.272173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLKE-0.1,BLKE,1,Swormville,Black Creek,1,Smith Rd Bridge,43.05018,-78.7117,,8/3/2015,Filled in mostly from memory,1,1,Heitzman Pratt ,0,2,No,10,0.3,Hard,,Gravel,,Yes,,,,,0,0,,,,,14392991020001.jpg,14392991020002.jpg,,,DOC,Low gradient
BRND-2.5,BRND,2.5,Waddington,Brandy Brook,9,CR 44/Franklin Rd bridge,44.84972,-75.16417,44.84970 -75.16421,9/22/2015,10:38,2,2,Duffy; Lope; Heitzman ,1,2,No,10,0.5,Hard,12,Silt,0.1,No,,35,Residential ,13.9,1,1,309,,7.7,11,14431838420001.jpg,14431838420002.jpg,107,,Turb,Low gradient
BUTL-01,BUTL,1,,,,,43.131,-76.755,43.13153 -76.75486,7/7/2015,13:23,2,2,Duffy RSmith ,2,2,No,,0.8,Very soft,8,Silt,0.2,No,,80,Ag ,22.1,1,1,610,Site deep and soft bottomed like all sites for this Syracuse area trip. Evidence of r cent high flow,7.8,7.2,14363970980035.jpg,14363970980036.jpg,82,3.1,Turb,Low gradient
CHMO-10.1,CHMO,8,Depauville,Chaumont River,3,Upstream of Zang Rd. bridge,44.17514,-76.01524,44.17514 -76.01524,7/21/2015,16:56,2,2,A. Smith; R. Smith,1,2,No,30,0.5,Hard,15,Sand,10,Yes,,2,Agricultural ,28,1,1,524,In addition to sand there was quite a bit of gravel; almost 50%.,8,6.2,14377607730007.jpg,14377607730008.jpg,79,,Susp Algae,Low gradient
CHMO-8.0,CHMO,10,LaFargeville,Charming River,3,0.25 mile SE off CR 11; behind snowmobile club ,44.15677,-76.04068,44.15677 -76.04068,7/21/2015,16:23,2,2,A. Smith; R. Smith,2,2,No,100,1,Very soft,15,Clay,10,No,,0,Agricultural ,23,1,1,506,Very little flow; had to move the site upstream from original coordinates due to access,7.2,1.2,14377607730005.jpg,14377607730006.jpg,13,,Susp Algae,Low gradient
FISN-2.5,FISN,1,,,,,43.15813,78.9798,,8/4/2015,17:03,0,2,Heitzman Pratt ,0,2,,100,0.3,Very soft,4,Clay,0,No,,100,Field,20.8,1,1,2.132, .,7.4,2.27,14392991020003.jpg,14392991020004.jpg,25.5,,Turb,Low gradient
FOMI-5.7,FOMI,0,Lewiston,Fourmile Creek,3,Pletcher Rd upstream,43.20913,-79.02636,43.20913 -79.02636,7/21/2015,12:45,2,2,Heitzman; Novak,0,2,No,50,0.2,Soft,2,Clay,15,No,,44,Agricul; open fields,21.8,1,0,908,Scuds; Isopoda; crayfish; damsels,7.4,4.7,14377645430001.jpg,14377645430002.jpg,54,,Turn,Low gradient
FOMI_S-0.1,FOMI ,S-1,,,,,43.23088,-79.0166,43.23088 -79.01660,7/21/2015,13:45,2,0,heitz novak,2,2,No,0,0.2,,3,Clay,0,No,,88,Rural residential,23,0,0,834,,7.7,6,14377645430003.jpg,14377645430004.jpg,71,,Turn,Low gradient
GHIL-1.5,,,,,,,43.36561,-78.49772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GILL-0.3,GILL,1,,Gill creek ,1,,43.08289,-79.0251,,8/4/2015,17:45,,,Heitzman Pratt ,,,No,,0.7,,4,,0.3,,,,,24.4,0,0,0.476,,8.8,11.74,14392991020005.jpg,14392991020006.jpg,1.4,,,
GOTC-0.2,GOTC,1,,,ERIE,,43.03406,-78.70723,,8/4/2015,16:12,0,2,Duffy Mosher,1,2,No,80,0.2,Very soft,3,Silt,29,No,10,,Forest residential condos,21.5,0,0,2108,Big Odonata; nasty site; channelized behind condos,7.8,12.5,14389715920003.jpg,14389715920004.jpg,142,,Turb,Low gradient
GUFF-1.8,GUFF,1,Chaumont,Guffin CreeK,3,0.4 miles east off SR 12E; 100 m upstream of abandoned railroad bridge behind farm,44.05243,-76.09331,44.05243 -76.09331,7/21/2015,14:34,2,2,A. Smith; R. Smith,2,2,No,100,0.3,Very soft,5,Clay,10,No,,2,Agricultural ,24.6,1,0,373,Impounded by beaver dam so there is very little flow if any. Filamentous algae and macrophytes cover the entire surface area of the water.,6.9,1.7,14377607730003.jpg,14377607730004.jpg,20,,Turb,Low gradient
HARB-0.5,HARB,2,,,,,43.0561,-76.1853,43.05560 -76.18438,7/7/2015,10:39,2,2,Bduffy; Rsmith,,2,No,40,0.8,Very soft,3,Silt,10,No,,30,Urban,14.49,0,0,2085,High flood event caused trash to be present on stream bank plants. May have caused water to be very turbid as well.,7.61,10.25,14363970980031.jpg,14363970980032.jpg,99.6,0.06,Turb,Low gradient
HRBT-2.2,HRTB,1,Adams Center,Hart Brook,3,50m upstream of Rte 11 bridge,43.8386,-76.01513,43.83860 -76.01513,7/21/2015,12:53,2,2,A. Smith; R. Smith,2,2,No,20,0.2,Soft,3,Sand,70,No,,,Agricultural and residential ,22,0,0,718,Small; shallow low gradient stream with exposed roots from riparian vegetation.,7.7,7.1,14377607730001.jpg,14377607730002.jpg,80,,Turb,Low gradient
IRON-08,,,,,,,43.008782,-77.485466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEWT-3.1,JEWT,3.1,Redwood,Jewett Creek,9,Stine Rd. off of Rte 37,44.33389,-75.79028,44.33365 -75.79031,9/23/2015,10:15,2,2,Lope; Duffy; Heitzman; Kate Smith,,2,No,10,1,Hard,20,Gravel,0,No,,10,Agricultural ,13.4,1,1,350,No sediment sample; hard bottom No tissue,7,3.4,14431838420013.jpg,14431838420014.jpg,34,,Turb,Low gradient
JOHN-12.7,JOHN,0,,Johnson Creek,ONT,,43.305897,-78.409278,,7/21/2015,14:53,2,1,JL/JD,2,2,No,10,3,Very soft,15,Silt,5,No,,86,AG,25,1,1,694,Net Jab too deep to center,8.13,6.6,14377589820007.jpg,14377589820008.jpg,82.7,,Turb,Low gradient
LGSS-01,LGSS,9.72,,,,,42.9904,-76.2368,42.99067 -76.23750,7/3/2015,14:54,2,2,RSmith; JLopsberger ,,2,No,40,0.15,Soft,0.5,Silt,,No,,2,Wetlands; agriculture,19.47,0,0,817,,7.79,8.04,14359571840011.jpg,14359571840012.jpg,87.4,1.02,Turn,Low gradient
