NewID,total phi
BEAG-1.8,1.55
BUTL-01,3.17
CHMO-10.1,1.29
FOMI-5.7,1.06
FOMI_S-0.1,1.77
GOTC-0.2,2.20
GUFF-1.8,1.60
HRBT-2.2,2.05
JOHN-12.7,1.59
LGSS-01,1.18
LGSS-02,1.27
LGSS-03,1.20
LGSS-04,1.51
LGSS-05,1.31
LGSS-06,1.19
LGSS-09,2.65
LGSS-11,1.62
LGSS-12,2.24
LGSS-13,1.74
LGSS-14,1.58
LGSS-15,2.72
LGSS-16,2.24
LGSS-17,1.74
LGSS-18,1.41
LGSS-19,1.18
LGSS-20,1.67
LGSS-21,1.37
LGSS-22,2.52
LGSS-23,1.48
LGSS-25,1.56
LGSS-26,1.50
LGSS-27,2.51
LGSS-28,1.05
LGSS-29,2.00
LGSS-30,1.73
LGSS-31,2.00
LGSS-32,1.38
LGSS-33,1.41
LGSS-34,1.74
LGSS-35,1.30
LGSS-36,1.50
LGSS-38,1.79
LGSS-39,1.57
LGSS-40,2.17
LGSS-41,1.88
LGSS-42,1.48
LGSS-43,1.73
LGSS-R01,1.32
LSIS-2.0,1.40
0,2.01
MUSK-01,1.20
LGSS-R02,1.98
LGSS-R03,1.86
LGSS-R04,1.26
LGSS-R06,2.77
LGSS-R07,2.35
LGSS-R08,1.39
LGSS-R09,1.88
LGSS-R10,1.08
LGSS-T01,1.53
LGSS-T02,2.38
LGSS-T04,2.09
LGSS-T05,2.36
LGSS-T07,2.39
LGSS-T08,2.43
LGSS-T09,1.26
LGSS-T11,2.00
LGSS-T12,2.39
MIDL-2.5,1.38
NLSM-7.9,3.02
POBK-01,1.89
PECN-01,1.83
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
