NewID,Date_Habitat,Biological Sample,Epifaunal Substrate/Available Cover,Pool Substrate Characterization,Pool Variability,Sediment Deposition,Channel Flow Status,Channel Alteration,Channel Sinuosity ,LB Stability,RB Stability,LB Vegetative Protection,RB Vegetative Protection, LB Riparian Zone Width, RB Riparian Zone Width,Comments,Site Type
LGSS-R03,6/19/2015,Yes,16,17,17,18,18,18,17,10,10,10,10,10,10,,LGSS
LGSS-R08,6/19/2015,Yes,17,17,16,15,19,18,11,9,9,9,9,7,10,,LGSS
LGSS-T10,6/18/2015,Yes,17,16,16,4,20,19,10,9,9,10,10,10,9,,LGSS
LGSS-23,6/18/2015,Yes,16,13,3,16,17,13,6,9,9,9,8,9,9,,LGSS
LGSS-16,6/18/2015,Yes,18,15,13,6,14,20,18,9,9,9,9,10,10,Very good epifaunal condition. Sampled 25 yards upstream of bridge.,LGSS
LGSS-15,6/18/2015,Yes,16,4,8,16,17,16,17,7,8,8,8,9,4,,LGSS
LGSS-24,6/15/2015,Yes,17,15,16,14,18,18,18,9,9,9,9,9,9,,LGSS
LGSS-18,6/15/2015,Yes,10,6,5,14,16,12,6,4,7,6,7,4,7,,LGSS
LGSS-28,6/25/2015,Yes,12,13,15,19,15,10,4,8,10,6,4,4,3,,LGSS
LGSS-38,6/26/2015,Yes,7,7,11,9,14,15,12,9,7,8,8,5,8,,LGSS
LGSS-37,6/25/2015,Yes,14,10,10,18,18,16,18,8,8,9,9,8,8,Another sandy LI site,LGSS
LGSS-30,6/26/2015,Yes,14,18,14,16,20,14,12,10,10,10,10,10,10,,LGSS
LGSS-26,6/25/2015,Yes,16,15,4,10,13,15,11,8,7,5,10,7,5,,LGSS
LGSS-29,6/26/2015,Yes,20,14,14,10,20,19,14,9,9,10,8,10,10,Very swampy with distinct flow,LGSS
LGSS-40,6/25/2015,Yes,19,16,19,12,18,17,18,10,8,10,10,10,10,,LGSS
LGSS-25,6/25/2015,Yes,19,18,17,18,20,13,12,8,5,10,10,9,2,,LGSS
LGSS-32,6/25/2015,Yes,10,6,6,11,18,14,4,10,10,10,10,10,10,,LGSS
LGSS-32,,,,,,,,,,,,,,,,,LGSS
LGSS-39,6/26/2015,Yes,10,13,13,15,18,14,10,5,8,6,5,2,3,,LGSS
LGSS-41,6/25/2015,Yes,4,7,6,7,14,13,12,8,6,8,5,7,2,Definite site habitat issues here,LGSS
LGSS-33,6/24/2015,Yes,16,0,8,10,20,15,15,10,10,10,10,10,10,Park site ,LGSS
LGSS-35,6/24/2015,Yes,8,14,7,12,18,17,18,7,7,4,4,10,10,All knotweed but good riparian,LGSS
LGSS-42,6/25/2015,Yes,8,17,0,18,20,17,18,10,10,10,10,10,10,,LGSS
LGSS-R09,6/30/2015,Yes,17,12,15,5,19,20,13,9,9,10,10,10,10,,LGSS
LGSS-R10,6/30/2015,Yes,15,16,16,8,19,16,12,9,9,9,9,9,9,,LGSS
LGSS-04,6/30/2015,Yes,8,10,11,13,19,18,5,9,9,8,0,7,0,,LGSS
LGSS-19,6/30/2015,Yes,15,16,14,15,17,18,10,9,9,9,7,7,9,,LGSS
LGSS-20,6/30/2015,Yes,10,10,6,14,18,18,6,6,6,6,6,5,5,,LGSS
LGSS-T01,7/3/2015,Yes,19,12,18,7,19,19,16,9,9,9,9,9,9,Near culvert it is very silty. 30 meters up it becomes more gravel bottomed,LGSS
LGSS-01,7/3/2015,Yes,14,8,6,9,19,19,8,9,9,6,10,4,10,,LGSS
LGSS-11,7/3/2015,Yes,14,18,15,17,19,14,15,9,9,6,9,2,8,,LGSS
LGSS-21,7/3/2015,Yes,15,13,13,16,19,18,10,10,10,5,6,5,5,0,LGSS
LGSS-17,7/3/2015,Yes,13,8,14,3,18,18,18,9,9,9,7,9,7,Very sinuous. Extremely large amount of macrophytes in center channel. Look at photograph for site.,LGSS
LGSS-02,7/8/2015,Yes,16,5,5,15,18,17,6,8,8,7,7,3,3,,LGSS
LGSS-03,7/8/2015,Yes,11,5,2,17,14,7,3,8,7,3,3,2,1,Thick mats of filamentous algae covered most of the substrate.,LGSS
LGSS-05,7/8/2015,Yes,8,3,5,15,19,19,5,8,8,8,8,8,8,,LGSS
