NewID,WATER,DEVEL,NATURAL,FARM,WETLAND,Nat+Wetl,ELEV_M,SLOPE_PCT,DRNAREA,Condition
LGSS-R08,0.5,0.2,95.5,0.0,3.8,99.3,572.09991,16.8962,3.067196,Ref
LGSS-R05,0.5,0.3,96.9,0.0,2.3,99.2,444.70019,9.50351,1.934256,Ref
LGSS-T05,1.5,0.6,77.9,0.3,19.7,97.6,275.15523,5.5917,12.156388,Ref
PLMB_T-0.1,2.6,0.4,88.1,0.1,8.7,96.8,357.81723,8.27328,15.310997,Ref
LGSS-R09,1.0,2.3,88.8,0.3,7.6,96.4,253.07673,22.45499,3.389514,Ref
LGSS-36,2.6,1.2,93.5,0.2,2.5,95.9,441.56939,19.73828,9.082127,Ref
LGSS-R07,0.1,0.8,79.9,4.1,15.0,94.9,351.17168,14.86743,2.309509,Ref
NLSM-7.9,3.4,0.4,83.9,1.7,10.6,94.5,192.44908,5.1669,16.979074,Ref
LGSS-R02,1.1,0.5,61.1,3.9,33.4,94.5,453.58743,3.39978,1.054329,Ref
LGSS-R04,3.3,2.4,37.2,0.5,56.7,93.9,339.86804,1.64763,1.109966,Ref
LGSS-31,1.2,2.7,90.3,2.6,3.3,93.5,253.36065,17.52933,12.14021,Ref
LGSS-R03,6.7,1.1,83.4,0.0,8.8,92.2,466.01907,6.04762,5.922189,Ref
PIKC-8.7,3.2,0.1,47.8,6.0,42.9,90.6,78.18851,1.52764,10.546689,Ref
LGSS-R06,0.3,7.6,80.8,1.6,9.7,90.5,506.72229,6.44522,17.352937,Ref
LGSS-T06,6.0,0.8,74.3,4.0,14.9,89.2,224.22938,11.954,4.756199,Ref
LGSS-T02,0.4,0.4,84.9,10.3,4.0,88.9,365.06191,5.77209,17.647649,Ref
LGSS-R01,0.3,1.0,83.4,9.9,5.4,88.8,472.70623,16.98836,7.853472,Ref
TQUA-01,2.9,7.3,77.7,5.2,7.0,84.7,415.75816,8.90241,21.027625,Ref
LGSS-18,0.0,7.8,82.3,8.5,1.5,83.8,424.964,14.58417,5.444697,Ref
LGSS-13,0.7,3.0,51.7,12.9,31.7,83.4,102.49834,1.65977,1.576687,Ref
LGSS-16,0.0,5.9,41.6,11.3,41.2,82.8,145.78407,3.55639,0.077259,Ref
LGSS-27,7.6,7.7,75.4,3.8,5.5,80.9,412.24106,6.36963,6.840688,Ref
LGSS-T07,0.9,2.4,65.2,18.1,13.5,78.6,158.84133,3.16986,12.15411,Ref
LGSS-23,0.9,4.3,50.9,16.6,27.4,78.3,188.35632,3.80389,0.963788,Ref
LGSS-43,0.0,5.3,66.5,16.4,11.8,78.3,174.35571,4.26155,13.201914,Ref
LGSS-T11,2.6,11.5,68.2,8.3,9.4,77.7,450.12458,7.00213,4.415619,Ref
LGSS-T04,0.2,0.9,61.2,24.2,13.4,74.6,196.29396,2.66196,10.187576,Test
LGSS-R10,0.6,4.0,62.0,21.0,12.3,74.3,351.11954,16.672,6.271689,Test
LGSS-22,0.4,2.8,65.0,23.0,9.0,73.9,209.36883,3.9806,19.801558,Test
BRND-2.5,0.4,2.5,37.1,24.5,35.6,72.6,99.18821,1.73063,34.434637,Test
LGSS-34,0.2,30.3,62.0,0.0,7.5,69.5,206.04114,13.06134,13.178053,Test
LGSS-T08,0.0,3.9,68.0,26.6,1.4,69.4,179.08503,4.52739,11.075418,Test
LGSS-T10,0.5,5.1,53.9,25.8,14.7,68.6,171.74408,10.55914,6.527984,Test
LGSS-15,0.0,33.0,11.4,0.0,55.5,67.0,72.35034,1.51994,0.193514,Test
LGSS-21,0.2,3.3,63.7,29.8,3.0,66.7,464.55021,13.38035,6.900649,Test
FISN-2.4,0.0,4.6,33.6,30.0,31.7,65.3,191.56293,1.11563,2.537116,Test
LSIS-2.0,0.3,12.2,48.8,22.6,16.1,64.9,214.7736,1.48145,6.63281,Test
LGSS-20,0.7,12.1,57.3,23.6,6.4,63.7,176.21219,9.96481,33.655521,Test
JEWT-3.1,1.3,4.4,42.9,33.8,17.5,60.5,117.02673,2.83475,16.644015,Test
LGSS-40,0.8,32.6,53.9,8.0,4.7,58.5,23.82144,2.10559,58.401079,Test
LGSS-19,0.2,6.3,53.0,35.8,4.7,57.7,291.1598,13.6163,3.339127,Test
PECN-01,0.8,31.0,52.3,11.4,4.5,56.8,24.00061,2.16628,64.21794,Test
SEVP-1.4,0.0,26.2,50.7,18.9,4.2,54.9,24.15763,4.29201,1.058267,Test
LGSS-24,0.4,1.6,49.2,44.0,4.7,54.0,558.22017,16.38047,0.851278,Test
BLKE-0.1,0.1,9.4,27.2,38.2,25.2,52.3,180.45121,0.42163,14.961883,Test
FOMI_S-0.1,1.6,38.5,26.2,8.7,25.0,51.2,104.69677,1.47263,6.026398,Test
LGSS-14,1.6,44.5,42.3,3.9,7.7,50.0,220.0386,9.51214,16.846834,Test
LGSS-T03,2.0,3.8,29.4,44.8,19.9,49.4,105.55041,1.83468,2.487733,Test
TELV-10.6,0.8,6.0,29.4,44.0,19.8,49.1,134.84794,2.44759,3.789284,Test
LGSS-04,0.1,10.1,34.7,41.4,13.8,48.5,219.25423,9.17515,3.201405,Test
LGSS-09,0.0,3.5,42.0,48.6,6.0,48.0,484.04324,5.19963,2.898662,Test
LGSS-26,0.0,52.8,43.3,1.6,2.3,45.6,14.62852,1.7021,1.960009,Test
CHMO-10.1,0.5,5.8,35.8,48.1,9.7,45.6,121.98937,1.70516,16.622663,Test
CHMO-8.0,0.5,5.6,35.7,49.2,8.9,44.6,120.08885,1.96575,18.901515,Test
TONA-103.5,1.0,3.4,35.4,51.8,8.4,43.9,505.58023,6.60887,3.142061,Test
WBOT-01,0.3,7.7,30.0,48.8,13.2,43.2,170.19861,6.05435,14.110451,Test
LGSS-17,0.5,3.0,35.1,53.8,7.6,42.7,383.15124,12.06138,7.594552,Test
BUTL-01,0.1,3.2,28.4,54.2,14.1,42.5,135.38908,5.84652,8.102779,Test
MURD-16.9,0.3,4.4,23.7,53.1,18.5,42.3,303.73622,3.53958,27.311052,Test
BERO-4.4,0.0,13.5,26.4,44.5,15.7,42.0,144.73115,1.99346,7.032735,Test
OATK-46.2,0.1,5.8,35.8,52.1,6.3,42.0,455.38565,6.25282,52.057961,Test
FOMI-5.7,1.9,50.0,19.1,6.2,22.8,41.9,111.32605,2.09817,3.449128,Test
LGSS-08,1.9,6.6,36.9,50.1,4.5,41.4,471.71299,7.19934,0.506412,Test
GHIL-1.5,0.1,4.6,23.7,54.2,17.5,41.2,105.97598,0.73729,20.363839,Test
LGSS-T09,1.7,13.9,33.9,43.9,6.6,40.5,163.57823,8.14719,27.270704,Test
PION-0.9,0.0,29.4,37.1,30.2,3.3,40.4,193.83592,1.68878,0.722088,Test
LSAL-1.0,0.0,2.3,32.2,58.4,7.2,39.3,59.32421,1.83925,1.166994,Test
BEAG-1.8,0.0,4.2,24.3,56.5,15.0,39.3,105.38907,0.91746,17.570698,Test
GUFF-1.8,0.1,3.3,30.9,57.5,8.2,39.1,100.50678,1.01571,3.114184,Test
BARK-0.6,0.1,2.7,32.8,58.6,5.8,38.6,382.50645,7.32353,1.720935,Test
LGSS-10,0.5,52.1,15.0,9.0,23.4,38.4,174.54241,1.26956,1.711977,Test
GOTC-0.2,0.9,47.2,23.5,14.2,14.2,37.7,207.34274,1.2539,18.1524,Test
LGSS-42,0.0,52.4,37.2,10.4,0.0,37.2,27.27353,2.46707,1.930047,Test
