"site_id","sample_date","sys_sample_code","sample_source","sample_matrix_code","dec_sample_type_cde","lab_sample_type_cde","sample_type_code_combined","chemical_name","fraction","result_value","result_unit","lab_qualifiers","interpreted_qualifiers","validator_qualifiers","validator_qual_expln","validator_qualifiers_equis","method_detection_limit","reporting_detection_limit","quantitation_limit","detection_limit_unit","event_id"
"13-BLKK-1.1","2017-07-11","13BLKK-1.1_07112017_WS","field","WS","N","N","","alkalinity, total (as caco3)","TOTAL",170,"mg/l","","","","","",1,NA,2,"mg/l","13-BLKK-1.1_2017-07-11"
"13-BLKK-1.1","2017-07-11","13BLKK-1.1_07112017_WS","field","WS","N","N","","nitrogen, ammonia (as n)","TOTAL",0.0641,"mg/l","","","","","",8e-04,NA,0.005,"mg/l","13-BLKK-1.1_2017-07-11"
"13-BLKK-1.1","2017-07-11","13BLKK-1.1_07112017_WS","field","WS","N","N","","chloride (as cl)","TOTAL",42.3,"mg/l","","","","","",0.2,NA,2,"mg/l","13-BLKK-1.1_2017-07-11"
"13-BLKK-1.1","2017-07-11","13BLKK-1.1_07112017_WS","field","WS","N","N","","conductivity at 25 degrees celsius","TOTAL",496,"umhos/cm","","","","","",NA,NA,NA,"umhos/cm","13-BLKK-1.1_2017-07-11"
"13-BLKK-1.1","2017-07-11","13BLKK-1.1_07112017_WS","field","WS","N","N","","hardness (as caco3)","TOTAL",187,"mg/l","","","","","",NA,NA,6.62,"mg/l","13-BLKK-1.1_2017-07-11"
"13-BLKK-1.1","2017-07-11","13BLKK-1.1_07112017_WS","field","WS","N","N","","nitrogen, nitrate (as n)","TOTAL",0.282,"mg/l","","","","","",NA,NA,0.01,"mg/l","13-BLKK-1.1_2017-07-11"
"13-BLKK-1.1","2017-07-11","13BLKK-1.1_07112017_WS","field","WS","N","N","","nitrate+nitrite as nitrogen","TOTAL",0.328,"mg/l","","","","","",0.0025,NA,0.0025,"mg/l","13-BLKK-1.1_2017-07-11"
"13-BLKK-1.1","2017-07-11","13BLKK-1.1_07112017_WS","field","WS","N","N","","nitrogen, nitrite","TOTAL",0.046,"mg/l","","","","","",0.002,NA,0.01,"mg/l","13-BLKK-1.1_2017-07-11"
"13-BLKK-1.1","2017-07-11","13BLKK-1.1_07112017_WS","field","WS","N","N","","ph","TOTAL",7.68,"pH units","H","H","","","",NA,NA,NA,"pH units","13-BLKK-1.1_2017-07-11"
"13-BLKK-1.1","2017-07-11","13BLKK-1.1_07112017_WS","field","WS","N","N","","phosphorus, total (as p)","TOTAL",0.0577,"mg/l","","","","","",0.002,NA,0.003,"mg/l","13-BLKK-1.1_2017-07-11"
"13-BLKK-1.1","2017-07-11","13BLKK-1.1_07112017_WS","field","WS","N","N","","temperature of ph analysis","TOTAL",20.6,"deg c","H","H","","","",NA,NA,NA,"deg c","13-BLKK-1.1_2017-07-11"
"13-BLKK-1.1","2017-07-11","13BLKK-1.1_07112017_WS","field","WS","N","N","","turbidity","TOTAL",2.65,"ntu","","","","","",0.06,NA,0.1,"ntu","13-BLKK-1.1_2017-07-11"
"13-BLKK-1.1","2017-07-11","13BLKK-1.1_07112017_WS","field","WS","N","N","","aluminum","TOTAL",64.5,"ug/l","","","","","",2.7,NA,10,"ug/l","13-BLKK-1.1_2017-07-11"
"13-BLKK-1.1","2017-07-11","13BLKK-1.1_07112017_WS","field","WS","N","N","","arsenic","TOTAL",0.714,"ug/l","J","J","","","",0.389,NA,1,"ug/l","13-BLKK-1.1_2017-07-11"
"13-BLKK-1.1","2017-07-11","13BLKK-1.1_07112017_WS","field","WS","N","N","","cadmium","TOTAL",NA,"ug/l","U","U","","","",0.182,0.182,1,"ug/l","13-BLKK-1.1_2017-07-11"
"13-BLKK-1.1","2017-07-11","13BLKK-1.1_07112017_WS","field","WS","N","N","","copper","TOTAL",1,"ug/l","","","","","",0.652,NA,1,"ug/l","13-BLKK-1.1_2017-07-11"
"13-BLKK-1.1","2017-07-11","13BLKK-1.1_07112017_WS","field","WS","N","N","","lead","TOTAL",NA,"ug/l","U","U","","","",0.405,0.405,1,"ug/l","13-BLKK-1.1_2017-07-11"
"13-BLKK-1.1","2017-07-11","13BLKK-1.1_07112017_WS","field","WS","N","N","","calcium","TOTAL",57900,"ug/l","","","","","",71.1,NA,1000,"ug/l","13-BLKK-1.1_2017-07-11"
"13-BLKK-1.1","2017-07-11","13BLKK-1.1_07112017_WS","field","WS","N","N","","nickel","TOTAL",2.5,"ug/l","","","","","",0.45,NA,1,"ug/l","13-BLKK-1.1_2017-07-11"
"13-BLKK-1.1","2017-07-11","13BLKK-1.1_07112017_WS","field","WS","N","N","","silver","TOTAL",NA,"ug/l","U","U","","","",0.131,0.131,1,"ug/l","13-BLKK-1.1_2017-07-11"
