SAMPLE_EVENT_INFO_HISTORY_ID,EVENT_SMAS_ID,SITE_TYPE_DPRTMNT_INTRST_IND,SITE_TYPE_EXTRNL_SUGG_IND,SITE_TYPE_LNG_TRM_TRND_IND,SITE_TYPE_MLTPLT_IND,SITE_TYPE_PROBABILISTIC_IND,SITE_TYPE_RAS_IND,SITE_TYPE_REFERENCE_IND,SITE_TYPE_RMN_IND,SITE_TYPE_SPCL_STDY_IND,SITE_TYPE_UNASSD_PWL_IND,EVENT_BASELINE,EVENT_EXTENT,DISCH_COLLECT_IND,TOTAL_DISCH,SEI_BIOSAMPLE_COLLECT_IND,SEIH_BIOSAMPLE_COLLECT_IND,SEIH_BIOSAMPLE_TYPE,SEIH_WATER_CHEM_COLLECT_IND,SEIH_CHEM_QAQC_IND,SEIH_CHEM_QAQC_TYPE,SEIH_CHEM_SAMP_LOC,SEIH_CHEM_SAMP_EQUP,SEIH_MICROTOX_IND,SEIH_ORG_FOR_TOXICS_IND,SEIH_DEPTH,SEIH_DEPTH_QLFR,SEIH_WIDTH,SEIH_WIDTH_QLFR,SEIH_SPEED_OF_STREAM_CURRENT,SEIH_SPD_OF_STRM_CURRENT_QLFR,SEIH_SECCHI,SEIH_SECCHI_QLFR,SEIH_ALGAE_DIATOMS_PRESENT,SEIH_THICKNESS_DIATOMS_PRESENT,SEIH_ALGAE_SUSPENDED_IND,SEIH_ALGAE_FILAMENTOUS_IND,MFDH_MACROPHYTES,SEIH_CANOPY,SEIH_EMBEDDEDNESS,SEIH_EMBEDDEDNESS_QLFR,SEIH_ROCK,SEIH_RUBBLE,SEIH_GRAVEL,SEIH_SAND,SEIH_SILT,SEIH_CLAY,SEIH_LAND_USE,SEIH_YSI_METER_ID,SEIH_TEMPERATURE,SEIH_CONDUCTANCE,SEIH_DISSOLVED_OXYGEN,SEIH_PH,SEIH_PCT_SATURATION,SEIH_SALINITY,SEIH_Chl_ugL,SEIH_Chl_RFU,SEIH_PC_ugL,SEIH_PC_RFU,SEIH_GENERAL_COMMENT,CHEM_RESULT_RCVD_IND,CHEM_RESULT_RCVD_NOTE,CREATE_DATE,END_DATE,UPDATE_DATE,UPDATED_BY_GUID
1,14-WDEL-1.3_19740604,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.3,,100,,,,1.3,,0,,FALSE,FALSE,0,,,,,70,,,30,,,,20.5,55,,,,,,,,,,,,,,,
2,14-WDEL-9.5_19740604,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.1,,73,,1,,1.1,,0,,FALSE,FALSE,0,,,,,,,,,,,,21,55,,,,,,,,,,,,,,,
3,14-WDEL-16.2_19740604,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.2,,,,0.2,,1.6,,0,,FALSE,FALSE,0,,,,,20,,,40,,,,20.2,50,,,,,,,,,,,,,,,
4,14-DELA-31.2_19740605,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2,,137,,0,,,,0,,FALSE,FALSE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,14-DELA-36.5_19740605,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2,,137,,,,2,,0,,FALSE,FALSE,0,,,,,,,,,,,,21.2,53,,,,,,,,,,,,,,,
6,14-DELA-45.2_19740605,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2,,,,1.2,,2,,0,,FALSE,FALSE,0,,,,,,,,,,,,21.5,50,,,,,,,,,,,,,,,
7,14-DELA-50.4_19740605,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2,,137,,1.3,,2,,0,,FALSE,FALSE,,,,,,,,,,,,,21.5,50,,,,,,,,,,,,,,,
8,14-DELA-59.2_19740605,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.6,,110,,1.5,,1.6,,0,,FALSE,FALSE,0,,,,,,,,,,,,20.8,50,,,,,,,,,,,,,,,
9,14-DELA-70.1_19740605,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,1.8,,100,,7,,1.8,,0,,FALSE,FALSE,0,,,,,60,,,20,,,,19,48,,,,,,,,,,,,,,,
10,14-EDEL-0.8_19740605,,,,,,,,,,,,,,,,FALSE,N,,,,,,FALSE,FALSE,2.5,,91,,0.2,,2.5,,0,,FALSE,FALSE,0,,,,,,,,,,,,16.5,45,,,,,,,,,,,,,,,
