row_index,HFDH_EVENT_SMAS_HISTORY_ID,BASIN,LOCATION,RIVERMILE,HFDH_EVENT_SMAS_SAMPLE_DATE,HFDH_GRADIENT,HFDH_EPIFAUNAL_COVER,HFDH_EMBEDDEDNESS_POOLING,HFDH_VELOCITY_DEPTH_REGIME,HFDH_SEDIMENT_DEPOSITION,HFDH_FLOW_STATUS,HFDH_CHANNEL_ALTERATION,HFDH_RIFFLE_BEND_FREQUENCY,HFDH_LEFT_BANK_STABILITY,HFDH_RIGHT_BANK_STABILITY,HFDH_LEFT_BANK_VEG,HFDH_RIGHT_BANK_VEG,HFDH_LEFT_BANK_VEG_ZONE,HFDH_RIGHT_BANK_VEG_ZONE,HFDH_HABITAT_COMMENT,instance_id,EVENT_SMAS_ID
1,13-STOC-1.9,13,STOC,1.9,08/26/2006,High,13,13,14,15,15,20,19,9,9,6,10,10,7,,13-STOC-1.9_20060826_1,13-STOC-1.9_20060826
2,12-FLYM-0.2,12,FLYM,0.2,04/24/2008,High,10,16,10,16,16,15,18,8,7,9,6,9,5,,12-FLYM-0.2_20080424_2,12-FLYM-0.2_20080424
3,12-FLYM-4.1,12,FLYM,4.1,04/24/2008,High,13,15,15,11,13,15,18,9,7,8,7,7,5,,12-FLYM-4.1_20080424_3,12-FLYM-4.1_20080424
4,07-ONON-1.0,07,ONON,1.0,06/24/2008,High,11,7,7,4,18,8,4,4,4,4,4,3,3,,07-ONON-1.0_20080624_4,07-ONON-1.0_20080624
5,07-ONON-5.9,07,ONON,5.9,06/24/2008,High,7,12,13,12,18,2,4,8,8,6,6,2,0,,07-ONON-5.9_20080624_5,07-ONON-5.9_20080624
6,07-ONON-14.7,07,ONON,14.7,06/24/2008,High,15,12,13,9,8,19,12,5,5,9,9,9,9,,07-ONON-14.7_20080624_6,07-ONON-14.7_20080624
7,07-ONON-18.2,07,ONON,18.2,06/24/2008,High,15,10,13,13,10,14,12,5,5,7,6,6,8,,07-ONON-18.2_20080624_7,07-ONON-18.2_20080624
8,07-ONON-20.9,07,ONON,20.9,06/24/2008,High,18,12,14,12,13,15,18,9,9,9,8,10,8,,07-ONON-20.9_20080624_8,07-ONON-20.9_20080624
9,07-ONON-23.4,07,ONON,23.4,06/24/2008,High,14,17,15,16,15,12,17,9,9,8,9,9,9,,07-ONON-23.4_20080624_9,07-ONON-23.4_20080624
10,07-BLDY-0.1,07,BLDY,0.1,06/25/2008,Low,11,20,1,12,12,0,0,10,10,0,0,0,0,,07-BLDY-0.1_20080625_10,07-BLDY-0.1_20080625
11,07-GEDD-1.4,07,GEDD,1.4,06/25/2008,High,10,9,9,17,18,14,17,8,7,7,5,5,2,,07-GEDD-1.4_20080625_11,07-GEDD-1.4_20080625
12,07-HARB-0.5,07,HARB,0.5,06/25/2008,High,3,5,4,16,12,1,2,9,9,3,5,1,3,,07-HARB-0.5_20080625_12,07-HARB-0.5_20080625
13,07-NINE-0.7,07,NINE,0.7,06/25/2008,Low,12,15,12,6,18,7,2,6,6,6,6,4,4,,07-NINE-0.7_20080625_13,07-NINE-0.7_20080625
14,07-NINE-3.9,07,NINE,3.9,06/25/2008,High,14,13,7,19,15,12,19,8,8,8,6,7,6,,07-NINE-3.9_20080625_14,07-NINE-3.9_20080625
15,07-SAWM-0.6,07,SAWM,0.6,06/25/2008,High,17,16,9,18,9,14,16,6,7,8,9,7,9,,07-SAWM-0.6_20080625_15,07-SAWM-0.6_20080625
16,07-LEY-2.1,07,LEY,2.1,06/26/2008,Low,16,13,17,12,18,5,8,9,9,8,8,2,2,,07-LEY-2.1_20080626_16,07-LEY-2.1_20080626
17,10-BIGC_T6-4.3,10,BIGC_T6,4.3,07/01/2008,High,18,19,14,19,18,19,19,9,9,10,8,10,8,,10-BIGC_T6-4.3_20080701_17,10-BIGC_T6-4.3_20080701
18,10-INBR-0.1,10,INBR,0.1,07/01/2008,High,19,19,17,19,19,19,19,10,10,9,10,9,10,,10-INBR-0.1_20080701_18,10-INBR-0.1_20080701
19,10-INBR-1.5,10,INBR,1.5,07/01/2008,High,19,14,19,19,19,15,18,9,9,10,10,10,10,,10-INBR-1.5_20080701_19,10-INBR-1.5_20080701
20,10-LGLN-0.5,10,LGLN,0.5,07/01/2008,High,14,8,3,18,18,12,8,6,6,9,6,10,2,,10-LGLN-0.5_20080701_20,10-LGLN-0.5_20080701
21,13-PETK-6.1,13,PETK,6.1,07/01/2008,High,15,19,15,20,11,18,18,8,7,9,9,9,9,,13-PETK-6.1_20080701_21,13-PETK-6.1_20080701
22,13-XFBK-0.1,13,XFBK,0.1,07/01/2008,High,16,20,10,20,13,20,19,9,10,10,10,10,10,,13-XFBK-0.1_20080701_22,13-XFBK-0.1_20080701
23,13-XFBK-1.2,13,XFBK,1.2,07/01/2008,High,16,19,10,20,6,20,16,9,8,10,10,10,10,,13-XFBK-1.2_20080701_23,13-XFBK-1.2_20080701
