site_id,filterer,gatherer,predator,scraper,shredder,<NA>
01-FISN-2.4,0,178,11,6,4,1
01-GILL-0.3,25,155,6,7,7,0
01-GOTC-0.2,35,132,12,2,19,0
01-LSIS-2.4,24,129,28,13,6,0
01-MURD-20.0,25,115,31,14,14,1
01-PION-0.9,34,130,15,4,17,0
01-PLUT_N_T4-1.0,10,96,10,53,31,0
01-STYB_T5-0.3,75,102,16,2,5,0
01-TONA-103.5,57,70,17,23,33,0
01-VBUR-0.4,44,126,21,7,2,0
02-BLBA-0.4,3,66,110,15,6,0
02-CASS-25.6,22,79,39,54,6,0
02-CASS-33.3,39,114,37,3,7,0
02-RAWS-0.8,16,107,40,32,5,0
03-BEAG-1.8,15,171,8,3,2,1
03-BEEK-4.5,4,89,36,0,1,0
03-CHMO-8.6,3,38,11,145,1,2
03-EMIL_E_T6-0.4,32,122,11,32,3,0
03-FOMI-5.5,10,186,1,0,3,0
03-FOMI_S-0.1,42,147,4,0,6,1
03-GUFF-0.9,6,70,114,7,2,1
03-HRTB-2.2,74,38,15,13,60,0
03-JEDO_T3-0.4,10,179,11,0,0,0
03-JOHN-13.7,30,87,24,11,48,0
03-MIDL-2.4,39,146,5,1,8,1
03-SAND_T21-4.0,65,88,34,3,9,1
03-TELV-12.8,10,149,30,4,7,0
03-YANT_T1c-0.2,21,120,14,39,6,0
04-BLAK_N_T1-1.1,69,97,24,8,2,0
04-BLAK_T16-0.8,114,61,21,1,3,0
04-BLAK_T7-3.0,43,72,45,11,28,1
04-BLCE-5.2,3,118,66,2,11,0
04-JCOX-4.6,2,198,0,0,0,0
04-JCOX_S-3.7,1,195,4,0,0,0
04-MCMI_S-5.0,56,105,14,16,9,0
04-OATK-46.2,56,99,15,20,10,0
04-SPRG-10.1,22,151,16,0,11,0
04-WCONI-0.6,17,148,25,0,10,0
04-WDIT-0.1,40,104,21,3,32,0
04-WMRSG-0.2,38,137,15,3,7,0
05-CAMB-11.2,8,93,47,5,35,12
05-CBRO-1.8,10,186,2,1,1,0
05-STEO-35.7,110,45,18,14,13,0
05-WINI_T2-1.2,5,134,17,1,41,1
06-FABS-5.0,95,59,3,23,20,0
06-FLYS-0.7,49,143,3,1,4,0
06-MADB-0.1,6,160,28,4,2,0
06-NING-7.7,77,31,40,7,17,28
07-BLDY-0.1,31,94,36,11,28,0
07-BUTL-3.5,28,110,11,13,38,0
07-CANA-32.8,49,84,17,8,42,0
07-COWA_T10-0.9,10,132,29,25,4,0
07-GEDD-1.4,5,193,0,2,0,0
07-HARB-0.5,1,198,1,0,0,0
07-HENC_T4-1.2,21,101,53,4,21,0
07-JACB-1.9,32,132,21,6,9,0
07-LITR-0.2,32,88,17,47,16,0
07-MUDE-4.4,107,62,20,8,1,1
07-MUSK-0.5,37,141,2,19,1,0
07-NINE-0.7,67,89,24,1,19,0
07-NORB_T10-1.5,25,160,10,2,3,0
07-ONON_W_T7-1.5,75,96,12,15,2,0
07-POBK_T4-1.5,7,185,2,0,6,0
07-SNDR-1.5,26,134,40,0,0,0
07-WBOT-0.3,9,182,5,4,0,0
08-BARE_T5-0.5,64,69,14,6,44,3
08-BENE-0.2,21,106,21,32,20,0
08-BLAC-2.5,21,36,35,6,34,0
08-MURM-3.4,53,87,11,13,36,0
09-ALLE-1.9,12,163,23,0,2,0
09-BIBK-5.4,13,10,14,157,6,0
09-BLCH-0.2,20,139,33,5,3,0
09-BRND-2.5,0,128,59,0,12,1
09-CEDL-0.1,56,116,22,1,5,0
09-CHPW-11.0,6,129,20,45,0,0
09-ENGL-17.6,42,118,25,7,8,0
09-FARR-3.1,58,111,23,3,5,0
09-FSCR-9.2,21,63,92,1,19,4
09-JEWT-3.1,38,87,45,21,9,0
09-LSAL_T1-1.0,34,139,27,0,0,0
09-LSUK-11.3,42,116,20,5,17,0
09-LTTL-13.2,11,62,101,2,6,0
09-MARA-4.5,18,109,61,4,7,1
09-OTTS-0.2,3,147,40,0,10,0
09-PIKC-8.7,8,135,39,4,12,2
09-PLMB-12.4,33,30,31,88,18,0
09-SCKE-16.4,47,62,14,73,2,2
09-SOAP-0.8,4,16,13,2,9,0
09-TRAY-2.9,28,111,6,8,47,0
09-WHIK-0.8,31,124,16,2,27,0
09-WSCK-3.4,51,99,13,2,34,1
10-ARNO-0.1,92,41,25,14,26,2
10-BISH-0.6,38,62,83,0,14,3
10-CMIL-3.3,18,30,2,2,0,3
10-COLW-0.7,26,60,18,7,5,5
10-LGLN-0.5,118,43,22,5,12,0
10-LSAR_T10-0.3,70,106,22,0,2,0
10-MILC-6.3,35,87,28,12,33,5
10-NSAR_T7-0.8,94,56,22,4,24,0
10-PUTM_T5-0.3,92,66,24,10,2,6
10-ROUT-1.3,107,54,15,24,0,0
10-TRAE-4.5,77,36,53,20,14,0
10-TWOB-3.6,115,25,15,7,31,7
10-URIL-0.4,93,53,26,2,26,0
11-GORN-6.0,11,161,14,5,9,0
11-MOSE-12.8,30,55,109,2,4,0
11-ROWL-0.5,121,53,10,10,6,0
11-SRUN-3.8,20,145,1,2,1,1
11-TEET-0.8,63,53,56,0,20,8
11-TOMH-12.2,9,161,27,2,1,0
12-ALPL_T11-2.1,32,118,37,9,4,0
12-BARK-0.6,35,102,25,29,9,0
13-BASC_T17-2.4,48,107,31,4,10,0
13-BLKH-8.2,57,92,46,0,3,2
13-BLKK-1.1,1,164,18,8,9,0
13-EBCR-16.3,53,91,29,10,15,2
13-FISH-16.3,2,52,37,4,1,0
13-NOST-0.3,22,146,15,7,10,0
13-QKER-0.9,63,23,3,16,34,0
13-QKER-1.0,13,123,44,0,12,8
13-RHIN-4.3,5,176,5,13,1,0
13-RIOG-0.7,75,91,6,13,15,0
13-SPRO-9.2,30,129,9,7,6,0
13-WALK_T25-1.5,9,125,60,3,3,0
13-WBLKK-8.9,24,128,21,6,18,3
13-WKLEI-0.6,20,17,4,6,6,0
14-HURL-2.8,48,94,27,7,16,8
14-TENR-3.7,47,75,23,14,37,4
14-WLAK-5.8,70,88,21,2,11,8
15-HACK-3.3,2,52,23,8,108,7
15-MAWA-3.7,10,156,11,13,6,4
15-RAMA-13.7,8,73,3,38,8,70
16-AMEN_T2-1.1,93,64,26,6,4,7
16-BOGH-0.3,45,75,22,18,28,12
16-SWEL-0.1,55,99,22,12,12,0
16-SWMP-6.8,34,128,29,2,7,0
16-WEBA-23.3,10,150,9,22,7,2
16-WEBA_T4-1.3,50,74,11,13,52,0
17-BRWN-0.9,123,38,7,0,22,10
17-BVDC-0.4,56,132,8,1,3,0
17-CARL-0.8,71,60,22,32,15,0
17-CARM-12.9,54,114,25,0,2,5
17-CARM-9.0,36,119,36,3,5,1
17-EMED-0.4,34,3,4,0,4,0
17-GREN-0.8,21,133,30,12,2,2
17-MASS-1.2,14,163,11,10,2,0
17-MBUR-2.1,7,174,11,1,0,7
17-MIAN-14.2,32,111,39,10,8,0
17-MUDL-1.4,37,127,26,6,4,0
17-NISS-4.7,81,78,11,15,15,0
17-NISS_E-2.6,72,89,34,4,0,1
17-OROW-0.6,1,190,1,2,5,1
17-PECN-8.9,78,95,12,9,3,3
17-PENA-1.4,11,169,17,2,1,0
17-SAMP-2.1,78,92,16,2,11,1
17-SANT-1.7,100,39,27,5,1,0
17-SWML-1.4,2,12,3,1,8,14
17-TERR-0.2,36,84,41,2,34,3
