site_id,filterer,gatherer,predator,scraper,shredder,<NA>
01-FISN-2.4,0,181,11,6,4,1
01-GILL-0.3,28,172,6,7,10,0
01-GOTC-0.2,49,177,17,2,25,0
01-LSIS-2.4,24,162,29,15,8,0
01-MURD-20.0,26,118,31,14,14,1
01-PION-0.9,36,137,16,4,20,0
01-PLUT_N_T4-1.0,11,109,11,62,36,0
01-STYB_T5-0.3,77,108,16,3,6,0
01-TONA-103.5,58,77,20,25,36,0
01-VBUR-0.4,44,129,21,7,2,0
02-BLBA-0.4,3,78,134,16,8,0
02-CASS-25.6,25,88,42,59,6,0
02-CASS-33.3,46,123,39,3,7,0
02-RAWS-0.8,20,135,52,44,8,0
03-BEAG-1.8,16,174,8,3,2,1
03-BEEK-4.5,4,89,36,0,1,0
03-CHMO-8.6,3,51,14,181,1,2
03-EMIL_E_T6-0.4,57,193,19,46,5,1
03-FOMI-5.5,13,197,1,0,4,0
03-FOMI_S-0.1,45,156,4,0,6,1
03-GUFF-0.9,9,90,135,10,2,2
03-HRTB-2.2,80,40,16,13,62,0
03-JEDO_T3-0.4,12,217,14,0,0,0
03-JOHN-13.7,40,107,28,14,51,0
03-MIDL-2.4,39,151,5,1,8,1
03-SAND_T21-4.0,69,92,35,3,12,1
03-TELV-12.8,11,168,36,6,10,0
03-YANT_T1c-0.2,27,140,16,47,8,0
04-BLAK_N_T1-1.1,73,98,24,8,2,0
04-BLAK_T16-0.8,122,66,23,1,4,0
04-BLAK_T7-3.0,49,89,56,12,35,2
04-BLCE-5.2,4,128,76,3,12,0
04-JCOX-4.6,2,389,1,0,0,0
04-JCOX_S-3.7,1,195,4,0,0,0
04-MCMI_S-5.0,59,107,14,17,9,0
04-OATK-46.2,59,112,21,22,13,0
04-SPRG-10.1,27,182,20,2,18,0
04-WCONI-0.6,18,160,26,0,10,0
04-WDIT-0.1,42,106,21,3,34,0
04-WMRSG-0.2,38,138,15,3,7,0
05-CAMB-11.2,9,97,50,5,37,12
05-CBRO-1.8,12,197,3,1,1,0
05-STEO-35.7,113,45,19,16,13,0
05-WINI_T2-1.2,5,134,17,1,41,1
06-FABS-5.0,96,59,3,23,20,0
06-FLYS-0.7,57,159,3,1,4,0
06-MADB-0.1,6,164,30,4,2,0
06-NING-7.7,85,35,41,11,18,30
07-BLDY-0.1,32,95,36,11,28,0
07-BUTL-3.5,28,115,11,13,40,0
07-CANA-32.8,49,85,17,8,44,0
07-COWA_T10-0.9,10,140,31,27,5,0
07-GEDD-1.4,5,209,0,3,0,0
07-HARB-0.5,1,211,1,0,0,0
07-HENC_T4-1.2,21,103,55,4,22,0
