site_id,facultative,intolerant,tolerant,<NA>
01-FISN-2.4,15,0,185,0
01-GILL-0.3,121,2,77,0
01-GOTC-0.2,83,0,117,0
01-LSIS-2.4,153,1,46,0
01-MURD-20.0,163,7,29,1
01-PION-0.9,85,0,115,0
01-PLUT_N_T4-1.0,178,0,22,0
01-STYB_T5-0.3,133,16,51,0
01-TONA-103.5,118,80,2,0
01-VBUR-0.4,127,3,70,0
02-BLBA-0.4,32,1,167,0
02-CASS-25.6,140,3,57,0
02-CASS-33.3,151,5,44,0
02-RAWS-0.8,81,1,118,0
03-BEAG-1.8,87,1,111,1
03-BEEK-4.5,22,1,107,0
03-CHMO-8.6,36,0,163,1
03-EMIL_E_T6-0.4,178,0,22,0
03-FOMI-5.5,98,0,102,0
03-FOMI_S-0.1,159,0,41,0
03-GUFF-0.9,132,1,66,1
03-HRTB-2.2,180,15,5,0
03-JEDO_T3-0.4,161,1,38,0
03-JOHN-13.7,135,0,65,0
03-MIDL-2.4,71,1,127,1
03-SAND_T21-4.0,124,0,75,1
03-TELV-12.8,155,1,44,0
03-YANT_T1c-0.2,151,1,48,0
04-BLAK_N_T1-1.1,87,4,109,0
04-BLAK_T16-0.8,176,7,17,0
04-BLAK_T7-3.0,110,6,83,1
04-BLCE-5.2,77,1,122,0
04-JCOX-4.6,179,0,21,0
04-JCOX_S-3.7,29,1,170,0
04-MCMI_S-5.0,125,57,18,0
04-OATK-46.2,119,12,69,0
04-SPRG-10.1,47,7,146,0
04-WCONI-0.6,119,1,80,0
04-WDIT-0.1,183,4,13,0
04-WMRSG-0.2,155,2,43,0
05-CAMB-11.2,63,13,121,3
05-CBRO-1.8,67,0,133,0
05-STEO-35.7,163,17,20,0
05-WINI_T2-1.2,107,56,35,1
06-FABS-5.0,153,20,27,0
06-FLYS-0.7,160,1,39,0
06-MADB-0.1,160,0,40,0
06-NING-7.7,151,12,22,15
07-BLDY-0.1,114,0,86,0
07-BUTL-3.5,119,1,80,0
07-CANA-32.8,173,1,26,0
07-COWA_T10-0.9,45,4,151,0
07-GEDD-1.4,191,0,9,0
07-HARB-0.5,193,0,7,0
07-HENC_T4-1.2,92,10,98,0
07-JACB-1.9,130,8,62,0
07-LITR-0.2,139,22,39,0
07-MUDE-4.4,150,8,41,0
07-MUSK-0.5,192,0,8,0
07-NINE-0.7,104,11,85,0
07-NORB_T10-1.5,181,12,7,0
07-ONON_W_T7-1.5,162,16,22,0
07-POBK_T4-1.5,131,0,69,0
07-SNDR-1.5,36,0,164,0
07-WBOT-0.3,137,0,63,0
08-BARE_T5-0.5,145,14,41,0
08-BENE-0.2,72,122,6,0
08-BLAC-2.5,96,32,4,0
08-MURM-3.4,99,84,17,0
09-ALLE-1.9,25,0,175,0
09-BIBK-5.4,185,9,6,0
09-BLCH-0.2,42,6,152,0
09-BRND-2.5,78,4,117,1
09-CEDL-0.1,132,2,66,0
09-CHPW-11.0,150,1,49,0
09-ENGL-17.6,140,4,56,0
09-FARR-3.1,171,9,20,0
09-FSCR-9.2,80,6,112,2
09-JEWT-3.1,57,4,139,0
09-LSAL_T1-1.0,121,3,76,0
09-LSUK-11.3,90,3,107,0
09-LTTL-13.2,95,14,73,0
09-MARA-4.5,121,10,69,0
09-OTTS-0.2,164,1,35,0
09-PIKC-8.7,166,18,14,2
09-PLMB-12.4,67,128,5,0
09-SCKE-16.4,159,1,40,0
09-SOAP-0.8,25,0,19,0
09-TRAY-2.9,108,27,65,0
09-WHIK-0.8,186,0,14,0
09-WSCK-3.4,113,20,66,1
10-ARNO-0.1,157,18,23,2
10-BISH-0.6,126,6,66,2
10-CMIL-3.3,38,2,13,2
10-COLW-0.7,66,16,35,4
10-LGLN-0.5,124,70,6,0
10-LSAR_T10-0.3,156,6,38,0
10-MILC-6.3,117,64,18,1
10-NSAR_T7-0.8,160,12,28,0
10-PUTM_T5-0.3,161,17,21,1
10-ROUT-1.3,106,59,35,0
10-TRAE-4.5,146,28,26,0
10-TWOB-3.6,180,6,9,5
10-URIL-0.4,155,13,32,0
11-GORN-6.0,60,6,134,0
11-MOSE-12.8,168,2,30,0
11-ROWL-0.5,175,10,15,0
11-SRUN-3.8,120,1,49,0
11-TEET-0.8,112,12,69,7
11-TOMH-12.2,53,0,147,0
12-ALPL_T11-2.1,85,18,97,0
12-BARK-0.6,101,58,41,0
13-BASC_T17-2.4,128,7,65,0
13-BLKH-8.2,93,6,99,2
13-BLKK-1.1,30,8,162,0
13-EBCR-16.3,111,15,72,2
13-FISH-16.3,65,9,22,0
13-NOST-0.3,109,25,66,0
13-QKER-0.9,114,4,21,0
13-QKER-1.0,34,0,158,8
13-RHIN-4.3,131,4,65,0
13-RIOG-0.7,184,1,15,0
13-SPRO-9.2,50,7,124,0
13-WALK_T25-1.5,125,0,75,0
