site_id,facultative,intolerant,tolerant,<NA>
01-FISN-2.4,15,0,188,0
01-GILL-0.3,135,2,86,0
01-GOTC-0.2,110,0,160,0
01-LSIS-2.4,182,1,55,0
01-MURD-20.0,167,7,29,1
01-PION-0.9,90,0,123,0
01-PLUT_N_T4-1.0,204,1,24,0
01-STYB_T5-0.3,137,18,55,0
01-TONA-103.5,127,87,2,0
01-VBUR-0.4,128,3,72,0
02-BLBA-0.4,40,3,196,0
02-CASS-25.6,151,4,65,0
02-CASS-33.3,166,5,47,0
02-RAWS-0.8,104,1,154,0
03-BEAG-1.8,90,1,112,1
03-BEEK-4.5,22,1,107,0
03-CHMO-8.6,43,0,208,1
03-EMIL_E_T6-0.4,288,0,32,1
03-FOMI-5.5,108,0,107,0
03-FOMI_S-0.1,167,0,45,0
03-GUFF-0.9,157,1,88,2
03-HRTB-2.2,189,17,5,0
03-JEDO_T3-0.4,192,1,50,0
03-JOHN-13.7,157,0,83,0
03-MIDL-2.4,73,1,130,1
03-SAND_T21-4.0,132,0,79,1
03-TELV-12.8,181,1,49,0
03-YANT_T1c-0.2,178,1,59,0
04-BLAK_N_T1-1.1,91,4,110,0
04-BLAK_T16-0.8,192,7,17,0
04-BLAK_T7-3.0,134,8,99,2
04-BLCE-5.2,87,2,134,0
04-JCOX-4.6,353,0,39,0
04-JCOX_S-3.7,29,1,170,0
04-MCMI_S-5.0,128,60,18,0
04-OATK-46.2,135,13,79,0
04-SPRG-10.1,64,8,177,0
04-WCONI-0.6,128,1,85,0
04-WDIT-0.1,189,4,13,0
04-WMRSG-0.2,155,2,44,0
05-CAMB-11.2,67,13,127,3
05-CBRO-1.8,76,0,138,0
05-STEO-35.7,168,17,21,0
05-WINI_T2-1.2,107,56,35,1
06-FABS-5.0,154,20,27,0
06-FLYS-0.7,180,1,43,0
06-MADB-0.1,166,0,40,0
06-NING-7.7,166,14,24,16
07-BLDY-0.1,115,0,87,0
07-BUTL-3.5,124,1,82,0
07-CANA-32.8,176,1,26,0
07-COWA_T10-0.9,49,5,159,0
07-GEDD-1.4,207,0,10,0
07-HARB-0.5,205,0,8,0
07-HENC_T4-1.2,95,10,100,0
07-JACB-1.9,133,8,62,0
07-LITR-0.2,141,22,39,0
07-MUDE-4.4,150,8,41,0
07-MUSK-0.5,403,0,18,0
07-NINE-0.7,105,11,86,0
07-NORB_T10-1.5,195,12,7,0
07-ONON_W_T7-1.5,190,16,26,0
07-POBK_T4-1.5,175,0,88,0
07-SNDR-1.5,36,0,170,0
07-WBOT-0.3,213,0,110,0
08-BARE_T5-0.5,153,17,45,1
08-BENE-0.2,74,124,6,0
08-BLAC-2.5,96,32,4,0
08-MURM-3.4,99,85,17,0
09-ALLE-1.9,36,1,239,0
09-BIBK-5.4,202,9,6,0
09-BLCH-0.2,51,6,164,0
09-BRND-2.5,82,4,127,3
09-CEDL-0.1,166,3,85,1
09-CHPW-11.0,159,1,53,0
09-ENGL-17.6,149,5,59,0
09-FARR-3.1,175,10,20,0
09-FSCR-9.2,97,7,123,2
09-JEWT-3.1,58,4,142,0
09-LSAL_T1-1.0,124,3,80,0
09-LSUK-11.3,91,3,108,0
09-LTTL-13.2,95,14,73,0
09-MARA-4.5,128,11,73,0
09-OTTS-0.2,180,1,36,0
09-PIKC-8.7,170,18,14,2
09-PLMB-12.4,67,130,5,0
09-SCKE-16.4,184,1,46,0
09-SOAP-0.8,25,0,19,0
09-TRAY-2.9,180,40,104,2
09-WHIK-0.8,187,0,14,0
09-WSCK-3.4,113,20,66,1
10-ARNO-0.1,158,18,25,2
10-BISH-0.6,136,6,69,2
10-CMIL-3.3,38,2,13,2
10-COLW-0.7,66,16,35,4
10-LGLN-0.5,127,71,6,0
10-LSAR_T10-0.3,156,6,38,0
10-MILC-6.3,122,65,18,1
10-NSAR_T7-0.8,161,12,30,0
10-PUTM_T5-0.3,167,17,26,1
10-ROUT-1.3,108,61,36,0
10-TRAE-4.5,152,30,28,0
10-TWOB-3.6,182,7,9,5
10-URIL-0.4,170,16,35,0
11-GORN-6.0,64,6,145,0
11-MOSE-12.8,182,2,32,0
11-ROWL-0.5,189,11,15,0
11-SRUN-3.8,120,1,49,0
11-TEET-0.8,115,12,69,7
11-TOMH-12.2,56,0,157,0
12-ALPL_T11-2.1,105,22,120,0
12-BARK-0.6,102,61,41,0
13-BASC_T17-2.4,134,9,69,0
13-BLKH-8.2,94,6,99,2
13-BLKK-1.1,32,8,172,0
13-EBCR-16.3,113,15,72,2
13-FISH-16.3,65,9,22,0
