site_id,rich_ttaxa,condition_class,tot
01-FISN-2.4,18,3,203
01-GILL-0.3,19,3,223
01-GOTC-0.2,26,3,270
01-LSIS-2.4,31,2,238
01-MURD-20.0,37,2,204
01-PION-0.9,34,2,213
01-PLUT_N_T4-1.0,32,2,229
01-STYB_T5-0.3,35,2,210
01-TONA-103.5,39,2,216
01-VBUR-0.4,29,2,203
02-BLBA-0.4,33,2,239
02-CASS-25.6,35,1,220
02-CASS-33.3,36,2,218
02-RAWS-0.8,39,1,259
03-BEAG-1.8,23,3,204
03-BEEK-4.5,19,2,130
03-CHMO-8.6,19,2,252
03-EMIL_E_T6-0.4,21,3,321
03-FOMI-5.5,14,3,215
03-FOMI_S-0.1,23,2,212
03-GUFF-0.9,28,2,248
03-HRTB-2.2,38,3,211
03-JEDO_T3-0.4,15,3,243
03-JOHN-13.7,29,3,240
03-MIDL-2.4,26,3,205
03-SAND_T21-4.0,34,1,212
03-TELV-12.8,24,2,231
03-YANT_T1c-0.2,21,3,238
04-BLAK_N_T1-1.1,24,2,205
04-BLAK_T16-0.8,34,3,216
04-BLAK_T7-3.0,36,3,243
04-BLCE-5.2,28,1,223
04-JCOX-4.6,10,3,392
04-JCOX_S-3.7,8,3,200
04-MCMI_S-5.0,46,2,206
04-OATK-46.2,36,3,227
04-SPRG-10.1,29,3,249
04-WCONI-0.6,27,2,214
04-WDIT-0.1,32,3,206
04-WMRSG-0.2,30,1,201
05-CAMB-11.2,38,1,210
05-CBRO-1.8,13,3,214
05-STEO-35.7,39,2,206
05-WINI_T2-1.2,23,2,199
06-FABS-5.0,35,2,201
06-FLYS-0.7,18,2,224
06-MADB-0.1,15,2,206
06-NING-7.7,42,1,220
07-BLDY-0.1,25,3,202
07-BUTL-3.5,28,2,207
07-CANA-32.8,32,2,203
07-COWA_T10-0.9,30,2,213
07-GEDD-1.4,9,3,217
07-HARB-0.5,9,3,213
07-HENC_T4-1.2,37,3,205
07-JACB-1.9,46,3,203
07-LITR-0.2,40,1,202
07-MUDE-4.4,41,2,199
07-MUSK-0.5,12,2,421
07-NINE-0.7,28,3,202
07-NORB_T10-1.5,15,2,214
07-ONON_W_T7-1.5,28,3,232
07-POBK_T4-1.5,14,3,263
07-SNDR-1.5,17,3,206
07-WBOT-0.3,29,3,323
08-BARE_T5-0.5,36,1,216
08-BENE-0.2,30,1,204
08-BLAC-2.5,43,1,132
08-MURM-3.4,45,1,201
09-ALLE-1.9,21,1,276
09-BIBK-5.4,18,1,217
09-BLCH-0.2,33,1,221
09-BRND-2.5,28,2,216
09-CEDL-0.1,42,1,255
09-CHPW-11.0,16,2,213
09-ENGL-17.6,35,1,213
09-FARR-3.1,26,2,205
09-FSCR-9.2,27,2,229
09-JEWT-3.1,28,2,204
09-LSAL_T1-1.0,14,3,207
09-LSUK-11.3,31,3,202
09-LTTL-13.2,22,2,182
09-MARA-4.5,28,1,212
09-OTTS-0.2,16,2,217
09-PIKC-8.7,34,2,204
09-PLMB-12.4,52,1,202
09-SCKE-16.4,23,2,231
09-SOAP-0.8,20,2,44
09-TRAY-2.9,39,2,326
09-WHIK-0.8,24,2,201
09-WSCK-3.4,33,3,200
10-ARNO-0.1,40,2,203
10-BISH-0.6,31,1,213
10-CMIL-3.3,15,2,55
10-COLW-0.7,35,1,121
10-LGLN-0.5,43,2,204
10-LSAR_T10-0.3,22,1,200
10-MILC-6.3,56,1,206
10-NSAR_T7-0.8,35,1,203
10-PUTM_T5-0.3,48,1,211
10-ROUT-1.3,22,2,205
10-TRAE-4.5,47,1,210
10-TWOB-3.6,34,1,203
10-URIL-0.4,35,2,221
11-GORN-6.0,35,1,215
11-MOSE-12.8,32,2,216
11-ROWL-0.5,42,2,215
11-SRUN-3.8,18,3,170
11-TEET-0.8,36,1,203
11-TOMH-12.2,19,3,213
12-ALPL_T11-2.1,42,2,247
12-BARK-0.6,38,3,204
13-BASC_T17-2.4,34,1,212
13-BLKH-8.2,29,2,201
13-BLKK-1.1,24,2,212
13-EBCR-16.3,38,1,202
13-FISH-16.3,16,2,96
13-NOST-0.3,45,2,217
13-QKER-0.9,20,2,139
13-QKER-1.0,28,2,210
13-RHIN-4.3,18,2,228
13-RIOG-0.7,16,2,201
13-SPRO-9.2,29,2,181
13-WALK_T25-1.5,29,2,292
13-WBLKK-8.9,42,1,238
13-WKLEI-0.6,17,2,53
14-HURL-2.8,41,1,217
14-TENR-3.7,43,1,207
14-WLAK-5.8,47,1,316
15-HACK-3.3,20,2,206
15-MAWA-3.7,33,1,202
15-RAMA-13.7,29,2,225
16-AMEN_T2-1.1,44,2,287
16-BOGH-0.3,36,1,201
16-SWEL-0.1,38,2,213
16-SWMP-6.8,26,2,201
16-WEBA-23.3,22,1,201
16-WEBA_T4-1.3,41,2,204
17-BRWN-0.9,23,2,331
17-BVDC-0.4,21,2,317
17-CARL-0.8,35,2,203
17-CARM-12.9,34,2,242
17-CARM-9.0,39,2,216
17-EMED-0.4,10,3,45
17-GREN-0.8,26,2,219
17-MASS-1.2,32,2,382
17-MBUR-2.1,16,3,220
17-MIAN-14.2,27,1,220
17-MUDL-1.4,30,2,236
17-NISS-4.7,39,2,231
17-NISS_E-2.6,20,2,201
17-OROW-0.6,15,3,216
17-PECN-8.9,28,1,211
17-PENA-1.4,20,3,203
17-SAMP-2.1,30,2,310
17-SANT-1.7,15,3,172
17-SWML-1.4,15,2,40
17-TERR-0.2,26,2,207
