site_id,rich_ttaxa,tot
01-FISN-2.4,18,200
01-GILL-0.3,19,200
01-GOTC-0.2,25,200
01-LSIS-2.4,29,200
01-MURD-20.0,37,200
01-PION-0.9,34,200
01-PLUT_N_T4-1.0,31,200
01-STYB_T5-0.3,34,200
01-TONA-103.5,38,200
01-VBUR-0.4,29,200
02-BLBA-0.4,29,200
02-CASS-25.6,31,200
02-CASS-33.3,36,200
02-RAWS-0.8,37,200
03-BEAG-1.8,23,200
03-BEEK-4.5,19,130
03-CHMO-8.6,18,200
03-EMIL_E_T6-0.4,19,200
03-FOMI-5.5,13,200
03-FOMI_S-0.1,23,200
03-GUFF-0.9,25,200
03-HRTB-2.2,37,200
03-JEDO_T3-0.4,14,200
03-JOHN-13.7,29,200
03-MIDL-2.4,26,200
03-SAND_T21-4.0,34,200
03-TELV-12.8,24,200
03-YANT_T1c-0.2,21,200
04-BLAK_N_T1-1.1,24,200
04-BLAK_T16-0.8,33,200
04-BLAK_T7-3.0,33,200
04-BLCE-5.2,24,200
04-JCOX-4.6,8,200
04-JCOX_S-3.7,8,200
04-MCMI_S-5.0,46,200
04-OATK-46.2,34,200
04-SPRG-10.1,27,200
04-WCONI-0.6,27,200
04-WDIT-0.1,31,200
04-WMRSG-0.2,30,200
05-CAMB-11.2,38,200
05-CBRO-1.8,12,200
05-STEO-35.7,39,200
05-WINI_T2-1.2,23,199
06-FABS-5.0,35,200
06-FLYS-0.7,18,200
06-MADB-0.1,15,200
06-NING-7.7,40,200
07-BLDY-0.1,25,200
07-BUTL-3.5,28,200
07-CANA-32.8,32,200
07-COWA_T10-0.9,28,200
07-GEDD-1.4,9,200
07-HARB-0.5,8,200
07-HENC_T4-1.2,36,200
07-JACB-1.9,46,200
07-LITR-0.2,40,200
07-MUDE-4.4,41,199
07-MUSK-0.5,8,200
07-NINE-0.7,28,200
07-NORB_T10-1.5,15,200
07-ONON_W_T7-1.5,26,200
07-POBK_T4-1.5,14,200
07-SNDR-1.5,17,200
07-WBOT-0.3,24,200
08-BARE_T5-0.5,33,200
08-BENE-0.2,30,200
08-BLAC-2.5,43,132
08-MURM-3.4,45,200
09-ALLE-1.9,18,200
09-BIBK-5.4,18,200
09-BLCH-0.2,33,200
09-BRND-2.5,27,200
09-CEDL-0.1,39,200
09-CHPW-11.0,16,200
09-ENGL-17.6,35,200
09-FARR-3.1,26,200
09-FSCR-9.2,23,200
09-JEWT-3.1,28,200
09-LSAL_T1-1.0,14,200
09-LSUK-11.3,31,200
09-LTTL-13.2,22,182
09-MARA-4.5,28,200
09-OTTS-0.2,14,200
09-PIKC-8.7,34,200
09-PLMB-12.4,52,200
09-SCKE-16.4,23,200
09-SOAP-0.8,20,44
09-TRAY-2.9,31,200
09-WHIK-0.8,24,200
09-WSCK-3.4,33,200
10-ARNO-0.1,40,200
10-BISH-0.6,31,200
10-CMIL-3.3,15,55
10-COLW-0.7,35,121
10-LGLN-0.5,43,200
10-LSAR_T10-0.3,22,200
10-MILC-6.3,56,200
10-NSAR_T7-0.8,34,200
10-PUTM_T5-0.3,47,200
10-ROUT-1.3,22,200
10-TRAE-4.5,47,200
10-TWOB-3.6,33,200
10-URIL-0.4,34,200
11-GORN-6.0,35,200
11-MOSE-12.8,30,200
11-ROWL-0.5,41,200
11-SRUN-3.8,18,170
11-TEET-0.8,35,200
11-TOMH-12.2,19,200
12-ALPL_T11-2.1,41,200
12-BARK-0.6,37,200
13-BASC_T17-2.4,33,200
13-BLKH-8.2,29,200
13-BLKK-1.1,24,200
13-EBCR-16.3,37,200
13-FISH-16.3,16,96
13-NOST-0.3,45,200
13-QKER-0.9,20,139
13-QKER-1.0,27,200
13-RHIN-4.3,16,200
13-RIOG-0.7,16,200
13-SPRO-9.2,29,181
13-WALK_T25-1.5,24,200
13-WBLKK-8.9,36,200
13-WKLEI-0.6,17,53
14-HURL-2.8,41,200
14-TENR-3.7,41,200
14-WLAK-5.8,42,200
15-HACK-3.3,20,200
15-MAWA-3.7,33,200
15-RAMA-13.7,29,200
16-AMEN_T2-1.1,39,200
16-BOGH-0.3,36,200
16-SWEL-0.1,37,200
16-SWMP-6.8,26,200
16-WEBA-23.3,22,200
16-WEBA_T4-1.3,41,200
17-BRWN-0.9,22,200
17-BVDC-0.4,18,200
17-CARL-0.8,34,200
17-CARM-12.9,33,200
17-CARM-9.0,39,200
17-EMED-0.4,10,45
17-GREN-0.8,25,200
17-MASS-1.2,25,200
17-MBUR-2.1,16,200
17-MIAN-14.2,27,200
17-MUDL-1.4,29,200
17-NISS-4.7,34,200
17-NISS_E-2.6,20,200
17-OROW-0.6,13,200
17-PECN-8.9,27,200
17-PENA-1.4,20,200
17-SAMP-2.1,27,200
17-SANT-1.7,15,172
17-SWML-1.4,15,40
17-TERR-0.2,26,200
