site_id,amphipoda,architaenioglossa,basommatophora,coleoptera,decapoda,diptera,ephemeroptera,hemiptera,heterostropha,hirudinida,hoplonemertea,isopoda,lepidoptera,lumbriculida,megaloptera,neoophora,neotaenioglossa,neuroptera,odonata,opisthopora,plecoptera,trichoptera,tubificida,undetermined_clitellata,undetermined_gastropoda,undetermined_lumbriculata,undetermined_nematoda,undetermined_nemertea,undetermined_platyhelminthes,unionoida,veneroida,,basin,depth,width,cur_spd,algae_diaoms_presen,thickness_diatoms_present,macrophyte_pct,canopy,embeddedness,rock,rubble,gravel,sand,silt,clay,land_use,field_water_qlty,habitat,lgs_habitat_bank,lgs_habitat_macrophyte,lgs_habitat_snag,lgs_habitat_substrate,bottom_type,dominant_substrate,water_clarity_driver,epifaunal_cover,embeddedness_pooling,velocity_depth_regime,sediment_deposition,flow_status,channel_alteration,riffle_bend_frequency,left_bank_stability,right_bank_stability,left_bank_veg,right_bank_veg,left_bank_veg_zone,right_bank_veg_zone,temp,spcond,do_conc,do_pct_sat,ph,salinity,ref_field_yn,riffle_present,chl_a,site_condition_v1,site_condition_v2,site_condition_notes,microtox,hab_present,biosample,habitat_total_score,snag_present,landcover_nat_pct,landcover_dev_pct,landcover_ag_pct,landcover_water_pct,landcover_agdev_pct,condition_class
02-CASS-25.6,37,0,84,15,0,35,2,3,0,0,0,1,0,0,0,0,0,0,31,0,0,7,4,0,0,0,0,0,0,0,1,,2,1,10,5,NA,NA,20,8.5,NA,NA,NA,NA,NA,NA,NA,Agriculture,NA,NA,2,2,2,2,Soft,Silt,Turbidity,17,12,16,18,20,19,19,10,5,10,7,10,10,22.3,284,4.5,55,7.5,NA,NA,NA,NA,NA,NA,NA,0,NA,1,173,Y,70.48312071,3.416795878,25.19893356,0.901149849,28.61572944,1
02-RAWS-0.8,61,0,16,20,1,20,36,2,0,0,0,1,0,0,0,0,27,0,42,0,0,7,11,0,0,0,0,0,3,0,12,,2,0.2,4,0,60,2,30,4,30,0,50,20,10,20,NA,Forest,NA,Low flow,2,2,2,2,Hard,Gravel,DOC,15,18,17,14,18,17,15,8,9,7,8,3,8,23.4,304,5.3,62,7.1,0.1,NA,NA,NA,NA,NA,NA,1,NA,1,157,Y,77.2955077,1.691826383,20.69981472,0.312851198,22.3916411,1
03-SAND_T21-4.0,4,0,0,15,0,80,0,0,0,1,0,56,0,0,0,0,0,0,4,0,0,4,13,0,0,3,0,0,0,0,32,,3,0.3,1,0,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,Wetlands; forest,NA,NA,2,2,2,2,Soft,Clay,DOC,14,14,16,15,19,20,20,9,10,10,10,10,10,18.8,95,5.03,54.5,6.8,NA,Yes,No,NA,ref,ref,NA,NA,NA,NA,NA,Y,94.55201838,0.525106662,3.807023302,1.115851657,4.332129964,1
04-BLCE-5.2,30,0,10,33,2,125,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,4,0.8,15,25,10,1,10,20,10,0,10,0,0,90,0,Forest,Poor,Adequate,2,0,1,2,Soft,Silt,DOC,12,10,12,14,14,14,7,8,8,9,8,9,8,23,114,8.75,102.2,7.6,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,77.08082968,1.869742325,20.44230799,0.607120004,22.31205032,1
04-WMRSG-0.2,3,0,2,71,0,41,1,0,0,1,0,16,0,5,0,0,0,0,8,0,0,0,37,0,0,0,0,0,0,0,16,,4,0.5,6,10,20,3,20,10,NA,0,0,15,0,85,0,Forest,Good,Adequate,2,2,2,2,Soft,Silt,Turbidity,20,18,15,20,15,20,20,10,10,10,10,10,10,20,129,7.52,81.8,7.24,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,61.43384441,1.652470187,36.91368541,0,38.56615559,1
05-CAMB-11.2,13,0,13,15,0,93,5,17,0,0,0,30,0,0,0,0,0,0,19,0,0,0,5,0,0,0,0,0,0,0,0,,5,0.2,2,10,NA,NA,10,36,NA,NA,NA,NA,NA,NA,NA,Agriculture,NA,NA,2,2,2,2,Soft,Silt,Turb,17,15,16,14,18,18,18,9,9,9,9,9,9,19,136,7.5,82,6.7,NA,No,Yes,2.9,test,test,NA,NA,NA,NA,NA,Y,53.96825397,1.628001628,43.95604396,0.447700448,45.58404558,1
06-NING-7.7,5,0,0,10,0,161,4,7,0,0,0,1,0,0,6,0,0,0,3,0,0,8,2,0,1,1,0,0,0,0,11,,6,0.6,3,0.4,NA,NA,50,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,Soft,Silt,DOC,13,14,15,14,19,19,18,10,10,10,10,10,10,16.89,84,8.79,90.7,6.87,NA,Yes,No,NA,ref,ref,NA,NA,NA,NA,NA,Y,88.73177198,0.980998674,10.03093239,0.256296951,11.01193106,1
07-LITR-0.2,25,2,8,8,2,30,54,0,0,0,0,1,0,0,0,0,29,0,6,0,0,11,1,0,0,0,0,0,0,0,25,,7,0.6,8,20,90,1,30,36,30,NA,NA,NA,NA,NA,NA,Forest,NA,Other,2,2,2,2,Hard,Silt,Turbidity,17,17,15,14,16,16,15,8,8,7,8,7,8,21.8,119,8.3,96,7.6,0.05,NA,NA,NA,NA,NA,NA,1,NA,1,156,Y,89.28960792,0.537706771,7.873803788,2.298881516,8.411510559,1
08-BARE_T5-0.5,0,0,1,3,0,197,4,0,2,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,3,,8,0.5,8,60,NA,NA,25,17,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,2,2,2,2,Soft,Sand,DOC,16,17,17,18,18,18,17,10,10,10,10,10,10,19,70,6.9,75,5.9,NA,Yes,No,2,ref,ref,NA,NA,NA,NA,NA,Y,92.20360825,1.095360825,0,6.701030928,1.095360825,1
08-BENE-0.2,0,0,0,1,0,42,120,0,0,0,0,0,0,0,1,0,0,0,4,0,2,33,0,0,0,0,0,0,0,0,1,,8,1,10,NA,NA,NA,10,13,NA,NA,NA,NA,NA,NA,NA,Wetland,NA,Adequate,2,2,2,2,Hard,Sand,DOC,16,17,13,16,17,19,16,9,9,10,10,10,10,11.8,17.6,9.99,98.1,6.42,NA,NA,NA,NA,NA,NA,NA,0,0,1,172,Y,98.451491,0.09036392,0,1.458145075,0.09036392,1
08-BLAC-2.5,1,0,0,7,1,84,22,0,0,0,0,2,0,0,1,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,2,,8,0.5,3,0,NA,NA,0,15,NA,NA,NA,NA,NA,NA,NA,Agricultural,NA,NA,-9999,-9999,-9999,-9999,Soft,Sand,DOC,10,13,13,12,19,17,11,8,5,7,6,7,3,15.34,59,9.39,93.9,6.97,NA,No,No,NA,ref,ref,NA,NA,NA,NA,NA,NA,88.91706473,0.377425252,10.31432447,0.391185548,10.69174972,1
08-MURM-3.4,0,0,0,14,0,62,41,0,0,0,0,17,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,1,,8,0.3,5,34,50,1,20,13,25,NA,NA,NA,100,NA,NA,Agriculture,NA,NA,2,2,2,2,Soft,Sand,DOC,17,18,17,17,18,13,18,8,8,8,8,5,5,12,48,10.1,93,6.5,NA,NA,NA,NA,NA,NA,NA,0,0,1,160,Y,90.38836407,0.152446644,9.004348478,0.454840806,9.156795122,1
09-ALLE-1.9,7,0,0,3,0,236,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,24,0,0,0,0,2,,9,0.1,1,0,NA,NA,0,100,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,2,0,2,2,Hard,Clay,DOC,14,8,6,10,16,15,6,8,8,9,9,10,10,18.67,290,2.6,28,6.87,NA,No,No,NA,test,ref,NA,NA,NA,NA,NA,Y,74.65056963,0.938615882,24.20676756,0.204046931,25.14538344,1
09-BIBK-5.4,0,0,8,5,0,9,0,0,0,0,0,0,0,2,0,0,161,0,7,0,0,9,0,0,0,0,0,0,0,0,16,,9,1,10,10,50,3,30,0,10,NA,NA,NA,NA,NA,NA,Forest,Good,Adequate,2,2,0,2,Hard,Sand,Turbidity,10,14,18,19,19,20,19,10,10,10,10,7,7,16,46,9.16,92.4,7.03,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,91.47895025,1.679879716,0,6.841170038,1.679879716,1
09-BLCH-0.2,104,0,7,5,0,59,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,25,0,0,0,0,0,0,0,7,,9,1.2,6,0,NA,NA,20,15,NA,NA,NA,NA,NA,NA,NA,Forest; wetlands,NA,NA,2,2,0,2,Very soft,Silt,DOC,8,6,7,11,19,19,8,10,10,9,9,8,7,22.83,164,6.02,69.6,7.26,NA,No,No,NA,ref,ref,NA,NA,NA,NA,NA,N,97.591874,0.553526592,0.336681123,1.517918283,0.890207715,1
09-CEDL-0.1,4,0,1,29,0,110,11,1,0,0,0,2,0,2,0,0,0,0,2,0,0,4,81,2,0,2,0,0,3,0,1,,9,1,2.5,0,NA,NA,30,0,NA,NA,NA,NA,NA,NA,NA,Forest; wetlands,NA,NA,2,2,0,2,Very soft,Silt,DOC,12,7,10,7,19,20,15,10,10,10,10,10,10,21.73,339,4.53,51.6,7,NA,No,No,NA,ref,ref,NA,NA,NA,NA,NA,N,89.33936124,0.758349132,3.886539303,6.015750328,4.644888435,1
09-ENGL-17.6,0,0,2,3,0,193,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,0,0,0,0,0,0,0,0,,9,1,2.5,10,NA,NA,10,1,NA,NA,NA,NA,NA,NA,NA,Meadow,NA,NA,2,2,0,2,Hard,Gravel,DOC,12,16,11,16,19,20,6,10,10,7,7,4,9,20.05,111,4.2,47.2,6.54,NA,Yes,No,NA,ref,ref,NA,NA,NA,NA,NA,N,93.77528789,2.396514161,0.56022409,3.267973856,2.956738251,1
09-MARA-4.5,13,0,1,0,0,94,79,0,0,0,0,0,0,0,0,0,0,0,5,0,0,13,0,0,0,0,0,0,0,0,7,,9,1,15,5,NA,-9999,NA,0,NA,0,0,0,0,70,30,Forest,Poor,Low_flow,2,2,0,2,Soft,Silt,DOC,6,12,11,17,18,19,19,10,10,10,10,10,10,15,81,7.19,72,6.72,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,86.33442744,2.348481346,0,11.31709121,2.348481346,1
09-PLMB-12.4,1,0,0,17,0,33,93,0,0,0,2,0,0,0,3,0,0,0,14,0,3,36,0,0,0,0,0,0,0,0,0,,9,0.4,6,20,NA,NA,20,53,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,2,2,2,2,Hard,Sand,DOC,17,17,13,8,9,20,16,7,5,8,5,6,10,15.9,65,8.9,90,7,NA,No,No,NA,ref,test,Possibly not ref site! Does not cluster well. Dominance of Maccaffertium modestum tells non-low gradient<U+0085>,NA,NA,NA,NA,Y,96.82208672,0.389872385,0.145068794,2.642972097,0.534941179,1
10-BISH-0.6,7,0,0,7,2,178,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,10,0.8,12,1,100,-9999,20,0,20,0,0,0,25,25,50,Wetland,NA,Other,2,2,0,2,Soft,Clay,Turbidity,13,13,13,6,14,13,14,7,7,6,6,8,8,22,233,10.8,122,7.8,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,89.70107511,3.81011187,3.2362342,3.252578817,7.04634607,1
10-COLW-0.7,0,0,2,11,1,83,2,0,0,0,0,0,0,0,1,0,6,0,4,0,0,1,0,0,0,0,0,0,0,0,10,,10,0.7,4,20,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,Ag,NA,NA,2,0,2,2,Soft,Sand,DOC,10,8,11,13,19,17,7,8,8,5,5,7,7,21.79,166,8.56,97.6,7.57,NA,No,No,0.45,ref,ref,NA,NA,NA,NA,NA,Y,93.5713469,2.655499657,2.546878573,1.226274869,5.20237823,1
10-LSAR_T10-0.3,3,0,0,8,0,163,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,,10,0.5,5,5,20,2,10,NA,50,0,0,0,40,60,0,Forest,NA,Other,2,1,1,2,Very_soft,Silt,Turbidity,17,9,8,20,20,19,20,10,10,10,10,10,10,20,50,6.35,62,7,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,98.61817027,0.174714104,0,1.207115629,0.174714104,1
10-MILC-6.3,0,0,5,10,0,62,36,3,0,0,0,0,0,25,1,0,0,0,15,0,6,24,14,0,0,0,0,0,0,0,5,,10,0.3,4,20,NA,NA,0,11,NA,NA,NA,NA,NA,NA,NA,Forest; ag,NA,NA,2,0,2,2,Soft,Sand,NA,18,16,17,15,19,18,15,9,9,8,8,7,9,20.04,82,8.75,96.7,7.17,NA,NA,Yes,0.47,ref,ref,NA,NA,NA,NA,NA,Y,95.93747611,1.238248108,0.221661698,2.602614079,1.459909807,1
10-NSAR_T7-0.8,14,0,0,6,0,161,9,1,0,0,0,0,0,0,1,0,0,0,2,0,0,6,0,0,0,2,0,0,0,0,1,,10,0.1,0.2,20,NA,NA,10,8,NA,NA,NA,NA,NA,NA,NA,Wetlands; forest,NA,NA,2,2,1,2,Very soft,Silt,DOC,10,5,6,4,19,19,16,9,9,8,8,9,8,21,71,6.94,77.8,6.73,NA,Yes,No,NA,ref,ref,NA,NA,NA,NA,NA,Y,99.13854989,0.32304379,0,0.538406317,0.32304379,1
10-PUTM_T5-0.3,0,0,1,17,1,130,20,1,0,0,0,0,0,0,0,0,0,0,6,0,0,3,20,0,0,0,0,0,0,0,12,,10,0.5,2,30,NA,NA,10,95,NA,NA,NA,NA,NA,NA,NA,Forest,NA,NA,2,2,2,2,Soft,Sand,DOC,19,15,16,17,19,19,17,8,8,8,8,9,9,19.45,136,7.37,80.5,6.97,NA,Yes,No,0,ref,ref,NA,NA,NA,NA,NA,Y,95.10179994,0.79669519,3.998229566,0.103275302,4.794924757,1
10-TRAE-4.5,0,0,5,32,0,112,2,0,0,0,0,0,0,0,4,0,0,0,10,0,0,16,7,0,0,0,1,0,0,0,21,,10,0.2,2,15,NA,-9999,NA,30,NA,0,0,0,50,50,0,Wetland,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,9,10,5,14,20,20,20,10,10,10,10,10,10,24,244,7.1,92,7.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.43271222,3.345755694,11.22153209,0,14.56728778,1
10-TWOB-3.6,0,0,3,6,0,162,19,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,1,0,1,0,0,0,0,1,,10,0.3,4,50,NA,NA,70,2,NA,NA,NA,NA,NA,NA,NA,Forest; wetland,NA,NA,2,2,2,2,Soft,Sand,DOC,14,12,12,15,19,18,7,9,9,9,9,9,9,22.35,120,7.37,84.8,6.83,NA,Yes,No,NA,ref,ref,NA,NA,NA,NA,NA,Y,90.48799504,7.554826973,1.609324084,0.347853901,9.164151057,1
11-GORN-6.0,64,0,53,2,9,53,1,2,0,0,0,11,0,0,0,0,0,0,1,0,2,0,15,2,0,0,0,0,0,0,0,,11,0.6,1.5,40,NA,NA,25,6.4,NA,NA,NA,NA,NA,NA,NA,Forest; Wetland,NA,NA,2,2,2,2,Soft,Clay,DOC,18,15,13,6,14,20,18,9,9,9,9,10,10,16.79,310,10.14,104,7.47,NA,Yes,No,1.7,test,ref,"Possible ref site, 74.7% LU. Noted as possible in field sheet.",NA,NA,NA,NA,Y,74.72671622,5.570616528,19.41407958,0.288587669,24.98469611,1
