"site_id","condition_class","PC1"
"01-FISN-2.4","3",-2.36603958350272
"01-GILL-0.3","3",-1.62641411141695
"01-GOTC-0.2","3",-3.44979417428387
"01-LSIS-2.4","2",0.167072376876182
"01-MURD-20.0","2",-0.366977560458606
"01-PION-0.9","2",-0.804506719293179
"01-PLUT_N_T4-1.0","2",-0.653325705645093
"01-STYB_T5-0.3","2",0.0101501799436735
"01-TONA-103.5","2",0.201636743569012
"01-VBUR-0.4","2",-0.651636228248762
"02-BLBA-0.4","2",0.106444483668485
"02-CASS-25.6","1",1.39911393606886
"02-CASS-33.3","2",0.290512271132904
"02-RAWS-0.8","1",1.33336072951231
"03-BEAG-1.8","3",-1.47769529334717
"03-BEEK-4.5","2",-0.39585082994766
"03-CHMO-8.6","2",-0.818406158742249
"03-EMIL_E_T6-0.4","3",-2.39789953797941
"03-FOMI-5.5","3",-0.956836893440767
"03-FOMI_S-0.1","2",-0.547883748688816
"03-GUFF-0.9","2",-0.87310830646675
"03-HRTB-2.2","3",-1.37997324713025
"03-JEDO_T3-0.4","3",-1.94933814172241
"03-JOHN-13.7","3",-1.6767944376585
"03-MIDL-2.4","3",-2.16706818288783
"03-SAND_T21-4.0","1",2.64040563166302
"03-TELV-12.8","2",-0.671309707648479
"03-YANT_T1c-0.2","3",-2.3190367770155
"04-BLAK_N_T1-1.1","2",-0.397092991793893
"04-BLAK_T16-0.8","3",-1.76859394792366
"04-BLAK_T7-3.0","3",-1.0721647455856
"04-BLCE-5.2","1",1.1258118151731
"04-JCOX-4.6","3",-1.79906717515284
"04-JCOX_S-3.7","3",-1.94356681288412
"04-MCMI_S-5.0","2",0.796367920118022
"04-OATK-46.2","2",-0.840283307871566
"04-SPRG-10.1","3",-1.62399483997071
"04-WCONI-0.6","2",0.299239701853783
"04-WDIT-0.1","3",-1.21750600424477
"04-WMRSG-0.2","1",1.56832593472597
"05-CAMB-11.2","1",1.18206555863981
"05-CBRO-1.8","3",-1.16582096692
"05-STEO-35.7","2",-0.496041403382107
"05-WINI_T2-1.2","2",0.572560098386764
"06-FABS-5.0","2",-0.200137042040852
"06-FLYS-0.7","2",-0.373060305162106
"06-MADB-0.1","2",0.995517411742413
"06-NING-7.7","1",2.12099243693241
"07-BLDY-0.1","3",-5.28790439971986
"07-BUTL-3.5","2",-0.345318368580341
"07-CANA-32.8","2",-0.177253486865025
"07-COWA_T10-0.9","2",-0.399405316851111
"07-GEDD-1.4","3",-2.38958925287849
"07-HARB-0.5","3",-3.32012128002269
"07-HENC_T4-1.2","3",-0.988504625098894
"07-JACB-1.9","3",-1.64679070471128
"07-LITR-0.2","1",1.81573758015545
"07-MUDE-4.4","2",-0.134036775114066
"07-MUSK-0.5","2",-0.617196503288572
"07-NINE-0.7","3",-3.39669590187801
"07-NORB_T10-1.5","2",-0.571843686883875
"07-ONON_W_T7-1.5","3",-2.13645449128877
"07-POBK_T4-1.5","3",-2.8370808040524
"07-SNDR-1.5","3",-5.43142188130363
"07-WBOT-0.3","3",-1.30610149758352
"08-BARE_T5-0.5","1",2.82780881775714
"08-BENE-0.2","1",2.8413675521302
"08-BLAC-2.5","1",1.71170552623736
"08-MURM-3.4","1",2.25457620932682
"09-ALLE-1.9","2",0.995183213784705
"09-BIBK-5.4","1",2.4329074367477
"09-BLCH-0.2","1",1.72047910770792
"09-BRND-2.5","2",0.651939292647306
"09-CEDL-0.1","1",1.6529477985171
"09-CHPW-11.0","2",0.174398003126904
"09-ENGL-17.6","1",2.16134336874007
"09-FARR-3.1","2",0.7183136697019
"09-FSCR-9.2","2",0.468175574551184
"09-JEWT-3.1","2",0.288992990442952
"09-LSAL_T1-1.0","3",-1.04645630933348
"09-LSUK-11.3","1",1.34272320449657
"09-LTTL-13.2","2",0.485196830642116
"09-MARA-4.5","1",2.16512738582028
"09-OTTS-0.2","2",0.547539857789923
"09-PIKC-8.7","2",1.08220035039973
"09-PLMB-12.4","1",2.0395101242482
"09-SCKE-16.4","2",-0.535712538962352
"09-SOAP-0.8","2",-0.350519531612221
"09-TRAY-2.9","2",0.797987275248433
