"site_id","condition_class","PC1"
"01-FISN-2.4","3",-2.38644181844806
"01-GILL-0.3","3",-1.78286412210778
"01-GOTC-0.2","3",-3.42780833042396
"01-LSIS-2.4","2",0.116517660995638
"01-MURD-20.0","2",-0.436585900952835
"01-PION-0.9","2",-0.879918278811164
"01-PLUT_N_T4-1.0","2",-0.689314335158767
"01-STYB_T5-0.3","2",-0.0615060722718128
"01-TONA-103.5","2",-0.0150048194310053
"01-VBUR-0.4","2",-0.715744460287912
"02-BLBA-0.4","2",0.097196759657148
"02-CASS-25.6","1",1.31211152208613
"02-CASS-33.3","2",0.164775627974168
"02-RAWS-0.8","1",1.31544839839774
"03-BEAG-1.8","3",-1.6407315194063
"03-BEEK-4.5","2",-0.489805451445033
"03-CHMO-8.6","2",-0.813372664433393
"03-EMIL_E_T6-0.4","3",-2.42039593530302
"03-FOMI-5.5","2",-0.874802043258341
"03-FOMI_S-0.1","2",-0.581384360013303
"03-GUFF-0.9","2",-0.831628632124847
"03-HRTB-2.2","3",-1.52611436839857
"03-JEDO_T3-0.4","3",-2.17285197023679
"03-JOHN-13.7","3",-1.89130439833308
"03-MIDL-2.4","3",-2.30943612831108
"03-SAND_T21-4.0","1",2.66687537921309
"03-TELV-12.8","2",-0.736694805605887
"03-YANT_T1c-0.2","3",-2.38966655371262
"04-BLAK_N_T1-1.1","2",-0.518402925929222
"04-BLAK_T16-0.8","3",-2.0195602395469
"04-BLAK_T7-3.0","3",-1.0029916938608
"04-BLCE-5.2","2",1.01353482059711
"04-JCOX-4.6","3",-2.01468705650306
"04-JCOX_S-3.7","3",-1.96326461463136
"04-MCMI_S-5.0","2",0.69811439618931
"04-OATK-46.2","3",-0.968396541501039
"04-SPRG-10.1","3",-1.70022231217962
"04-WCONI-0.6","2",0.218900514059621
"04-WDIT-0.1","3",-1.36807157957469
"04-WMRSG-0.2","1",1.51053944030643
"05-CAMB-11.2","1",1.19889857912365
"05-CBRO-1.8","3",-0.981133403728597
"05-STEO-35.7","2",-0.607836990173332
