"site_id","condition_class","PC1"
"01-FISN-2.4","3",-2.42774697765972
"01-GILL-0.3","3",-1.76305804047148
"01-GOTC-0.2","3",-3.45236653819347
"01-LSIS-2.4","2",0.117173988522745
"01-MURD-20.0","2",-0.457046534783714
"01-PION-0.9","2",-0.854120781329151
"01-PLUT_N_T4-1.0","2",-0.683665500868637
"01-STYB_T5-0.3","2",-0.0143695669558519
"01-TONA-103.5","2",0.0353130246629573
"01-VBUR-0.4","2",-0.66553516079006
"02-BLBA-0.4","2",0.0867272569177721
"02-CASS-25.6","1",1.32738573315927
"02-CASS-33.3","2",0.198237350076681
"02-RAWS-0.8","1",1.31891199798959
"03-BEAG-1.8","3",-1.59037802038735
"03-BEEK-4.5","2",-0.490106104768098
"03-CHMO-8.6","2",-0.863978614730043
"03-EMIL_E_T6-0.4","3",-2.45855357924385
"03-FOMI-5.5","3",-0.889068388423113
"03-FOMI_S-0.1","2",-0.54255575475903
"03-GUFF-0.9","3",-0.881464855762386
"03-HRTB-2.2","3",-1.48582089670337
"03-JEDO_T3-0.4","3",-2.11478648378985
"03-JOHN-13.7","3",-1.83862919318837
"03-MIDL-2.4","3",-2.28385099386486
"03-SAND_T21-4.0","1",2.67870254882082
"03-TELV-12.8","2",-0.726460456731421
"03-YANT_T1c-0.2","3",-2.40587049217024
"04-BLAK_N_T1-1.1","2",-0.497870487244334
"04-BLAK_T16-0.8","3",-1.96463575814109
"04-BLAK_T7-3.0","3",-0.995876793141431
"04-BLCE-5.2","2",1.04085787614348
"04-JCOX-4.6","3",-1.9590843737462
"04-JCOX_S-3.7","3",-1.99481490567574
"04-MCMI_S-5.0","2",0.707570735243553
"04-OATK-46.2","3",-0.941679745329195
"04-SPRG-10.1","3",-1.70916404728867
"04-WCONI-0.6","2",0.241722349095982
"04-WDIT-0.1","3",-1.32088691804906
"04-WMRSG-0.2","1",1.52570702130846
"05-CAMB-11.2","1",1.22558998026728
"05-CBRO-1.8","3",-1.01107317614104
"05-STEO-35.7","2",-0.589381889248448
"05-WINI_T2-1.2","2",0.583746267302789
"06-FABS-5.0","2",-0.298306507233774
"06-FLYS-0.7","2",-0.493532118098047
"06-MADB-0.1","2",0.983156775885866
"06-NING-7.7","1",2.13587487618974
"07-BLDY-0.1","3",-5.18000971518678
"07-BUTL-3.5","2",-0.471704642994885
"07-CANA-32.8","2",-0.335211778906541
"07-COWA_T10-0.9","2",-0.408816797761254
"07-GEDD-1.4","3",-2.36710062904096
"07-HARB-0.5","3",-3.27823759452821
"07-HENC_T4-1.2","3",-1.06713051554752
"07-JACB-1.9","3",-1.82271025041482
"07-LITR-0.2","1",1.72575053354761
"07-MUDE-4.4","2",-0.0526279968566329
"07-MUSK-0.5","2",-0.672352457310066
"07-NINE-0.7","3",-3.48389164951699
"07-NORB_T10-1.5","2",-0.67680244240084
"07-ONON_W_T7-1.5","3",-2.27087933621755
"07-POBK_T4-1.5","3",-2.89090769671082
"07-SNDR-1.5","3",-5.25138348664608
"07-WBOT-0.3","3",-1.40979183828194
"08-BARE_T5-0.5","1",3.00908250191021
"08-BENE-0.2","1",2.93909317129302
"08-BLAC-2.5","1",1.72659669837424
"08-MURM-3.4","1",2.33446016667629
"09-ALLE-1.9","2",1.02378577158713
"09-BIBK-5.4","1",2.43936614454128
"09-BLCH-0.2","1",1.69014118215029
"09-BRND-2.5","2",0.553075902515181
"09-CEDL-0.1","1",1.66322085815291
"09-CHPW-11.0","2",0.110982270769636
"09-ENGL-17.6","1",2.25027523298932
"09-FARR-3.1","2",0.642460512525219
"09-FSCR-9.2","2",0.526240461509436
"09-JEWT-3.1","2",0.302218729285791
"09-LSAL_T1-1.0","3",-1.11944394159524
"09-LSUK-11.3","3",1.33229718600144
"09-LTTL-13.2","2",0.63862146073136
"09-MARA-4.5","1",2.22855857486837
"09-OTTS-0.2","2",0.512989516099159
"09-PIKC-8.7","2",0.983741265132836
"09-PLMB-12.4","1",2.04886798134449
"09-SCKE-16.4","2",-0.569253128814053
"09-SOAP-0.8","2",-0.444013012649795
"09-TRAY-2.9","2",0.733513504569327
"09-WHIK-0.8","2",-0.86520820309972
"09-WSCK-3.4","3",-2.212407121985
"10-ARNO-0.1","2",0.855795819448477
"10-BISH-0.6","1",1.1544003947556
"10-CMIL-3.3","2",0.973999162512944
"10-COLW-0.7","1",1.46958355819385
"10-LGLN-0.5","2",0.0857434362526157
"10-LSAR_T10-0.3","1",2.71623678411277
"10-MILC-6.3","1",2.53306733995025
"10-NSAR_T7-0.8","1",2.057077765277
"10-PUTM_T5-0.3","1",2.49389011616486
"10-ROUT-1.3","2",0.294732533612807
"10-TRAE-4.5","1",1.48707064643691
"10-TWOB-3.6","1",1.71808176247641
"10-URIL-0.4","2",0.884918389134416
"11-GORN-6.0","1",1.19623457058495
"11-MOSE-12.8","2",0.52946237241164
"11-ROWL-0.5","2",0.904920509663778
"11-SRUN-3.8","3",-1.11340711917084
"11-TEET-0.8","1",3.62597426946219
"11-TOMH-12.2","3",1.21128440533014
"12-ALPL_T11-2.1","2",0.87869028244311
"12-BARK-0.6","3",-0.923939600292086
"13-BASC_T17-2.4","1",1.83315037918361
"13-BLKH-8.2","2",0.877536619357582
"13-BLKK-1.1","2",0.816559118913555
"13-EBCR-16.3","1",1.24612592285516
"13-FISH-16.3","2",-0.102126536775381
"13-IDNK-0.5","3",1.201467203773
"13-NOST-0.3","2",-0.211341533781754
"13-QKER-0.9","2",-0.848712657706527
"13-QKER-1.0","2",-0.631522427371683
"13-RHIN-4.3","2",-0.0795063891867853
"13-RIOG-0.7","2",-0.651886074037223
"13-SPRO-9.2","2",-0.0466590909731041
"13-WALK_T25-1.5","2",-0.869279818704305
"13-WBLKK-8.9","1",1.1374637501474
"13-WKLEI-0.6","2",0.470438972841359
"14-HURL-2.8","1",1.43120584535685
"14-TENR-3.7","1",1.94183465506993
"14-WLAK-5.8","1",1.85430460234193
"15-HACK-3.3","2",-0.0687949899853987
"15-MAWA-3.7","1",1.37544042088051
"15-RAMA-13.7","2",-0.00342285065494763
"16-AMEN_T2-1.1","2",-0.621666380578224
"16-BOGH-0.3","1",2.06381813315854
"16-SWEL-0.1","2",0.318675113553878
"16-SWMP-6.8","2",0.528971300429094
"16-WEBA-23.3","3",1.47998950226389
"16-WEBA_T4-1.3","2",0.594083519312488
"17-BRWN-0.9","2",-0.163507210916069
"17-BVDC-0.4","2",0.369214064955143
"17-CARL-0.8","2",-0.657787603036009
"17-CARM-12.9","2",0.910693335278353
"17-CARM-9.0","2",0.266922559956548
"17-EMED-0.4","3",-1.91452081949993
"17-GREN-0.8","2",-0.553716341356048
"17-MASS-1.2","2",-0.546806351671911
"17-MBUR-2.1","3",-1.06504617440443
"17-MIAN-14.2","2",1.11210320023297
"17-MUDL-1.4","2",0.0299437114850969
"17-NISS-4.7","2",-0.612631759038933
"17-NISS_E-2.6","2",-0.762220902567518
"17-OROW-0.6","3",-1.0015729312822
"17-PECN-8.9","1",1.93712947411437
"17-PENA-1.4","3",-1.56771825593831
"17-SAMP-2.1","2",-0.798911791945317
"17-SANT-1.7","3",-1.19841594150561
"17-SWML-1.4","3",-0.89521519473954
"17-TERR-0.2","2",0.935707706649381
