"site_id","condition_class","basin","sample_date","arrivetime","crew","depth","width","cur_spd","algae_diaoms_presen","thickness_diatoms_present","macrophyte_pct","canopy","embeddedness","rock","rubble","gravel","sand","silt","clay","land_use","general_comment","field_water_qlty","habitat","lgs_habitat_bank","lgs_habitat_macrophyte","lgs_habitat_snag","lgs_habitat_substrate","bottom_type","dominant_substrate","water_clarity_driver","macro_comment","gradient","epifaunal_cover","embeddedness_pooling","velocity_depth_regime","sediment_deposition","flow_status","channel_alteration","riffle_bend_frequency","left_bank_stability","right_bank_stability","left_bank_veg","right_bank_veg","left_bank_veg_zone","right_bank_veg_zone","habitat_comment","temp","spcond","do_conc","do_pct_sat","ph","salinity","photo","photo_2","ref_field_yn","riffle_present","chl_a","site_condition_v1","site_condition_v2","site_condition_notes","microtox","pht_id_up","pht_id_dwn","hab_present","biosample","habitat_total_score","landcover_nat_pct","landcover_dev_pct","landcover_ag_pct","landcover_water_pct","landcover_agdev_pct","PC1"
"01-FISN-2.4","3",1,2015-08-04,"17:03","Heitzman Pratt",0.3,4,0,NA,NA,100,100,NA,NA,NA,NA,NA,NA,NA,"Field",NA,NA,NA,0,2,0,2,"Very soft","Clay","Turb",NA,NA,5,13,10,6,15,10,0,10,10,9,9,3,3,"Swamp",20.8,2132,2.27,25.5,7.4,NA,"14392991020003.jpg","14392991020004.jpg",NA,"No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,65.2798686191323,4.55727384699603,30.1628575338716,0,34.7201313808676,-2.4142886934712
"01-GILL-0.3","3",1,2015-08-04,"17:45","Heitzman Pratt",0.7,4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,5,11,10,4,8,8,8,8,5,5,NA,24.4,476,11.74,1.4,8.8,NA,"14392991020005.jpg","14392991020006.jpg","No",NA,NA,"test","test",NA,NA,NA,NA,NA,NA,NA,26.9643623872907,52.918276799771,16.3847144697295,3.73264634320882,69.3029912695005,-1.76419905428184
"01-GOTC-0.2","3",1,2015-08-04,"16:12","Duffy Mosher",0.2,3,29,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,"Forest residential condos","Big Odonata; nasty site; channelized behind condos",NA,NA,0,2,1,2,"Very soft","Silt","Turb",NA,NA,4,3,3,7,16,2,2,9,9,8,8,10,2,"Gross, highly channelized behind condos",21.5,2108,12.5,142,7.8,NA,"14389715920003.jpg","14389715920004.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,37.7171643649319,47.1584270308579,14.2011607638822,0.923247840327925,61.3595877947401,-3.43538851453566
"01-LSIS-2.4","2",1,2015-08-05,"11:28","Duffy Mosher",0.3,20,1,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,"Forest","Bedrock and gravel in places but predominantly mushy clay",NA,NA,2,2,2,2,"Soft","Gravel","Turb",NA,NA,17,14,15,13,19,15,13,9,8,9,8,6,10,NA,20.7,909,3.6,40.6,7.5,NA,"14389715920005.jpg","14389715920006.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,64.9924055936731,12.1353375582674,22.6156182894254,0.256638558634054,34.7509558476928,0.121049621249427
"01-MURD-20.0","2",1,2015-08-04,"12:40","Duffy Mosher",0.2,5,0.07,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,"Forest agriculture","Very hard bottom. Lots of macrophytes",NA,NA,2,2,2,2,"Hard","Gravel","Turb",NA,NA,17,18,17,15,17,15,17,6,9,10,10,9,2,"Hard bottom, lots of macrophytes",21,636,7,79,7.5,NA,"14389715920001.jpg","14389715920002.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,42.2138502462803,4.40249971362751,53.1138235181815,0.269826521910677,57.516323231809,-0.451981435070773
"01-PION-0.9","2",1,2015-08-05,"12:38","Duffy Mosher",0.5,4,0,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,"Residential Forest","Site was recently undammed. No flow at all",NA,NA,2,2,2,2,"Soft","Clay","Turb",NA,NA,12,16,6,13,12,13,14,5,5,6,6,10,10,"Looks like it used to be dammed",22.2,711,4.7,54,7.8,NA,"14389715920007.jpg","14389715920008.jpg","No","No",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,40.9221902017291,29.0585975024015,30.0192122958694,0,59.0778097982709,-0.85072073510545
"01-PLUT_N_T4-1.0","2",1,2015-07-07,"18:08","Duffy RSmith",0.2,1,0.1,NA,NA,40,5,NA,NA,NA,NA,NA,NA,NA,"Suburban","Root mat bottom small site moved from inside airport fence.good variety of bugs",NA,NA,NA,NA,NA,NA,"Soft","Silt","Turb",NA,NA,10,5,5,18,20,17,12,8,9,10,10,4,8,NA,23.1,664,5.6,66,7.5,NA,"14363970980015.jpg","14363970980016.jpg","No","No",1.9,"test","test",NA,NA,NA,NA,NA,NA,NA,41.8802498384665,21.6454878311437,36.3773422356235,0.0969200947663149,58.0228300667672,-0.677066166331004
"01-STYB_T5-0.3","2",1,2015-07-08,"12:37","BDuffy; RSmith",0.1,0.3,0.4,NA,NA,0,45,NA,NA,NA,NA,NA,NA,NA,"Wetlands","Directly downstream of beaver dam.",NA,NA,2,0,2,2,"Very soft","Silt",NA,NA,NA,17,6,13,9,19,18,12,4,3,3,3,9,9,"Site directly down stream of beaver dam.",17.79,282,6.9,72.7,7.2,NA,"14363970980021.jpg","14363970980022.jpg","No","No",1.39,"test","test",NA,NA,NA,NA,NA,NA,NA,48.0230050323508,3.35490055116223,48.6220944164869,0,51.9769949676491,-0.0122796160383832
"01-TONA-103.5","2",1,2015-08-06,"11:15","Duffy Mosher",0.3,1.5,38,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Forest agriculture","No macrophytes; many cobbles",NA,NA,2,0,2,2,"Soft","Silt","Turb",NA,NA,18,19,17,15,18,13,18,9,9,10,3,9,8,"Channelized through pasture downstream",15,487,10.2,101,8.1,NA,"14389715920011.jpg","14389715920012.jpg","No","Yes",NA,"test","test",NA,NA,NA,NA,NA,NA,NA,43.8555813183173,3.40068455338412,51.750027602959,0.993706525339516,55.1507121563431,0.0269054489883174
"01-VBUR-0.4","2",1,2016-07-20,"13:33","Heitzman, Lojps, Reigle, Onion",0.1,1,NA,90,3,0,50,50,0,10,35,35,15,5,"Residential","No pebble count Water very low, stream narrow, few rubble & coarse gravel. No current speed, almost stagnant.","Poor","Low flow",2,1,0,2,"Hard","Gravel","Turbidity",NA,NA,14,15,11,16,4,11,5,8,8,9,9,5,5,NA,21.4,827,5.65,63,7.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"14692051680023.jpg","14692051680024.jpg",NA,0,120,47.3578674215617,7.4899740504836,43.8900684123614,1.2620901155933,51.380042462845,-0.661743892214809
