OBJECTID,HydroID,DrainID,Name,Descript,GlobalWshd,RELATEDOIDS,HUCID,CONTOUR,A,MXSNO,streamid,WARNINGMSG,Edited,URBNLCD2001,ExcludeCode,CSL10_85,GlobalWatershed_LENGTH,BSLOPCM,SLOPERATIO,LAGFACTOR,EL1200,STORAGE,FOREST,MAR,CSL1085LO,CSL1085UP,LC11DEV,LC11IMP,MAYAVPRE,JUNAVPRE,JULAVPRE,SSURGOA,SSURGOB,JUNMAXTMP,DRNAREA,PRECIP,PRJUNAUG00,CENTROIDX,CENTROIDY,OUTLETX,OUTLETY,ORIG_FID,Shape_Length,Shape_Area,Name2,Name3,OBJECTID_1,HydroID_1,DrainID_1,Slp,Slp1085,ElevUP,ElevDS,Elev10,Elev85,SHAPE_Length_1
3,2,2,01-BLKE-0.1,SS v4 Batch,1,,4120104,7.391904233,0,15.63236,0,,0,0,0,7.254091231,8.603206534,49.40009012,0.146843682,1.07196233,0,1.481764389,26.08080803,18.49788,3.09103126,14.74449922,8.990196407,1.930773578,3.087728343,3.605589366,3.022318895,0.1796078,5.197272,76.947818,14.96334159,37.81498,10.13742519,0,4773142.531,197695,4773085,1,43300,38751100,01-BLKE-0d1,01_BLKE_0d1,3,3,2,0.001641,0.001373881,197.14,174.4206055,174.4456747,188.7115501,13844.84415
7,2,2,01-FISN-2.4,SS v4 Batch,1,,4120104,0,0,15.31448,0,,0,0,0,9.458177765,3.236631436,0,2399883.192,0.408404249,0,4.872852338,42.16036889,13.17934,6.16159378,7.769933699,4.524356653,0.761759827,2.888387792,3.244399209,2.73761732,0,13.91499,76.318736,2.53736317,33.03311,9.246480306,0,4786651.624,176425,4786065,1,15880,6571100,01-FISN-2d4,01_FISN_2d4,7,3,2,0.002148858,0.001791322,196.93,185.7374609,185.7374609,192.7351684,5208.599564
10,2,2,01-GILL-0.3,SS v4 Batch,1,,4120104,13.73225643,0,15.40515,0,,0,0,0,6.22484891,10.7600758,112.9461892,0.055113403,1.339305114,0,4.909907191,19.21164423,13.55384,7.730019917,6.393607172,52.44319752,20.46851478,2.918750784,3.248612595,2.708125982,0,4.413375,76.16939,12.15822909,33.24277,9.138653534,0,4782203.915,172325,4777885,1,45480,31486600,01-GILL-0d3,01_GILL_0d3,10,3,2,0.001451533,0.001178949,197.7544922,172.62,174.009251,189.3200977,17315.81961
11,2,2,01-GOTC-0.2,SS v4 Batch,1,,4120104,12.67938382,0,15.9345,0,,0,0,0,13.44738923,14.3253497,69.84282086,0.192537887,1.07292753,0,1.279605228,33.46754725,19.1967,8.231879767,18.3098788,39.95299323,9.156600623,3.191391335,3.788366138,3.076833855,0.3477651,21.75478,76.167968,18.15416913,38.16666,10.50946456,0,4765399.954,197975,4771265,1,51680,47014500,01-GOTC-0d2,01_GOTC_0d2,11,3,2,0.002746234,0.002546854,239.84,176.5302539,179.4149726,223.45,23053.29219
82,2,2,01-LSIS-2.0,SS v4 Batch,1,,4120103,6.167570353,0,19.29346,0,,0,0,0,27.71817725,6.653254991,92.97671655,0.298119549,0.254093068,0,0.388267002,53.30841905,18.3395,19.7008161,32.12037416,12.14571364,2.571299676,3.161237398,3.868252358,3.448118894,1.055947,3.342473,75.54182,6.633456829,37.46873,11.17457873,0,4731122.436,169945,4731985,1,28800,17178900,01-LSIS-2d0,01_LSIS_2d0,82,3,2,0.00476164,0.005249655,238.3960742,187.4138867,188.6245539,230.7800204,10706.85425
84,2,2,01-MURD-20.0,SS v4 Batch,1,,4120104,63.20778709,0,15.94586,0,,0,0,0,30.91546765,16.21993688,231.4141074,0.133593703,0.620347218,12.24617029,1.44383356,29.7186836,17.94133,10.08266955,60.68566597,4.398935185,0.589796042,3.146829918,4.116488185,3.358170469,1.207801,27.79921,76.81154,27.31371385,37.1883,10.98934251,0,4758033.24,223585,4762325,1,82320,70735300,01-MURD-20d0,01_MURD_20d0,84,3,2,0.006279581,0.005855202,421.61,257.6992188,262.1619662,376.7871496,26102.18613
89,2,2,01-PION-0.9,SS v4 Batch,1,,4120103,0.996012925,0,19.55116,0,,0,0,0,23.72211993,2.234149908,137.9216253,0.171997085,0.082756715,0,0.272698107,23.55363063,17.88204,11.62723202,56.71782752,29.23216768,3.9974869,3.186138579,3.835709445,3.371796453,0,0.3208213,74.813774,0.722158634,37.1293,11.26263778,0,4726559.709,166005,4727895,1,9580,1870200,01-PION-0d9,01_PION_0d9,89,3,2,0.006349706,0.004492826,205.1892969,182.3599414,182.5093905,194.6243195,3595.340546
1,2,2,01-PLUT_N_T4-1.0,SS v4 Batch,1,,4120103,0,0,16.29141,0,,0,0,0,22.75885712,3.418680098,0,7336569.771,0.147184264,0,0.168896662,29.23349664,19.94606,21.72508332,22.74043552,21.17916222,8.21094115,3.167738579,3.941870075,3.184065351,0,1.596732,76.04627,3.223610804,38.84257,10.8081181,0,4758272.661,204295,4757245,1,17780,8348300,01-PLUT_N_T4-1d0,01_PLUT_N_T4_1d0,1,3,2,0.003563749,0.00431039,234.9894531,215.3832617,216.3962266,234.1816405,5501.56421
24,2,2,01-STYB_T5-0.3,SS v4 Batch,1,,4120104,9.404176283,0,16.06965,0,,0,0,0,62.02590148,3.476814313,324.4172996,0.191191718,0.050800965,100,0.187822195,45.7553516,17.92966,52.88229879,85.93065467,3.34616563,0.17851101,3.449668107,4.513657476,3.878467713,5.602696,8.822289,74.13386,2.898790013,36.97288,12.17709841,0,4741546.409,232165,4740645,1,19160,7507100,01-STYB_T5-0d3,01_STYB_T5_0d3,24,3,2,0.014568058,0.01174733,513.18,431.67,437.2536494,486.5494183,5595.1176
93,2,2,01-TONA-103.5,SS v4 Batch,1,,4120104,12.54339747,0,16.86209,0,,0,0,0,92.43541505,4.978076331,399.1703546,0.231568836,0.053702015,100,2.124626746,41.38905614,21.69478,52.14582671,160.6861301,3.353444992,0.456100468,3.524098815,4.617082673,3.978543303,42.13091,20.08963,74.034176,3.142366992,40.81194,12.48555511,0,4729691.784,224445,4731935,1,20700,8137900,01-TONA-103d5,01_TONA_103d5,93,3,2,0.018655489,0.017506707,589.88,440.43,442.9006961,548.0859865,8011.046891
