OBJECTID,HydroID,DrainID,Name,Descript,GlobalWshd,RELATEDOIDS,HUCID,CONTOUR,A,MXSNO,streamid,WARNINGMSG,Edited,URBNLCD2001,ExcludeCode,CSL10_85,GlobalWatershed_LENGTH,BSLOPCM,SLOPERATIO,LAGFACTOR,EL1200,STORAGE,FOREST,MAR,CSL1085LO,CSL1085UP,LC11DEV,LC11IMP,MAYAVPRE,JUNAVPRE,JULAVPRE,SSURGOA,SSURGOB,JUNMAXTMP,DRNAREA,PRECIP,PRJUNAUG00,CENTROIDX,CENTROIDY,OUTLETX,OUTLETY,ORIG_FID,Shape_Length,Shape_Area,OBJECTID_1,HydroID_1,DrainID_1,Slp,Slp_pct,Slp1085,ElevUP,ElevDS,Elev10,Elev85,SHAPE_Length_1
1,2,2,01-BUFC-37.8,SS v4 Batch,1,,4120103,40.75148247,0,18.13581,0,,0,0,0,73.27981042,8.233608504,455.1242187,0.161010571,0.128927987,100,1.795301941,57.00116007,23.23508,36.74890782,107.0392673,2.883781907,0.238232212,3.474750784,4.710893696,3.852435823,27.93182,12.91942,74.973308,8.953925279,41.86256,12.50757873,0,4723391.951,216165,4726655,1,34120,23188300,1,3,2,0.013131415,1.31314148,0.013878752,542.3146484,368.3225781,376.8738666,514.7946176,13250.06276
2,2,2,01-VBUR-0.4,SS v4 Batch,1,,4120101,4.474118358,0,19.06827,0,,0,0,0,63.23840003,4.69946744,151.812482,0.416555989,0.090609052,0,0.224047797,37.52210998,18.79593,33.2407692,77.56165178,6.410911521,1.237909935,3.2688248,3.989598421,3.497618107,13.62368,4.292284,75.990056,2.947134715,37.81495,11.36750393,0,4706084.635,137795,4708855,1,21180,7632300,2,3,2,0.011530075,1.153007524,0.01197697,266.67,179.4716016,185.3434422,253.2770346,7562.691193
3,2,2,02-BLBA-0.4,SS v4 Batch,1,,5010004,9.65101625,0,16.77832,0,,0,0,0,14.63726491,3.56116082,262.3254445,0.055798113,0.117237099,100,2.965038782,48.38943292,30.84511,15.50518052,54.90269844,22.04624411,2.132865225,3.755420862,4.833944877,4.279814956,5.218468,39.36627,76.03547,3.679024072,50.10295,13.6185866,0,4669044.409,108405,4667085,1,18080,9527700,3,3,2,0.011604892,1.160489221,0.002772209,491.9414844,425.4355469,426.4180157,438.3333597,5730.853532
4,2,2,02-CASS-25.6,SS v4 Batch,1,,5010002,220.9438294,0,19.10723,0,,0,0,0,5.770560151,19.54823938,324.6989561,0.017772032,1.758728786,100,6.959859948,58.02667681,22.14469,4.274872472,22.42100835,3.353469091,0.48171694,3.640313382,4.582444877,4.307066925,5.800006,17.30063,74.935364,68.04574676,41.21794,13.26961416,0,4693184.54,144665,4685845,1,94400,176220500,4,3,2,0.00375308,0.375307992,0.001092909,500.3216406,382.2560937,384.397477,410.1832814,31458.30878
5,2,2,02-CASS-33.3,SS v4 Batch,1,,5010002,58.99906869,0,19.47593,0,,0,0,0,11.95358657,9.113165972,341.6697857,0.034985788,1.311114313,100,6.156416036,51.16370597,21.79023,0.477094761,31.70763069,5.371518274,0.954773341,3.598565351,4.536035428,4.288866137,8.850561,25.64939,75.105122,17.26786247,40.82969,13.19359447,0,4696574.583,145685,4693365,1,43380,44719200,5,3,2,0.004286755,0.428675486,0.002263937,458.91,396.0425781,397.59465,422.4959817,14665.50432
6,2,2,02-RAWS-0.8,SS v4 Batch,1,,5010001,73.43466742,0,15.57436,0,,0,0,0,36.10479324,8.333247048,641.1772567,0.056310159,0.22039157,100,0.46829959,68.5966184,21.62749,12.84632648,102.253312,1.700241061,0.176274844,3.618921256,4.975984247,4.126102358,4.360513,14.72999,74.055524,11.45309922,40.46077,13.00835038,0,4689308.798,227735,4684895,1,34500,29660500,6,3,2,0.012109814,1.210981377,0.006838029,635.6421875,473.2446484,474.0600689,542.8356363,13410.40764
7,2,2,02-WANG_W-0.1,SS v4 Batch,1,,5010002,168.0898249,0,20.25138,0,,0,0,0,12.96538435,18.23740374,373.4099251,0.034721585,1.031223748,100,2.831445446,47.72205376,22.90826,8.053842263,33.54516649,3.385073321,0.451682801,3.589207477,4.573700783,4.305893696,9.292586,19.82516,74.642018,45.01482516,41.92804,13.16234644,0,4700145.159,166155,4693925,1,74940,116576500,7,3,2,0.004236047,0.423604704,0.002455565,512.64,388.3169922,391.4786719,445.5296393,29348.8261
8,2,2,03-BEEK-4.5,SS v4 Batch,1,,4140101,17.3018825,0,15.05024,0,,0,0,0,21.21841408,6.518375903,317.6043414,0.066807695,0.29155027,0,2.997611267,42.67821575,18.38454,33.23112182,13.60261971,5.601825927,1.09471998,3.123809446,3.645238973,3.079362989,11.57968,22.95826,77.453204,5.447621535,38.45895,10.08069684,0,4785406.244,345765,4789555,1,27700,14107900,8,3,2,0.005685517,0.568551673,0.004018639,141.5399121,81.89999023,86.91699423,118.5330279,10489.79797
9,2,2,05-CBRO-1.8,SS v4 Batch,1,,2050105,3.885635356,0,10.9668,0,,0,0,0,20.83389299,3.062273177,138.588448,0.150329214,0.109919805,2.170677251,0.012395158,19.04171659,14.08184,18.70716846,38.38326619,74.93974576,20.09153135,3.101255115,4.021716531,3.390715745,40.81863,39.08744,77.921834,2.803722397,33.12927,10.64850786,0,4659328.46,352255,4658395,1,17540,7260900,9,3,2,0.01002348,1.002348049,0.003945813,304.8,255.4041797,255.4479987,270.0317558,4928.010819
10,2,2,05-STEO-35.7,SS v4 Batch,1,,2050104,1156.896579,0,11.77634,0,,0,0,0,29.98928269,24.74299877,664.4208612,0.045135974,1.210044793,94.01987122,0.524053201,67.85523172,15.04639,5.405203903,64.27829654,5.791995387,1.26871659,3.27151102,4.444751964,3.516079918,14.06193,4.615884,75.217892,174.1210499,34.26994,11.27587794,0,4692146.944,283615,4684885,1,158760,450927500,10,3,2,0.00737146,0.737146044,0.005679788,632.2509375,338.7337109,340.811875,510.4304751,39818.05625
