"event_id","site_id","basin","sample_date","arrivetime","crew","depth","width","cur_spd","algae_diaoms_presen","thickness_diatoms_present","macrophyte_pct","canopy","embeddedness","rock","rubble","gravel","sand","silt","clay","land_use","general_comment","field_water_qlty","habitat","lgs_habitat_bank","lgs_habitat_macrophyte","lgs_habitat_snag","lgs_habitat_substrate","bottom_type","dominant_substrate","water_clarity_driver","macro_comment","gradient","epifaunal_cover","embeddedness_pooling","velocity_depth_regime","sediment_deposition","flow_status","channel_alteration","riffle_bend_frequency","left_bank_stability","right_bank_stability","left_bank_veg","right_bank_veg","left_bank_veg_zone","right_bank_veg_zone","habitat_comment","temp","spcond","do_conc","do_pct_sat","ph","salinity","photo","photo_2","ref_field_yn","riffle_present","chl_a","site_condition_v1","site_condition_v2","site_condition_notes","microtox","pht_id_up","pht_id_dwn","hab_present","biosample","habitat_total_score","event_id_date","snag_present"
"10-TRAE-4.5_20180717","10-TRAE-4.5",10,2018-07-17 04:00:00,13:41:00,"Duffy,Woltmann",0.2,2,15,NA,-9999,NA,30,NA,0,0,0,50,50,0,"Wetland",NA,NA,NA,-9999,-9999,-9999,-9999,NA,NA,NA,NA,"Low",9,10,5,14,20,20,20,10,10,10,10,10,10,NA,24,244,7.1,92,7.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20180717",NA
"10-LSAR_T10-0.3_20180718","10-LSAR_T10-0.3",10,2018-07-18 04:00:00,14:24:00,"Duffy,Woltmann",0.5,5,5,20,2,10,NA,50,0,0,0,40,60,0,"Forest",NA,NA,"Other",2,1,1,2,"Very_soft","Silt","Turbidity",NA,"Low",17,9,8,20,20,19,20,10,10,10,10,10,10,NA,20,50,6.35,62,7,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20180718","Y"
"10-CMIL-3.3_20180719","10-CMIL-3.3",10,2018-07-19 04:00:00,10:41:00,"Schnore,Heitzman",0.6,4,1,90,2,90,10,40,2,8,0,10,30,50,"Wetland",NA,"Poor","Other",2,2,0,2,"Soft","Clay","Turbidity","Wetland, lots of cattails","Low",10,12,10,13,11,14,14,9,9,8,8,9,8,NA,22,324,4.8,63.8,7.17,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20180719","N"
"10-BISH-0.6_20180719","10-BISH-0.6",10,2018-07-19 04:00:00,13:43:00,"Heitzman,Schnore",0.8,12,1,100,-9999,20,0,20,0,0,0,25,25,50,"Wetland",NA,NA,"Other",2,2,0,2,"Soft","Clay","Turbidity","Did low gradient and didn<U+0092>t put in pan","Low",13,13,13,6,14,13,14,7,7,6,6,8,8,NA,22,233,10.8,122,7.8,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20180719","N"
"10-LGLN-0.5_20180719","10-LGLN-0.5",10,2018-07-19 04:00:00,13:53:00,"Lojpersberger, Wright",0.3,4,25,50,1,10,10,0,0,0,0,90,5,5,"Residential",NA,"Good","Sand",2,2,2,2,"Soft","Sand",NA,"Site was signed that lake had been treated with pesticide Aquatrol. Good mix of mayflies & caddis. HABs scrape was from woody debris. Substrate was all sand with crystal clear water.","Low",12,12,10,8,10,15,13,4,7,9,5,9,5,NA,24,580,10.1,120,8.32,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20180719","Y"
"10-ROUT-1.3_20180719","10-ROUT-1.3",10,2018-07-19 04:00:00,14:58:00,"Lojpersberger, Wright",0.3,5,10,100,2,80,10,20,0,0,90,5,5,0,"Commercial",NA,"Good","Other",2,2,2,2,"Hard","Gravel","Susp_algae","Wetland with good flow so decided to sample. Stream right across from great escape and runs from parking lot under route 9 into the park itself.","Low",17,14,4,8,16,-9999,12,9,9,3,3,1,1,NA,26,344,6.3,78,7.19,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20180719","Y"
"13-WKLEI-0.6_20180827","13-WKLEI-0.6",13,2018-08-27 04:00:00,11:20:00,"Lemley,Lojpersberger",0.3,5,20,10,1,0,70,0,0,0,0,10,80,10,"Residential",NA,"Very_poor","Sand",2,0,2,2,"Soft","Silt","Turbidity","Muddy lw gradient strm","Low",5,5,5,6,12,15,7,2,2,9,8,9,6,NA,22,220,5.5,65.2,7.45,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20180827","Y"
"13-QKER-0.9_20180828","13-QKER-0.9",13,2018-08-28 04:00:00,08:48:00,"Lojpersberger,Lemley",0.5,5,40,10,1,10,10,0,0,0,5,25,60,10,"Residential",NA,"Poor","Other",2,2,0,2,"Soft","Silt","Turbidity","Dominant land use Ag, not residential. Nothing to scrape for habs sample.","Low",5,5,4,10,15,10,13,8,8,7,7,4,4,NA,21,440,6.25,70.2,7.22,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20180828","N"
"13-RIOG-0.7_20180828","13-RIOG-0.7",13,2018-08-28 04:00:00,09:51:00,"Lemley,Lojpersberger",0.2,4,30,30,1,0,90,0,0,0,10,80,10,0,"Residential",NA,"Poor","Other",2,0,2,2,"Soft","Sand",NA,"Land use Ag, not res.","Low",17,-9999,14,15,15,16,13,6,6,6,6,4,4,NA,24,862,6.67,79.5,7.36,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20180828","Y"
"17-SWML-1.4_20180912","17-SWML-1.4",17,2018-09-12 04:00:00,08:49:00,"Onion,Stoll",0.05,2,1,70,1,0,70,100,0,0,0,20,80,0,"Residential",NA,"Very_poor","Other",2,0,2,2,"Very_soft","Silt","DOC","Below wetland","Low",7,6,1,1,15,12,6,9,9,9,9,9,2,NA,25,165,4.37,43.9,6.05,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20180912","Y"
"17-MIAN-14.2_20180912","17-MIAN-14.2",17,2018-09-12 04:00:00,08:58:00,"Duffy,Schnore",1,5,40,100,1,30,20,NA,0,0,0,30,70,0,"Residential",NA,NA,NA,-9999,-9999,-9999,-9999,"Very_soft","Silt","Turbidity","Some green floating stuff and film, possible hab","Low",12,12,10,15,19,13,19,9,9,10,9,10,5,NA,18,456,8.35,88.6,7.21,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20180912",NA
"17-OROW-0.6_20180912","17-OROW-0.6",17,2018-09-12 04:00:00,10:01:00,"Lojpersberger,Woltmann",0.3,4,25,10,1,60,50,0,0,0,5,85,10,0,"Residential",NA,"Poor","Sand",2,2,2,2,"Soft","Silt","Turbidity","Low gradient stream in weed choked areA next to car lot and residences","Low",16,13,10,14,17,10,8,8,8,9,6,5,3,NA,16,353,6.2,63,5.95,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20180912","Y"
