"site_id","sample_date","event_id"
"01-FISN-2.4",2015-08-04,"01-FISN-2.4_20150804"
"01-GILL-0.3",2015-08-04,"01-GILL-0.3_20150804"
"01-GOTC-0.2",2015-08-04,"01-GOTC-0.2_20150804"
"01-LSIS-2.4",2015-08-05,"01-LSIS-2.4_20150805"
"01-MURD-20.0",2015-08-04,"01-MURD-20.0_20150804"
"01-PION-0.9",2015-08-05,"01-PION-0.9_20150805"
"01-PLUT_N_T4-1.0",2015-07-07,"01-PLUT_N_T4-1.0_20150707"
"01-STYB_T5-0.3",2015-07-08,"01-STYB_T5-0.3_20150708"
"01-TONA-103.5",2015-08-06,"01-TONA-103.5_20150806"
"01-VBUR-0.4",2016-07-20,"01-VBUR-0.4_20160720"
"02-BLBA-0.4",2016-08-31,"02-BLBA-0.4_20160831"
"02-CASS-25.6",2016-08-31,"02-CASS-25.6_20160831"
"02-CASS-33.3",2016-08-31,"02-CASS-33.3_20160831"
"02-RAWS-0.8",2016-08-30,"02-RAWS-0.8_20160830"
"03-BEAG-1.8",2015-07-22,"03-BEAG-1.8_20150722"
"03-BEEK-4.5",2016-08-17,"03-BEEK-4.5_20160817"
"03-CHMO-8.6",2015-07-21,"03-CHMO-8.6_20150721"
"03-EMIL_E_T6-0.4",2015-07-08,"03-EMIL_E_T6-0.4_20150708"
"03-FOMI-5.5",2015-07-21,"03-FOMI-5.5_20150721"
"03-FOMI_S-0.1",2015-07-21,"03-FOMI_S-0.1_20150721"
"03-GUFF-0.9",2015-07-21,"03-GUFF-0.9_20150721"
"03-HRTB-2.2",2015-07-21,"03-HRTB-2.2_20150721"
"03-JEDO_T3-0.4",2015-07-08,"03-JEDO_T3-0.4_20150708"
"03-JOHN-13.7",2015-07-21,"03-JOHN-13.7_20150721"
"03-MIDL-2.4",2015-07-21,"03-MIDL-2.4_20150721"
"03-SAND_T21-4.0",2015-07-16,"03-SAND_T21-4.0_20150716"
"03-TELV-12.8",2015-07-21,"03-TELV-12.8_20150721"
"03-YANT_T1c-0.2",2015-07-22,"03-YANT_T1c-0.2_20150722"
"04-BLAK_N_T1-1.1",2019-07-23,"04-BLAK_N_T1-1.1_20190723"
"04-BLAK_T16-0.8",2019-07-23,"04-BLAK_T16-0.8_20190723"
"04-BLAK_T7-3.0",2015-07-07,"04-BLAK_T7-3.0_20150707"
"04-BLCE-5.2",2019-07-24,"04-BLCE-5.2_20190724"
"04-JCOX-4.6",2015-07-08,"04-JCOX-4.6_20150708"
"04-JCOX_S-3.7",2019-07-23,"04-JCOX_S-3.7_20190723"
"04-MCMI_S-5.0",2019-07-23,"04-MCMI_S-5.0_20190723"
"04-OATK-46.2",2015-07-29,"04-OATK-46.2_20150729"
"04-SPRG-10.1",2015-07-08,"04-SPRG-10.1_20150708"
"04-WCONI-0.6",2019-07-23,"04-WCONI-0.6_20190723"
"04-WDIT-0.1",2019-07-24,"04-WDIT-0.1_20190724"
"04-WMRSG-0.2",2019-07-25,"04-WMRSG-0.2_20190725"
"05-CAMB-11.2",2015-06-15,"05-CAMB-11.2_20150615"
"05-CBRO-1.8",2017-08-28,"05-CBRO-1.8_20170828"
"05-STEO-35.7",2017-08-09,"05-STEO-35.7_20170809"
"05-WINI_T2-1.2",2015-06-15,"05-WINI_T2-1.2_20150615"
"06-FABS-5.0",2015-07-03,"06-FABS-5.0_20150703"
"06-FLYS-0.7",2015-07-03,"06-FLYS-0.7_20150703"
"06-MADB-0.1",2015-07-03,"06-MADB-0.1_20150703"
"06-NING-7.7",2015-07-16,"06-NING-7.7_20150716"
"07-BLDY-0.1",2016-07-13,"07-BLDY-0.1_20160713"
"07-BUTL-3.5",2015-07-07,"07-BUTL-3.5_20150707"
"07-CANA-32.8",2016-07-12,"07-CANA-32.8_20160712"
"07-COWA_T10-0.9",2016-07-14,"07-COWA_T10-0.9_20160714"
"07-GEDD-1.4",2016-07-13,"07-GEDD-1.4_20160713"
"07-HARB-0.5",2015-07-07,"07-HARB-0.5_20150707"
"07-HENC_T4-1.2",2016-07-13,"07-HENC_T4-1.2_20160713"
"07-JACB-1.9",2016-07-12,"07-JACB-1.9_20160712"
"07-LITR-0.2",2016-07-12,"07-LITR-0.2_20160712"
"07-MUDE-4.4",2015-07-03,"07-MUDE-4.4_20150703"
"07-MUSK-0.5",2015-07-07,"07-MUSK-0.5_20150707"
"07-NINE-0.7",2016-07-13,"07-NINE-0.7_20160713"
"07-NORB_T10-1.5",2016-07-13,"07-NORB_T10-1.5_20160713"
"07-ONON_W_T7-1.5",2015-07-03,"07-ONON_W_T7-1.5_20150703"
"07-POBK_T4-1.5",2015-07-07,"07-POBK_T4-1.5_20150707"
"07-SNDR-1.5",2016-07-13,"07-SNDR-1.5_20160713"
"07-WBOT-0.3",2015-07-07,"07-WBOT-0.3_20150707"
"08-BARE_T5-0.5",2015-06-19,"08-BARE_T5-0.5_20150619"
"08-BENE-0.2",2017-09-12,"08-BENE-0.2_20170912"
"08-BLAC-2.5",2015-07-16,"08-BLAC-2.5_20150716"
"08-MURM-3.4",2017-09-13,"08-MURM-3.4_20170913"
"09-ALLE-1.9",2015-07-15,"09-ALLE-1.9_20150715"
"09-BIBK-5.4",2019-09-10,"09-BIBK-5.4_20190910"
"09-BLCH-0.2",2015-07-15,"09-BLCH-0.2_20150715"
"09-BRND-2.5",2015-09-22,"09-BRND-2.5_20150922"
"09-CEDL-0.1",2015-07-15,"09-CEDL-0.1_20150715"
"09-CHPW-11.0",2019-09-17,"09-CHPW-11.0_20190917"
"09-ENGL-17.6",2015-07-15,"09-ENGL-17.6_20150715"
"09-FARR-3.1",2015-07-15,"09-FARR-3.1_20150715"
"09-FSCR-9.2",2019-09-11,"09-FSCR-9.2_20190911"
"09-JEWT-3.1",2015-09-23,"09-JEWT-3.1_20150923"
"09-LSAL_T1-1.0",2015-09-21,"09-LSAL_T1-1.0_20150921"
"09-LSUK-11.3",2015-07-15,"09-LSUK-11.3_20150715"
"09-LTTL-13.2",2019-09-10,"09-LTTL-13.2_20190910"
"09-MARA-4.5",2019-09-10,"09-MARA-4.5_20190910"
"09-OTTS-0.2",2019-09-17,"09-OTTS-0.2_20190917"
"09-PIKC-8.7",2015-09-21,"09-PIKC-8.7_20150921"
"09-PLMB-12.4",2015-09-22,"09-PLMB-12.4_20150922"
"09-SCKE-16.4",2015-07-15,"09-SCKE-16.4_20150715"
"09-SOAP-0.8",2019-09-18,"09-SOAP-0.8_20190918"
"09-TRAY-2.9",2015-07-15,"09-TRAY-2.9_20150715"
"09-WHIK-0.8",2019-09-11,"09-WHIK-0.8_20190911"
"09-WSCK-3.4",2015-09-23,"09-WSCK-3.4_20150923"
