OBJECTID,Name,RegionID,RegionName,AreaPercen,AreaSqMi,StatLabel,StatName,Value,Units,MinLimit,MaxLimit
1,04-BLAK_N_T1-1.1,gc1076,2006_Full_Region_6,100,5.83,DRNAREA,Drainage Area,5.83,square miles,0.58,2467
2,04-BLAK_N_T1-1.1,gc1076,2006_Full_Region_6,100,5.83,SLOPERATIO,Slope Ratio NY,4403834.56,dimensionless,0.019,0.698
3,04-BLAK_N_T1-1.1,gc1076,2006_Full_Region_6,100,5.83,EL1200,Percentage of Basin Above 1200 ft,0.0,percent,0,100
4,04-BLAK_N_T1-1.1,gc1076,2006_Full_Region_6,100,5.83,STORAGE,Percent Storage,2.79,percent,0,5.98
5,04-BLAK_N_T1-1.1,gc1076,2006_Full_Region_6,100,5.83,MAR,Mean Annual Runoff in inches,9.88,inches,9.49,22.77
6,04-BLAK_N_T1-1.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,5.83,DRNAREA,Drainage Area,5.83,square miles,3.14,4780
7,04-BLAK_N_T1-1.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,5.83,JUNAVPRE,Mean June Precipitation,3.616,inches,3.59,5.33
8,04-BLAK_N_T1-1.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,5.83,CENTROIDX,CENTROIDX,256431.1,meters,166000,658000
9,04-BLAK_N_T1-1.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,5.83,CENTROIDY,CENTROIDY,4783159.5,meters,4560000,4920000
10,04-BLAK_N_T1-1.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,5.83,CSL1085LO,10-85 slope of lower half of main channel,3.691,feet per mi,1.56,152
11,04-BLAK_N_T1-1.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,5.83,MAR,Mean Annual Runoff in inches,9.88,inches,11.6,37.4
12,04-BLAK_N_T1-1.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,5.83,SSURGOB,SSURGO Percent Hydrologic Soil Type B,53.076,percent,1.14,65.7
13,04-BLAK_N_T1-1.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,5.83,JULAVPRE,Mean July Precipitation,2.974,inches,3.2,5.26
14,04-BLAK_N_T1-1.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,5.83,MAYAVPRE,Mean May Precipitation,3.016,inches,3.15,5.68
15,04-BLAK_N_T1-1.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,5.83,PRJUNAUG00,Basin average mean precip for June to August,9.978,inches,10.5,15.5
16,04-BLAK_N_T1-1.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,5.83,JUNMAXTMP,Maximum June Temperature,76.659,degrees F,68.8,78.8
17,04-BLAK_N_T1-1.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,5.83,SSURGOA,SSURGO Percent Hydrologic Soil Type A,0.0,percent,0.62,51.2
18,04-BLAK_N_T1-1.1,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,5.83,EL1200,Percentage of Basin Above 1200 ft,0.0,percent,0,100
19,04-BLAK_N_T1-1.1,gc1431,Bankfull_Region_7_SIR2009_5144,100,5.83,DRNAREA,Drainage Area,5.83,square miles,1.07,349
20,04-BLAK_T16-0.8,gc1076,2006_Full_Region_6,100,4.59,DRNAREA,Drainage Area,4.59,square miles,0.58,2467
21,04-BLAK_T16-0.8,gc1076,2006_Full_Region_6,100,4.59,SLOPERATIO,Slope Ratio NY,0.37,dimensionless,0.019,0.698
22,04-BLAK_T16-0.8,gc1076,2006_Full_Region_6,100,4.59,EL1200,Percentage of Basin Above 1200 ft,0.0,percent,0,100
23,04-BLAK_T16-0.8,gc1076,2006_Full_Region_6,100,4.59,STORAGE,Percent Storage,0.47,percent,0,5.98
24,04-BLAK_T16-0.8,gc1076,2006_Full_Region_6,100,4.59,MAR,Mean Annual Runoff in inches,9.79,inches,9.49,22.77
25,04-BLAK_T16-0.8,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,4.59,DRNAREA,Drainage Area,4.59,square miles,3.14,4780
26,04-BLAK_T16-0.8,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,4.59,JUNAVPRE,Mean June Precipitation,3.561,inches,3.59,5.33
27,04-BLAK_T16-0.8,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,4.59,CENTROIDX,CENTROIDX,263858.3,meters,166000,658000
28,04-BLAK_T16-0.8,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,4.59,CENTROIDY,CENTROIDY,4780331.2,meters,4560000,4920000
29,04-BLAK_T16-0.8,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,4.59,CSL1085LO,10-85 slope of lower half of main channel,21.477,feet per mi,1.56,152
30,04-BLAK_T16-0.8,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,4.59,MAR,Mean Annual Runoff in inches,9.79,inches,11.6,37.4
31,04-BLAK_T16-0.8,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,4.59,SSURGOB,SSURGO Percent Hydrologic Soil Type B,45.295,percent,1.14,65.7
32,04-BLAK_T16-0.8,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,4.59,JULAVPRE,Mean July Precipitation,2.987,inches,3.2,5.26
33,04-BLAK_T16-0.8,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,4.59,MAYAVPRE,Mean May Precipitation,2.955,inches,3.15,5.68
34,04-BLAK_T16-0.8,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,4.59,PRJUNAUG00,Basin average mean precip for June to August,9.98,inches,10.5,15.5
35,04-BLAK_T16-0.8,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,4.59,JUNMAXTMP,Maximum June Temperature,76.817,degrees F,68.8,78.8
36,04-BLAK_T16-0.8,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,4.59,SSURGOA,SSURGO Percent Hydrologic Soil Type A,0.571,percent,0.62,51.2
37,04-BLAK_T16-0.8,gc1734,Statewide_duration_flows_excl_LongIsl_2014_5220,100,4.59,EL1200,Percentage of Basin Above 1200 ft,0.0,percent,0,100
38,04-BLAK_T16-0.8,gc1431,Bankfull_Region_7_SIR2009_5144,100,4.59,DRNAREA,Drainage Area,4.59,square miles,1.07,349
39,04-BLCE-5.2,gc1075,2006_Full_Region_5,100,22.3,DRNAREA,Drainage Area,22.3,square miles,1.7,4773
40,04-BLCE-5.2,gc1075,2006_Full_Region_5,100,22.3,CSL10_85,Stream Slope 10 and 85 Method,7.48,feet per mi,2.76,222.55
41,04-BLCE-5.2,gc1075,2006_Full_Region_5,100,22.3,PRECIP,Mean Annual Precipitation,34.03,inches,31.64,49.79
