"BAS_LOC_RM","BASIN.x","LOCATION.x","RIVMILE.x","STATION.x","COLL_DATE","CREW","ARRIVETIME","SAMP","LANDUSE","DEPTH","WIDTH","CUR_SPD","CANOPY","EMBEDD","ROCK","RUBBLE","GRAVEL","SAND","SILT","CLAY","TEMP","COND","DO","PH","PERCENT_SAT","SALINITY","SECCHI","ALGAE_S","ALGAE_FIL","ALGAE_D","THICKNESS_D","MACRO","EPHEM","PLECOP","TRICH","COLEOP","MEGALOP","ODONATA","CHIR","SIMUL","DECAPOD","GAMMAR","MOLLUSK","OLIGO","OTHERS","FIELD_WQA","HABITAT","ORG_FOR_TOXICS","MICROTOX","LGS_HAB_BNK","LGS_HAB_MAC","LGS_HAB_SNG","LGS_HAB_SUB","BOTTOM_TYPE","DOM_SUBSTRATE","WTRCLR_DRIVER","PHT_ID_UP","PHT_ID_DWN","NOTES","PROJECT","HAB_PRESENT","SITE_ID","LOCATION.y","RIVMILE.y","STATION.y","DESCRIPT","DIRECT","LATITUDE","LONGITUDE","COUNTY","FIPS_CODE","BASIN.y","NAME","HUC_8","WQ_STANDARD","DEC_REGION","PWL_ID","WIN","HABITAT_TYPE","SITE_CONDITION","DRAINAGE","NED10_Elevation"
"01-BUFC-37.8",1,"BUFC",37.8,NA,"7/19/2016","LOPE, HEIT,ONION, REIGLE","14:00","Sampled","Residential",0.12,4,90,86,5,0,30,30,10,0,30,19.9,404.3,9.46,8.09,103.6,NA,0,0,1,50,1,NA,1,1,1,1,1,0,1,0,1,0,0,0,"","Good","Adequate",1,1,NA,NA,NA,NA,"","","","14692051680003.jpg","14692051680004.jpg","Net jab- low flow marginal sam","RIBS_Int",NA,42674959,"BUFC","37.8","37.8","100 m off CR 395","Java",42.64,-78.462,"Wyoming",121,"01","Buffalo Creek",4120103,"A",9,"0103-0004","Ont 158..E- 1*",NA,NA,NA,368.3454285
"01-VBUR-0.4",1,"VBUR",0.4,NA,"7/20/2016","Heitzman, Lojps, Reigle, Onion","13:33","Sampled","Residential",0.1,1,NA,50,50,0,10,35,35,15,5,21.4,827,5.65,7.24,63,NA,0,1,1,90,3,0,0,0,1,0,0,1,1,0,1,0,1,0,"","Poor","Low flow",1,1,2,1,0,2,"Hard","Gravel","Turbidity","14692051680023.jpg","14692051680024.jpg","No pebble count Water very low, stream narrow, few rubble & coarse gravel. No current speed, almost stagnant.","RIBS_Int",NA,3314,"VBUR","0.4","1","150 m below Van Buren Rd crossing","Pomfret",42.44742,-79.40407,"Chautauqua",13,"01","Van  Buren Bay Creek",4120101,"C",9,"0105-0015","E-41",NA,NA,NA,180.7266693
"02-BLBA-0.4",2,"BLBA",0.4,NA,"8/31/2016","Lope, Heitz ","13:52","Sampled","Agriculture",1,5,NA,18,NA,NA,NA,NA,NA,NA,NA,21.1,387,4.7,7.4,52,NA,0,1,0,NA,NA,50,0,0,0,0,0,0,0,0,0,0,0,0,"","","Other",0,0,2,2,2,2,"Hard","Gravel","Turbidity","14731747070009.jpg","14731747070010.jpg","Low gradient ","RIBS_Scr",NA,2244,"BLBA","0.4","1","Conway Rd.","French Creek",42.05833,-79.73194,"Chautauqua",13,"02","Black Brook",5010004,"B",9,"0202-0066","PA-81-10",NA,NA,NA,426.338623
"02-CASS-25.6",2,"CASS",25.6,NA,"8/31/2016","Duffieber ","12:21","Sampled","Agriculture",1,10,5,8.5,NA,NA,NA,NA,NA,NA,NA,22.3,284,4.5,7.5,55,NA,0,1,0,NA,NA,20,0,0,0,0,0,0,0,0,0,0,0,0,"","","",0,0,2,2,2,2,"Soft","Silt","Turbidity","14731790090011.jpg","14731790090012.jpg","Low gradient sample","RIBS_Scr",NA,1740,"CASS","25.6","1","Rt. 56, 80m below dead-end bridge","Stockton",42.24392,-79.30647,"Chautauqua",13,"02","Cassadaga Creek",5010002,"C",9,"0202-0031","PA-63-13",NA,NA,NA,383.45578
"02-CASS-33.3",2,"CASS",33.3,NA,"8/31/2016","Duffieber ","11:47","Sampled","Agriculture",1,4,0,16,NA,NA,NA,NA,NA,NA,NA,18.5,401,3.7,7.7,40,NA,0,1,0,NA,NA,10,0,0,0,0,0,0,0,0,0,0,0,0,"","","",0,0,2,2,2,2,"Soft","Silt","Turbidity","14731790090013.jpg","14731790090014.jpg","Low gradient site","RIBS_Scr",NA,1556,"CASS","33.3","0","10 m below Luce Rd. bridge","Stockton",42.31195,-79.29892,"Chautauqua",13,"02","Cassadaga Creek",5010002,"CT",9,"0202-0031","PA-63-13",NA,NA,NA,396.0690002
"02-RAWS-0.8",2,"RAWS",0.8,NA,"8/30/2016","Mosher smith","13:06","Sampled","Forest",0.2,4,0,4,30,0,50,20,10,20,NA,23.4,304,5.3,7.1,62,0.1,0,1,0,60,2,30,1,0,0,1,1,1,0,0,1,0,1,0,"Hemipterans","","Low flow",0,1,2,2,2,2,"Hard","Gravel","DOC","14728238780037.jpg","14728238780038.jpg","Sheen on water, water scorpion, hard bottom","RIBS_Scr",NA,42675179,"RAWS","0.8","0.8","Adjacent to Rawson Road","New Hudson",42.268753,-78.30101,"Allegany",3,"02","Rawson Creek",5010001,"C",9,"0201-0060","Pa-53-54-11- 5-P115-(2a)",NA,NA,NA,476.552124
"02-WANG_W-0.1",2,"WANG_W",0.1,NA,"8/31/2016","Duffieber ","14:39","Sampled","Agriculture",0.2,3,85,68,NA,0,0,20,80,0,0,20.9,478.4,8,8,93,NA,0,0,0,NA,NA,0,1,0,1,1,0,0,1,0,0,0,0,0,"Athericidae","Good","Sand",0,1,NA,NA,NA,NA,"","","","14731790090043.jpg","14731790090044.jpg","","RIBS_Scr",NA,42675204,"WANG_W","0.1","W0","Kent Switch Road Bridge  Sandy stream criteria","Leon",42.326047,-79.051465,"Cattaraugus",9,"02","West Branch Conewango Creek",5010002,"C",9,"0202-0050","Pa-63-44","High gradient- hard bottom",NA,NA,388.519928
"03-BEEK-4.5",3,"BEEK",4.5,NA,"8/17/2016","Lojp heitzman mosher onion","10:31","Sampled","Agriculture",0.5,4,0,68,NA,NA,NA,NA,NA,NA,NA,22.5,615,1.9,7.6,23,0.3,0,1,1,100,2,50,0,0,0,0,0,0,0,0,0,0,0,0,"","","Low flow",0,0,2,2,2,2,"Soft","Silt","Turbidity","14716173550003.jpg","14716173550004.jpg","Swampy, may be impounded downstream of road Done for Permits section info","RIBS_Scr",NA,NA,"BEEK","4.5","","Lummisville Rd (second choice: Ridge Road, town of Huron  43.223314, -76.896993)","Lummisville",43.243124,-76.899616,"Wayne",117,"03","Beaver Creek",4140101,"C",8,"0302-0062","Ont  82/P93 ..","Low gradient- soft bottom","Altered",14.10938531,82.56526184
"05-CBRO-1.8",5,"CBRO",1.8,NA,"8/28/2017","Mosher heitzman","14:20","Sampled","Residential",0.8,10,10,41,NA,NA,NA,NA,NA,NA,NA,15.5,706,6.3,7.2,64,0.36,NA,0,1,0,NA,60,0,0,0,0,0,0,0,0,0,0,0,0,"","","Adequate",0,0,2,2,2,2,"Soft","Silt","Turbidity","15040392720003.jpg","15040392720004.jpg","Nice low gradient site, not gross","RIBS_Scr",0,2736,"CBRO","1.8","1","Maple Ave","Southport",42.06369,-76.78584,"Chemung",15,"05","Coldbrook Creek",2050105,"C",8,"0501-0027","PA-3-22",NA,NA,NA,255.8582153
"05-STEO-35.7",5,"STEO",35.7,NA,"8/9/2017","Smith, Duffy","11:56","Sampled","Agriculture",0.5,15,17,6,75,5,10,25,10,50,0,20,635,6.7,7.7,76,NA,NA,1,1,100,3,30,1,0,1,1,0,0,1,0,1,0,0,0,"","Good","Other",0,0,2,2,2,2,"Soft","Silt","Turbidity","15027233130033.jpg","15027233130034.jpg","Low gradient stream","RIBS_Scr",0,912,"STEO","35.7","3","5 m below Magee Rd. bridge","Hornellsville",42.28617,-77.6244,"Steuben",101,"05","Canisteo River",2050104,"C",8,"0503-0001","PA-3-57-5",NA,NA,NA,338.8872986
"07-BLDY-0.1",7,"BLDY",0.1,NA,"7/13/2016","Lope,heitz","9:52","Sampled","Residential",0.35,3.5,5,0,10,0,30,10,50,10,NA,20.2,2592,7.1,7.9,79,1.3,0,1,1,100,3,30,0,0,0,0,0,0,0,0,0,0,0,0,"","","Adequate",0,0,2,2,0,2,"Hard","Sand","Turbidity","14688517040003.jpg","14688517040004.jpg","Low gradient","RIBS_Scr",NA,83,"BLDY","0.1","6","2 m below Onondaga Lake Parkway (Rt. 370) bridge","Salina",43.09639,-76.20167,"Onondaga",67,"07","Bloody Brook",4140201,"B",7,"0702-0006","ONT-66-12-12-P154-2",NA,NA,NA,110.8867645
"07-CANA-32.8",7,"CANA",32.8,NA,"7/12/2016","Chong, Duffy","13:36","Sampled","Residential",1,7,30,NA,NA,NA,NA,NA,NA,NA,NA,24.07,536,9.08,8.14,108,0.26,0,1,0,10,NA,30,0,0,0,0,0,0,0,0,0,0,0,0,"","","",0,0,2,2,2,2,"Soft","Silt","Susp algae","14685037830005.jpg","14685037830006.jpg","","RIBS_Scr",NA,129,"CANA","32.8","2","Below Saltonstall Road","Canandaigua",42.8867,-77.26598,"Ontario",69,"07","Canandaigua Outlet",4140201,"C",8,"0704-0001","ONT-66-12-52",NA,NA,NA,210.1450043
"07-COWA_T10-0.9",7,"COWA_T10",0.9,NA,"7/14/2016","LOPE, HEITZ","8:55","Sampled","Residential",3,3,10,60,NA,NA,NA,NA,NA,NA,NA,22,551,4.8,7.69,57,0.27,0,0,0,NA,NA,10,0,0,0,0,0,0,0,0,1,0,0,0,"","","Low flow",0,1,2,2,2,2,"Very soft","Silt","Turbidity","14688517040007.jpg","14688517040008.jpg","Heavy rains previous night. Oil sheen on water, could be from National Grid working on power lines that fell in storm. Small YOY smallmouth bass","RIBS_Scr",NA,42675197,"COWA_T10","0.9","T0.9","West Elm St/Rte 14 Bridge","Oneida",43.091923,-75.675723,"Madison",53,"07","Unnamed Tributary to Cowaselon Creek",4140202,"C",7,"0703-0093","Ont  66-11-P26-33","Low gradient- soft bottom","Altered",3,130.9309998
"07-GEDD-1.4",7,"GEDD",1.4,NA,"7/13/2016","Chong, Duffy","14:12","Sampled","Commercial",0.3,3,25,75,NA,NA,NA,NA,NA,NA,NA,18.03,2267,8.18,7.67,87,1.17,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"","Good","",0,0,2,2,1,2,"Hard","Gravel","","14685037830017.jpg","14685037830018.jpg","","RIBS_Scr",NA,383,"GEDD","1.4","1","Horan Rd. bridge","Camillus",43.05761,-76.23376,"Onondaga",67,"07","Geddes Brook",4140201,"CT",7,"0702-0007","ONT-66-12-12-P154-6-2",NA,NA,NA,126.6753845
"07-HARB-0.5",7,"HARB",0.5,NA,"7/13/2016","Chong, Duffy","14:39","Sampled","Commercial",1,3,NA,3,NA,NA,NA,NA,NA,NA,NA,18.71,2435,10.66,7.9,114.9,1.26,0,0,0,100,3,20,0,0,0,0,0,0,0,0,0,0,0,0,"","Poor","",0,1,NA,2,NA,2,"","","","14685037830021.jpg","14685037830022.jpg","","RIBS_Scr",NA,420,"HARB","0.5","2","100 m below Hiawatha Blvd. bridge, at USGS gage","Syracuse",43.0561,-76.1853,"Onondaga",67,"07","Harbor Brook",4140201,"C",7,"0702-0002","ONT-66-12-12-P154-5",NA,NA,NA,116.0307846
"07-HENC_T4-1.2",7,"HENC_T4",1.2,NA,"7/13/2016","Mosher smith","8:35","Sampled","Agriculture",0.2,0.8,0,0,NA,0,25,35,20,10,10,16.4,406,4.2,7.5,42,0.2,0,0,0,10,1,0,0,0,0,1,0,0,1,0,1,0,0,0,"","Good","Low flow",0,0,2,0,0,2,"Hard","Gravel","Turbidity","14685084240015.jpg","14685084240016.jpg","Low flow, low gradient, agriculture, large farm upstream, knotweed, bugs not bad.","RIBS_Scr",NA,42675200,"HENC_T4","1.2","T1.2","Updyke Road Bridge","Hector",42.471925,-76.741383,"Schuyler",97,"07","Unnamed Tributary to Hencoop Creek",4140201,"C",8,"0705-0013","Ont  66-12-P296- 98","Low gradient- soft bottom","Altered",1,359.9620361
"07-JACB-1.9",7,"JACB",1.9,NA,"7/12/2016","Mosher smith","14:28","Sampled","Agriculture",0.2,3,4,1,75,0,10,10,30,40,10,18,730,8.1,8.1,85,0.4,0,1,0,30,1,10,0,0,1,1,0,1,1,0,0,0,0,0,"Hemip","Poor","Other",0,1,2,2,0,2,"Soft","Silt","Turbidity","14685084240017.jpg","14685084240018.jpg","Low gradient","RIBS_Scr",NA,42675159,"JACB","1.9","1.9","Flat Street Bridge","Benton",42.683204,-77.051365,"Yates",123,"07","Jacobs Brook (trib to Keuka L outlet)",4140201,"D",8,"0705-0020","Ont  66-12-P369-115",NA,NA,NA,244.7589874
"07-LITR-0.2",7,"LITR",0.2,NA,"7/12/2016","LOPE, HEITZ","14:48","Sampled","Forest",0.6,8,20,36,30,NA,NA,NA,NA,NA,NA,21.8,119,8.3,7.6,96,0.05,0,0,1,90,1,30,0,0,0,0,0,0,0,0,0,0,0,0,"","","Other",0,1,2,2,2,2,"Hard","Silt","Turbidity","14688517040015.jpg","14688517040016.jpg","LGSS","RIBS_Scr",NA,2222,"LITR","0.2","1","Rt. 13 


10m above","Vienna",43.29083,-75.7175,"Oneida",65,"07","Little River",4140202,"CT",6,"0703-0078","ONT-66-11-P26-24-22",NA,NA,NA,140.0972595
"07-NINE-0.7",7,"NINE",0.7,NA,"7/13/2016","Dong","13:50","Sampled","Commercial",0.7,15,10,15,NA,NA,NA,NA,NA,NA,NA,22.2,2743,10.4,7.9,120,1.42,0,0,1,NA,NA,10,0,0,0,0,0,0,0,0,0,0,0,0,"","Poor","",0,0,2,1,1,2,"Soft","Silt","Turbidity","14685037830025.jpg","14685037830026.jpg","","RIBS_Scr",NA,639,"NINE","0.7","2","off State Fair Blvd, opp. Lakeside pumping station","Geddes",43.08083,-76.22667,"Onondaga",67,"07","Ninemile Creek",4140201,"C",7,"0702-0005","ONT-66-12-12-P154-6",NA,NA,NA,110.456131
"07-NORB_T10-1.5",7,"NORB_T10",1.5,NA,"7/13/2016","Chong, Duffy","8:08","Sampled","Agriculture",0.1,1,NA,100,NA,NA,NA,NA,NA,NA,NA,18.29,724,6.91,7.94,73.1,0.35,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"","","Adequate",0,0,2,1,2,2,"Soft","Sand","Turbidity","14685037830039.jpg","14685037830040.jpg","Scud dominated","RIBS_Scr",NA,3251,"NORB_T10","1.5","1.5","At bridge on SR 34","Sennett",42.972,-76.561,"Cayuga",11,"07","Unnamed Tributary to North Brook",4140201,"AA",7,"0701-0040","ONT-66-12-36-10-1",NA,NA,NA,172.7529144
"07-SNDR-1.5",7,"SNDR",1.5,NA,"7/13/2016","Lope,heitz","11:18","Sampled","Commercial",0.25,1.5,0.5,2,20,0,25,30,30,15,NA,23,2708,2.6,7.27,30,1.41,0,0,1,100,1,30,0,0,0,0,0,0,0,0,1,0,0,0,"","","Adequate",0,0,2,2,0,2,"Soft","Silt","Turbidity","14688517040029.jpg","14688517040030.jpg","Crawfish in large number. On a low gradient ditch stream low gradient protocol no wga   70 crawfish counted in sample. Removed some for effective. Preservation. Appeared to be all rusticus.  ","RIBS_Scr",NA,1708,"SNDR","1.5","1","@culvert below Kinne St & Rt 298","De Witt",43.08694,-76.07972,"Onondaga",67,"07","Sanders Creek",4140201,"C",7,"0702-0001","ONT-66-12-12-P154-3",NA,NA,NA,120.5516891
"08-BENE-0.2",8,"BENE",0.2,NA,"9/12/2017","Mosher onion","12:54","Sampled","Wetland",1,10,NA,13,NA,NA,NA,NA,NA,NA,NA,11.8,17.6,9.99,6.42,98.1,NA,NA,0,0,NA,NA,10,0,0,0,0,0,0,0,0,0,0,0,0,"","","Adequate",0,0,2,2,2,2,"Hard","Sand","DOC","15057415140005.jpg","15057415140006.jpg","May have once been riffle, now very much low gradient, hard bottomed","RIBS_Scr",0,1733,"BENE","0.2","1","8miles east of Limekiln Lake","Inlet",43.67611,-74.70834,"Hamilton",41,"08","Benedict Creek",4150101,"CT",5,"0801-0346","ONT-19-81-60-3",NA,NA,NA,561.0436401
"08-MURM-3.4",8,"MURM",3.4,NA,"9/13/2017","Smith, Duffy","10:17","Sampled","Agriculture",0.3,5,34,13,25,NA,NA,NA,100,NA,NA,12,48,10.1,6.5,93,NA,NA,0,0,50,1,20,0,0,0,0,0,0,0,0,0,0,0,0,"","","",0,0,2,2,2,2,"Soft","Sand","DOC","15057436650021.jpg","15057436650022.jpg","Nice low gradient stream even though it is in the middle of dense agricultural land.","RIBS_Scr",0,42675171,"MURM","3.4","3.4","20 m upstream of Lehman Rd.","New Bremen",43.884,-75.3472,"Lewis",49,"08","Murmur Creek",4150101,"C(T)",6,"0801-0219","Ont  19- 40- 7","Low gradient-soft bottom","Altered",35,270.8006287
"11-MOSE-12.8",11,"MOSE",12.8,NA,"8/3/2016","Chong, Mosher","","Not Sampled","Agriculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,"","","",0,0,NA,NA,NA,NA,"","","","14706806430017.jpg","14706806430018.jpg","Lots of vegetation to walk through, not wadable, too deep","RIBS_Scr",NA,3424,"MOSE","12.8","0","300 m north off  West Valley Rd","Argyle",43.210106,-73.507522,"Washington",115,"11","Moses Kill",2020003,"C",5,"1101-0077","H-314",NA,NA,NA,65.37504578
"11-ROWL-0.5",11,"ROWL",0.5,NA,"8/4/2016","Chong, Mosher","13:45","Sampled","Residential",0.2,10,NA,30,NA,NA,NA,NA,NA,NA,NA,21.3,489.4,8.61,7.84,97.3,0.24,0,0,1,50,1,20,0,0,0,0,0,0,0,0,0,0,0,0,"","","",0,0,2,2,2,2,"Soft","Silt","Turbidity","14706806430021.jpg","14706806430022.jpg","Low gradient, site change because no access","RIBS_Scr",NA,2413,"ROWL","0.5","1","King Arthur Court (behind house at back of cul-de-sac","Saratoga Springs",43.0695,-73.82728,"Saratoga",91,"11","Rowland Hollow",2020003,"CT",5,"1101-0071","H-299-P27-13-5-2",NA,NA,NA,86.61186981
"11-TOMH-12.2",11,"TOMH",12.2,NA,"8/5/2016","Smith, Stieber","8:33","Sampled","Agriculture",0.3,5,6,50,NA,0,5,10,10,75,0,19,245,3,7.1,24,0.12,0,0,1,100,2,20,1,0,1,0,0,0,0,0,0,1,0,0,"Hemiptera","Good","Other",0,1,2,2,2,2,"Soft","Silt","Turbidity","14706779700023.jpg","14706779700024.jpg","Low gradient, heavy ag district, beaver dam","RIBS_Scr",NA,3286,"TOMH","12.2","0","At bridge on John Snyder Road","Brunswick",42.801,-73.546,"Rensselaer",83,"11","Tomhannock Creek",2020003,"A",4,"1102-0021","H-264-4-P1095-5a",NA,NA,NA,148.9443665
