SiteID,BASIN,LOCATION,RIVMILE,STATION,COLL_DATE,CREW,ARRIVETIME,SAMP,LANDUSE,DEPTH,WIDTH,CUR_SPD,CANOPY,EMBEDD,ROCK,RUBBLE,GRAVEL,SAND,SILT,CLAY,TEMP,COND,DO,PH,PERCENT_SAT,SALINITY,SECCHI,ALGAE_S,ALGAE_FIL,ALGAE_D,THICKNESS_D,MACRO,EPHEM,PLECOP,TRICH,COLEOP,MEGALOP,ODONATA,CHIR,SIMUL,DECAPOD,GAMMAR,MOLLUSK,OLIGO,OTHERS,FIELD_WQA,HABITAT,ORG_FOR_TOXICS,MICROTOX,LGS_HAB_BNK,LGS_HAB_MAC,LGS_HAB_SNG,LGS_HAB_SUB,BOTTOM_TYPE,DOM_SUBSTRATE,WTRCLR_DRIVER,PHT_ID_UP,PHT_ID_DWN,NOTES,PROJECT,HAB_PRESENT
01-BUFC-37.8,1,BUFC,37.8,,7/19/2016,"LOPE, HEIT,ONION, REIGLE",14:00,Sampled,Residential,0.12,4,90,86,5,0,30,30,10,0,30,19.9,404.3,9.46,8.09,103.6,,0,0,1,50,1,,1,1,1,1,1,0,1,0,1,0,0,0,,Good,Adequate,1,1,,,,,,,,14692051680003.jpg,14692051680004.jpg,Net jab- low flow marginal sam,RIBS_Int,
01-VBUR-0.4,1,VBUR,0.4,,7/20/2016,"Heitzman, Lojps, Reigle, Onion",13:33,Sampled,Residential,0.1,1,,50,50,0,10,35,35,15,5,21.4,827,5.65,7.24,63,,0,1,1,90,3,0,0,0,1,0,0,1,1,0,1,0,1,0,,Poor,Low flow,1,1,2,1,0,2,Hard,Gravel,Turbidity,14692051680023.jpg,14692051680024.jpg,"No pebble count Water very low, stream narrow, few rubble & coarse gravel. No current speed, almost stagnant.",RIBS_Int,
02-RAWS-0.8,2,RAWS,0.8,,8/30/2016,Mosher smith,13:06,Sampled,Forest,0.2,4,0,4,30,0,50,20,10,20,,23.4,304,5.3,7.1,62,0.1,0,1,0,60,2,30,1,0,0,1,1,1,0,0,1,0,1,0,Hemipterans,,Low flow,0,1,2,2,2,2,Hard,Gravel,DOC,14728238780037.jpg,14728238780038.jpg,"Sheen on water, water scorpion, hard bottom",RIBS_Scr,
02-BLBA-0.4,2,BLBA,0.4,,8/31/2016,"Lope, Heitz ",13:52,Sampled,Agriculture,1,5,,18,,,,,,,,21.1,387,4.7,7.4,52,,0,1,0,,,50,0,0,0,0,0,0,0,0,0,0,0,0,,,Other,0,0,2,2,2,2,Hard,Gravel,Turbidity,14731747070009.jpg,14731747070010.jpg,Low gradient ,RIBS_Scr,
02-CASS-25.6,2,CASS,25.6,,8/31/2016,Duffieber ,12:21,Sampled,Agriculture,1,10,5,8.5,,,,,,,,22.3,284,4.5,7.5,55,,0,1,0,,,20,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,2,2,2,2,Soft,Silt,Turbidity,14731790090011.jpg,14731790090012.jpg,Low gradient sample,RIBS_Scr,
02-CASS-33.3,2,CASS,33.3,,8/31/2016,Duffieber ,11:47,Sampled,Agriculture,1,4,0,16,,,,,,,,18.5,401,3.7,7.7,40,,0,1,0,,,10,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,2,2,2,2,Soft,Silt,Turbidity,14731790090013.jpg,14731790090014.jpg,Low gradient site,RIBS_Scr,
02-WANG_W-0.1,2,WANG_W,0.1,,8/31/2016,Duffieber ,14:39,Sampled,Agriculture,0.2,3,85,68,,0,0,20,80,0,0,20.9,478.4,8,8,93,,0,0,0,,,0,1,0,1,1,0,0,1,0,0,0,0,0,Athericidae,Good,Sand,0,1,,,,,,,,14731790090043.jpg,14731790090044.jpg,,RIBS_Scr,
03-BEEK-4.5,3,BEEK,4.5,,8/17/2016,Lojp heitzman mosher onion,10:31,Sampled,Agriculture,0.5,4,0,68,,,,,,,,22.5,615,1.9,7.6,23,0.3,0,1,1,100,2,50,0,0,0,0,0,0,0,0,0,0,0,0,,,Low flow,0,0,2,2,2,2,Soft,Silt,Turbidity,14716173550003.jpg,14716173550004.jpg,"Swampy, may be impounded downstream of road Done for Permits section info",RIBS_Scr,
07-CANA-32.8,7,CANA,32.8,,7/12/2016,"Chong, Duffy",13:36,Sampled,Residential,1,7,30,,,,,,,,,24.07,536,9.08,8.14,108,0.26,0,1,0,10,,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,2,2,2,2,Soft,Silt,Susp algae,14685037830005.jpg,14685037830006.jpg,,RIBS_Scr,
07-JACB-1.9,7,JACB,1.9,,7/12/2016,Mosher smith,14:28,Sampled,Agriculture,0.2,3,4,1,75,0,10,10,30,40,10,18,730,8.1,8.1,85,0.4,0,1,0,30,1,10,0,0,1,1,0,1,1,0,0,0,0,0,Hemip,Poor,Other,0,1,2,2,0,2,Soft,Silt,Turbidity,14685084240017.jpg,14685084240018.jpg,Low gradient,RIBS_Scr,
