"BAS_LOC_RM","Ablabesmyia.mallochi","Ablabesmyia.sp.","Acentrella.sp.","Acerpenna.pygmaea","Acerpenna.sp.","Acricotopus.sp.","Aeshna.sp.","Agabus.sp.","Agnetina.capitata","Ancyronyx.sp.","Ancyronyx.variegatus","Anopheles.sp.","Antocha.sp.","Argia.sp.","Atherix.sp.","Aulodrilus.pigueti","Aulodrilus.pluriseta","Baetis.flavistriga","Baetis.intercalaris","Baetis.sp.","Baetis.tricaudatus","Basiaeschna.sp.","Belostoma.sp.","Berosus.sp.","Bezzia.sp.","Bithynia.tentaculata","Boyeria.sp.","Brachycentrus.appalachia","Brachycentrus.numerosus","Branchiura.sowerbyi","Brillia.sp.","Caecidotea.sp.","Caenis.sp.","Callibaetis.sp.","Calopteryx.sp.","Cambarus.sp.","Campeloma.decisum","Centroptilum.sp.","Ceratopsyche.bronta","Ceratopsyche.morosa","Ceratopsyche.slossonae","Ceratopsyche.sp.","Ceratopsyche.sparna","Chaetocladius.sp.","Chaetogaster.sp.","Chaoborus.sp.","Chauliodes.rastricornis","Chauliodes.sp.","Cheumatopsyche.sp.","Chimarra.aterrima?","Chimarra.obscura","Chironomus.sp.","Cladopelma.sp.","Cladotanytarsus.sp.","Clinotanypus.sp.","Cordulegaster.sp.","Corynoneura.sp.","Crangonyx.sp.","Cricotopus.bicinctus","Cricotopus.sp.","Cricotopus.trifascia.gr.","Cricotopus/Orthocladius.Complex","Cryptochironomus.sp.","Cryptotendipes.sp.","Cyrnellus.fraternus","Demicryptochironomus.sp.","Dero.sp.","Diamesa.sp.","Dicranota.sp.","Dicrotendipes.sp.","Dineutus.sp.","Diphetor.hageni","Diplocladius.cultriger","Dixella.sp.","Dolophilodes.sp.","Donacia.sp.","Dubiraphia.sp.","Ectopria.sp.","Enallagma.sp.","Endochironomus.subtendens","Epeorus.sp.","Ephemerella.sp.","Eukiefferiella.sp.","Eurylophella.sp.","Ferrissia.sp.","Fossaria.sp.","Gammarus.sp.","Glossosoma.sp.","Glyptotendipes.sp.","Goera.sp.","Gomphus.sp.","Guttipelopia.guttipennis","Gyraulus.sp.","Gyrinus.sp.","Habrophlebia.sp.","Hagenius.brevistylus","Haliplus.sp.","Harnischia.sp.","Helisoma.anceps","Helisoma.sp.","Helobdella.stagnalis","Helophorus.sp.","Hemerodromia.sp.","Hexagenia.sp.","Hyalella.azteca","Hyalella.sp.","Hydatophylax.sp.","Hydraena.sp.","Hydrobius.sp.","Hydroporus.sp.","Hydropsyche.betteni","Hydroptila.sp.","Ischnura.sp.","Isonychia.sp.","Iswaeon.anoka","Labrundinia.sp.","Laevapex.fuscus","Larsia.sp.","Lepidostoma.sp.","Lestes.sp.","Leucrocuta.sp.","Leuctra.sp.","Limnodrilus.claparedeianus","Limnodrilus.hoffmeisteri","Limnodrilus.sp.","Limnophyes.sp.","Lumbriculus.sp.","Lype.diversa","Lype.sp.","Maccaffertium.modestum","Maccaffertium.sp.","Maccaffertium.vicarium","Macronychus.glabratus","Macropelopia.sp.","Microcylloepus.pusillus","Micromenetus.dilatatus","Micropsectra.sp.","Micropsectra/Tanytarsus.Complex","Microtendipes.pedellus.gr.","Microtendipes.rydalensis.gr.","Musculium.transversum","Mystacides.sepulchralis","Mystacides.sp.","Nais.sp.","Nanocladius.sp.","Natarsia.sp.","Neoplasta.sp.","Neoplea.sp.","Neoporus.sp.","Neureclipsis.sp.","Nigronia.serricornis","Odontomyia.sp.","Oecetis.sp.","Ophidonais.serpentina","Optioservus.ovalis","Optioservus.sp.","Optioservus.trivittatus","Orconectes.sp.","Orthocladius.sp.","Oulimnius.sp.","Oxyethira.sp.","Pagastia.orthogonia","Parachironomus.sp.","Parakiefferiella.sp.","Paraleptophlebia.sp.","Parametriocnemus.sp.","Paraphaenocladius.sp.","Paratanytarsus.sp.","Paratendipes.sp.","Pelocoris.sp.","Peltodytes.sp.","Pericoma.sp.","Phaenopsectra.sp.","Physella.sp.","Pisidium.sp.","Plauditus.sp.","Polycentropus.sp.","Polypedilum.aviceps","Polypedilum.braseniae","Polypedilum.fallax.gr.","Polypedilum.flavum","Polypedilum.halterale.gr.","Polypedilum.illinoense","Polypedilum.scalaenum.gr.","Polypedilum.sp.","Polypedilum.tritum","Pristinella.jenkinae","Probezzia.sp.","Procladius.sp.","Procloeon.sp.","Prodiamesa.olivacea","Promoresia.sp.","Promoresia.tardella","Psectrocladius.psilopterus.gr.","Psephenus.herricki","Pseudochironomus.sp.","Pseudocloeon.sp.","Ptilostomis.sp.","Pycnopsyche.sp.","Rheocricotopus.sp.","Rheotanytarsus.exiguus.gr.","Rheotanytarsus.pellucidus","Rheotanytarsus.sp.","Rhyacophila.carolina?","Rhyacophila.fuscula","Saetheria.sp.","Sialis.sp.","Simulium.sp.","Sparbarus.sp.","Sphaerium.sp.","Stagnicola.sp.","Stempellinella.sp.","Stenacron.sp.","Stenelmis.sp.","Stenochironomus.sp.","Stenonema.femoratum","Stictochironomus.sp.","Stylaria.lacustris","Stylurus.sp.","Tabanus.sp.","Tallaperla.sp.","Tanypus.sp.","Tanytarsus.sp.","Thienemanniella.sp.","Thienemannimyia.gr..spp.","Tipula.sp.","Triaenodes.sp.","Tribelos/Endochironomus/Phaenopsectra.Co","Tricorythodes.sp.","Trissopelopia.sp.","Tropisternus.sp.","Tvetenia.bavarica.gr.","Tvetenia.vitracies","Undet..Tubificidae.w/.cap..setae","Undet..Tubificidae.w/o.cap..setae","Undetermined.Aeshnidae","Undetermined.Calopterygidae","Undetermined.Ceratopogonidae","Undetermined.Coenagrionidae","Undetermined.Corduliidae","Undetermined.Corixidae","Undetermined.Culicidae","Undetermined.Dolichopodidae","Undetermined.Dytiscidae","Undetermined.Empididae","Undetermined.Enchytraeidae","Undetermined.Ephemerellidae","Undetermined.Ephydridae","Undetermined.Erpobdellidae","Undetermined.Glossiphoniidae","Undetermined.Gomphidae","Undetermined.Heptageniidae","Undetermined.Hirudinea","Undetermined.Hydrobiidae","Undetermined.Hydrophilidae","Undetermined.Hydropsychidae","Undetermined.Lepidoptera","Undetermined.Leptophlebiidae","Undetermined.Libellulidae","Undetermined.Lumbricina","Undetermined.Lymnaeidae","Undetermined.Muscidae","Undetermined.Naididae","Undetermined.Orthocladiinae","Undetermined.Perlodidae","Undetermined.Physidae","Undetermined.Pisidiidae","Undetermined.Planorbidae","Undetermined.Scirtidae","Undetermined.Simuliidae","Undetermined.Sisyridae","Undetermined.Tabanidae","Undetermined.Tanypodinae","Undetermined.Turbellaria","Undetermined.Unionidae","Unniella.multivirga","Viviparus.georgianus","Xylotopus.par","Zavrelimyia.sp."
"01-BUFC-37.8",0,0,0,0,0,0,0,0,0,0,0,0,6,0,45,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,6,0,4,0,28,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,34,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,2,0,0,0,6,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01-VBUR-0.4",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,56,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,0,28,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
"02-BLBA-0.4",0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,3,0,56,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,7,1,0,0,0,0,0,19,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02-CASS-25.6",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,10,0,16,0,0,0,0,0,52,0,35,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02-CASS-33.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,41,0,0,0,0,0,2,1,0,0,0,1,0,0,0,5,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"02-RAWS-0.8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,14,2,21,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,61,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,4,6,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,1,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
"02-WANG_W-0.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,33,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,4,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"03-BEEK-4.5",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"05-CBRO-1.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05-STEO-35.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,1,0,3,3,5,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,95,7,0,0,0,0,0,0,0,1,0,1,6,1,0,0,0,0,0,0,0,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
