metric,corrscore,"alkalinity, total (as caco3)",aluminum,arsenic,cadmium,calcium,chloride (as cl),copper,hardness (as caco3),iron,lead,magnesium,nickel,nitrate+nitrite as nitrogen,nitrogen,"nitrogen, ammonia (as n)","nitrogen, kjeldahl, total","nitrogen, nitrate (as n)","nitrogen, nitrite","phosphorus, total (as p)"
dom_4_ttaxa,4.234960901777551,0.14263565891472868,0.25214940098661026,0.12471466930217183,-0.03341948757207679,0.17618040873854826,0.36504580690627203,0.34102049964907394,0.1509566934232938,0.19063391956583084,0.33255444061621675,0.05186934003713549,0.30465325614343863,0.21086757399610054,0.389587275744824,0.3169868368881372,0.242876278563859,0.1986036284234922,0.31825972677970277,0.15878497467019204
dom_5_ttaxa,4.162289976691958,0.128400281888654,0.2515856236786469,0.12464207636311352,-0.03642123795280226,0.16490486257928116,0.36152219873150104,0.34689522254218824,0.1354522711295848,0.19598999272183942,0.33158402361778555,0.033475457225053476,0.30895706545903606,0.20241031835454573,0.3913672290320648,0.31451534228107886,0.24332151463821988,0.19077514733151504,0.31596001778946303,0.15695256928118848
margalef_ttaxa,2.622768466460766,-0.002959830866807611,-0.19337561663143057,-0.05662249246547964,-0.03862252156533426,-0.03861874559548978,-0.3178294573643411,-0.3658089645395318,-0.021212868683665467,-0.18866062945572243,-0.30620388673573984,0.05764826107388156,-0.31389586303431183,0.028190852138516118,-0.2854600084412388,-0.25399903147396513,-0.2313001406304762,0.03131392436790857,-0.0662916113273462,-0.05905983523019126
menhinick_ttaxa,1.7531043739455747,-0.034813248766737144,-0.052149400986610285,0.04457206458180064,0.06633868341403269,-0.07512332628611698,-0.30486257928118393,-0.2337709853686824,-0.04848655699123535,-0.09972162520726456,-0.15377377052062996,0.042355262720541346,-0.21130998197072687,-0.0623722603564669,-0.16086327833438477,-0.22003363415982077,-0.06656279311695128,-0.0557867436374227,-0.11278572786915009,-0.013954471808565478
pct_gatherer,2.5125880014085524,0.20973254884580872,0.22241798526793424,0.0966972021162146,-0.17220648149618473,0.17752563526296783,0.11113851798717755,0.12065099953856093,0.17576996264712097,0.24547184438649652,-0.012615865521105985,0.11544153922052292,0.26469359983888985,0.10233639926007532,0.10479474978630046,0.21990015445289576,0.13379344034544388,0.10008113616450227,-0.004899552666764709,0.30186418597169595
pct_rich_ttaxa_coe,1.754076860178443,0.03238097051089251,0.005220461476701625,-0.02009319905594454,-0.06650908454498992,0.011075843943812906,-0.04733688717387555,-0.1796914907932524,-3.88020944495621e-4,-0.2150694271445274,-0.16451037935766336,-0.013192712112851114,-0.14659038822246115,-0.061591676721401555,-0.3556001684063313,-0.1540311025479843,-0.16765066384513636,-0.06410618724992638,-0.14473478189169775,-0.0016579660973114966
pct_rich_ttaxa_cot,2.9657492296187264,-0.15831603284730775,-0.04414513878058558,-0.1669303688614065,-0.009712163895771527,-0.11974192595756282,0.01219985464703084,-0.14542514128603612,-0.1327574315354893,-0.3541608611799348,-0.22185153656094794,-0.1392101831878119,-0.30750497965990436,0.061638291691202246,-0.37285690795015763,-0.26282527926619986,-0.4937061409711922,0.0509192282044375,0.006203369996641679,-0.16756588221773058
pct_rich_ttaxa_cote,3.1387263277582376,-0.09587255073347477,0.035388250344267895,-0.15278400305030504,0.004754279374879249,-0.10553030032942039,-0.10560079485201854,-0.2258185976340069,-0.11247797415825748,-0.22611914892673826,-0.1483715655937506,-0.10444131539671482,-0.29910378431088536,-0.0488913970257509,-0.4683882921957542,-0.36356624963905354,-0.3186323663819133,-0.05897915890505733,-0.1672318866353095,-0.17705947170897388
pct_rich_ttaxa_cte,2.6434687468840097,-0.05565158220191548,0.06841829497573894,-0.1471666946548658,0.007010262298418033,-0.08076180180125885,-0.11257278224874159,-0.24114780281859394,-0.07882488540057549,-0.19584545352545668,-0.0669057651067825,-0.057910721175724815,-0.2977897159968152,-0.013755162710099172,-0.38168483307090173,-0.37373689879427796,-0.2251700607451259,-0.022870857432410015,-0.17333084050209643,-0.19377144597252524
pct_rich_ttaxa_insecta,6.734624404531258,-0.28076859205259885,-0.27773668611129754,-0.23114923275550076,0.08764741946761503,-0.3394324465447541,-0.5460956166367097,-0.6178889995586975,-0.34022003862250927,-0.22172474848673168,-0.234068891853993,-0.2773939133556376,-0.5439080583799583,-0.32782149196688737,-0.6798754013145596,-0.5705813825691676,-0.40427664801340263,-0.3298874602250412,-0.29171733042699205,-0.3077248851244346
