"","metric","disturbance","barbour","de_thresh","de","bde_thresh","bde"
"1","shannon_ttaxa_toe","decrease",3,1.7525772595212,80,1.70104908337411,80
"2","rich_ttaxa_ep","decrease",3,2,73.3333333333333,1.52,78.3333333333333
"3","rich_ttaxa_ephemeroptera","decrease",3,2,76.6666666666667,1.52,78.3333333333333
"4","rich_ttaxa_ept","decrease",2,3,70,2.56,78.3333333333333
"5","rich_ttaxa_et","decrease",2,3,70,2.56,78.3333333333333
"6","rich_ttaxa_toe","decrease",3,5,76.6666666666667,4.46,78.3333333333333
"7","margalef_ttaxa","decrease",3,12.8557974949345,76.6666666666667,12.2557206796825,76.6666666666667
"8","pielou_ttaxa","decrease",3,1.48746942600922,76.6666666666667,1.47522905797289,76.6666666666667
"9","rich_ttaxa","decrease",3,30.75,76.6666666666667,29.56,76.6666666666667
"10","shannon_ttaxa_cote","decrease",3,2.11048115924521,76.6666666666667,2.03982898702617,76.6666666666667
"11","shannon_ttaxa_cte","decrease",3,1.83369335574079,76.6666666666667,1.72266458838376,76.6666666666667
"12","shannon_ttaxa_ephemeroptera","decrease",3,0.515674322001713,80,0.314303653253579,76.6666666666667
"13","shannon_ttaxa_ept","decrease",3,1.29967448314904,76.6666666666667,1.27516742884562,76.6666666666667
"14","shannon_ttaxa_et","decrease",3,1.29967448314904,76.6666666666667,1.26164696559694,76.6666666666667
"15","shannon_ttaxa_intolerant","decrease",3,0.993448195401572,76.6666666666667,0.959881805045715,76.6666666666667
"16","shannon_ttaxa_potec","decrease",3,2.11048115924521,76.6666666666667,2.03982898702617,76.6666666666667
"17","pct_ep","decrease",3,1.40028521281264,73.3333333333333,1.28429985855728,75
"18","pct_gammarus","increase",1,0,70,0.17163504968383,75
"19","pct_odonata","decrease",2,1.1825985871412,56.6666666666667,1.72052191203976,75
"20","rich_genus","decrease",3,29.25,76.6666666666667,29.66,75
"21","rich_ttaxa_coe","decrease",2,5,70,4.48,75
"22","rich_ttaxa_insecta","decrease",3,22.25,76.6666666666667,22.06,75
"23","rich_ttaxa_intolerant","decrease",3,2.25,76.6666666666667,2.54,75
"24","shannon_ttaxa_coe","decrease",3,1.61999934737348,76.6666666666667,1.59122751624147,75
"25","simpson_ttaxa_potec","increase",3,0.298194444444444,76.6666666666667,0.289416855631141,75
"26","pct_gammaridae","increase",1,0,70,0.17163504968383,73.3333333333333
"27","pct_pisciforma","decrease",2,0.466208101321105,70,0.463211189626284,73.3333333333333
"28","pct_rich_ttaxa_ep","decrease",2,5.71428571428571,70,5.49477351916376,73.3333333333333
"29","pct_rich_ttaxa_gammaridae","increase",1,0,70,0.907001044932079,73.3333333333333
"30","rich_ttaxa_cote","decrease",2,7,70,6.64,73.3333333333333
"31","rich_ttaxa_gammaridae","increase",1,0,70,0.48,73.3333333333333
"32","rich_ttaxa_potec","decrease",2,7,70,6.64,73.3333333333333
"33","simpson_ttaxa_gammaridae","increase",1,0,70,0.48,73.3333333333333
"34","dom_4_ttaxa","increase",2,68.3503836317136,70,65.928123003444,73.3333333333333
"35","dom_5_ttaxa","increase",2,72.4422003720436,73.3333333333333,70.3097379140135,73.3333333333333
"36","gini_simpson_ttaxa_ept","decrease",3,0.544442148760331,73.3333333333333,0.542980555555556,73.3333333333333
"37","gini_simpson_ttaxa_et","decrease",3,0.544442148760331,73.3333333333333,0.542980555555556,73.3333333333333
"38","gini_simpson_ttaxa_toe","decrease",3,0.620083327448626,73.3333333333333,0.618421235160731,73.3333333333333
"39","menhinick_ttaxa","decrease",2,2.1419826907288,73.3333333333333,2.17259086393567,73.3333333333333
"40","pct_baetidae","decrease",1,0.113122171945701,70,0.451012801814941,73.3333333333333
"41","pct_ephemeroptera","decrease",2,1.06805929919137,73.3333333333333,1.23516136312345,73.3333333333333
"42","pct_intolerant","decrease",2,2.4392964119559,70,2.56226913305633,73.3333333333333
"43","pct_rich_ttaxa_amphipoda","increase",2,3.25757575757576,73.3333333333333,3.18460586779781,73.3333333333333
"44","pct_rich_ttaxa_baetidae","decrease",1,0.694444444444444,70,2.77272727272727,73.3333333333333
"45","pct_rich_ttaxa_insecta","decrease",2,72.5877192982456,73.3333333333333,72.8189987163029,73.3333333333333
"46","rich_family","decrease",2,15.25,73.3333333333333,15.5,73.3333333333333
"47","shannon_ttaxa_cot","decrease",2,1.70953661471751,60,1.87571948068807,73.3333333333333
"48","simpson_ttaxa_baetidae","decrease",2,0.09375,70,0.363854875283447,73.3333333333333
"49","simpson_ttaxa_coe","increase",2,0.354136822773186,73.3333333333333,0.343822222222222,73.3333333333333
"50","simpson_ttaxa_cote","increase",3,0.310181947069943,73.3333333333333,0.311321768707483,73.3333333333333
"51","simpson_ttaxa_toe","increase",2,0.34666955017301,73.3333333333333,0.338306574707445,73.3333333333333
"52","pct_ablabesmyia","decrease",1,0,0,0.203263171005106,71.6666666666667
"53","rich_ttaxa_baetidae","decrease",1,0.25,70,0.52,71.6666666666667
"54","dom_3_ttaxa","increase",2,62.7352613286117,66.6666666666667,60.3379916734324,70
"55","pct_anisoptera","decrease",1,0,0,0.412234509390907,70
"56","pct_cte","decrease",2,6.43963589907378,66.6666666666667,7.43350535996673,70
"57","pct_elmidae","decrease",2,0.933523475208425,70,0.962275974432886,70
"58","pct_furcatergalia","decrease",1,0,0,0.177778861630005,70
"59","pct_rich_ttaxa_ephemeroptera","decrease",2,4.96031746031746,66.6666666666667,5.71428571428571,70
"60","pct_rich_ttaxa_intolerant","decrease",2,7.14285714285714,70,7.5219273480143,70
"61","pct_toe","decrease",1,5.53043940757712,63.3333333333333,6.32376388703706,70
"62","rich_ttaxa_chironominae","decrease",2,7,63.3333333333333,7.52,70
"63","rich_ttaxa_coleoptera","decrease",2,2,63.3333333333333,1.56,70
"64","rich_ttaxa_cte","decrease",2,5,70,5.08,70
"65","rich_ttaxa_elmidae","decrease",2,1,53.3333333333333,1.52,70
"66","rich_ttaxa_odonata","decrease",1,1,26.6666666666667,1.52,70
"67","rich_ttaxa_predator","decrease",2,6.25,56.6666666666667,7.44,70
"68","rich_ttaxa_scraper","decrease",2,1.25,56.6666666666667,2.52,70
"69","rich_ttaxa_shredder","decrease",2,3,53.3333333333333,3.52,70
"70","rich_ttaxa_tol_0to7","decrease",2,19,70,19.46,70
"71","shannon_ttaxa","decrease",2,3.28314822201807,70,3.29919057566099,70
"72","shannon_ttaxa_diptera","decrease",2,2.67268461884275,63.3333333333333,2.84753485859543,70
"73","shannon_ttaxa_elmidae","decrease",1,0,0,0.190755953626324,70
"74","shannon_ttaxa_insecta","decrease",2,3.44464247166302,70,3.53087240706351,70
"75","shannon_ttaxa_odonata","decrease",1,0,0,0.179650626049338,70
"76","simpson_ttaxa_cot","increase",2,0.342222222222222,63.3333333333333,0.297989374362972,70
"77","pct_calopterygidae","decrease",1,0,0,0.12093023255814,68.3333333333333
"78","pct_rich_ttaxa_calopterygidae","decrease",1,0,0,0.464285714285714,68.3333333333333
"79","rich_ttaxa_calopterygidae","decrease",1,0,0,0.26,68.3333333333333
"80","simpson_ttaxa_calopterygidae","decrease",1,0,0,0.26,68.3333333333333
"81","dom_2_ttaxa","increase",2,53.3301279849807,60,50.3404905757459,68.3333333333333
"82","pct_coe","decrease",2,6.07054236086494,60,8.65376379800932,68.3333333333333
"83","pct_coleoptera","decrease",2,1.41178826513584,63.3333333333333,1.90192863085629,68.3333333333333
"84","pct_polyphaga","decrease",2,1.04691368564842,66.6666666666667,1.37220247375163,68.3333333333333
"85","pct_rich_ttaxa_scraper","decrease",1,5.37593984962406,43.3333333333333,7.05228758169935,68.3333333333333
"86","rich_ttaxa_facultative","decrease",2,17,60,18.16,68.3333333333333
"87","simpson_ttaxa","increase",2,0.18502181268757,60,0.166289930897632,68.3333333333333
"88","simpson_ttaxa_insecta","increase",2,0.178759814049587,56.6666666666667,0.137262099214613,68.3333333333333
"89","pct_aeshnidae","decrease",1,0,0,0.162057227954473,66.6666666666667
"90","pct_microtendipes","decrease",1,0,0,0.157630761882016,66.6666666666667
"91","pct_rich_ttaxa_aeshnidae","decrease",1,0,0,0.964285714285714,66.6666666666667
"92","rich_ttaxa_aeshnidae","decrease",1,0,0,0.52,66.6666666666667
"93","simpson_ttaxa_aeshnidae","decrease",1,0,0,0.288888888888889,66.6666666666667
"94","pct_cot","decrease",1,7.08385495841903,63.3333333333333,9.33783467824827,66.6666666666667
"95","pct_dubiraphia","decrease",0,0,0,0.144441659355809,66.6666666666667
"96","pct_physidae","increase",1,0.475626269465132,63.3333333333333,0.237184802224065,66.6666666666667
"97","pct_predator","decrease",2,7.52938207513159,53.3333333333333,9.36682477590787,66.6666666666667
"98","pct_rich_ttaxa_bivalvia","increase",2,3.43614718614719,66.6666666666667,2.95258294197849,66.6666666666667
"99","pct_rich_ttaxa_clitellata","increase",2,10.4588394062078,56.6666666666667,8.19717563138616,66.6666666666667
"100","pct_rich_ttaxa_coe","decrease",2,17.3214285714286,63.3333333333333,17.9965448263321,66.6666666666667
"101","pct_rich_ttaxa_cote","decrease",2,20.7983193277311,63.3333333333333,23.8689370485036,66.6666666666667
"102","pct_rich_ttaxa_physidae","increase",1,2.31762917933131,60,1.02941176470588,66.6666666666667
"103","pct_rich_ttaxa_potec","decrease",2,20.7983193277311,63.3333333333333,24.1145510835913,66.6666666666667
"104","pct_rich_ttaxa_tolerant","increase",2,32.1428571428571,50,28.1409523809524,66.6666666666667
"105","pct_scraper","decrease",2,1.96889180797707,66.6666666666667,2.35913688049641,66.6666666666667
"106","rich_ttaxa_chironomidae","decrease",2,10,53.3333333333333,11.64,66.6666666666667
"107","rich_ttaxa_diptera","decrease",2,11,50,13.4,66.6666666666667
"108","rich_ttaxa_filterer","decrease",0,4,43.3333333333333,4.56,66.6666666666667
"109","rich_ttaxa_physidae","increase",0,1,0,0.48,66.6666666666667
"110","rich_ttaxa_pt","decrease",0,1,40,1.52,66.6666666666667
"111","shannon_ttaxa_chironomidae","decrease",2,2.51017156677384,50,2.67100685733124,66.6666666666667
"112","shannon_ttaxa_facultative","decrease",2,2.51773964258161,50,3.09868089453928,66.6666666666667
"113","shannon_ttaxa_predator","decrease",2,1.95433669537884,60,2.21874875080073,66.6666666666667
"114","shannon_ttaxa_shredder","decrease",1,0.865486088031186,50,1.03512704596426,66.6666666666667
"115","simpson_ttaxa_cte","increase",1,0.36199112335476,63.3333333333333,0.336621673525377,66.6666666666667
"116","simpson_ttaxa_naididae","increase",1,0.68,46.6666666666667,0.513095228383761,66.6666666666667
"117","simpson_ttaxa_physidae","increase",0,1,0,0.48,66.6666666666667
"118","simpson_ttaxa_tubificida","increase",1,0.68,46.6666666666667,0.513095228383761,66.6666666666667
"119","pct_caenidae","decrease",1,0,0,0.0822784810126582,65
"120","pct_cote","decrease",1,9.05283656327718,63.3333333333333,10.6900875556131,65
"121","pct_gatherer","increase",2,61.8557422969188,56.6666666666667,56.360620253352,65
"122","pct_rich_ttaxa_caenidae","decrease",1,0,0,0.464285714285714,65
"123","pct_rich_ttaxa_cte","decrease",2,16.9642857142857,60,19.4505153840192,65
"124","pct_thienemannimyia","decrease",1,0,0,0.675777599113703,65
"125","pct_trichoptera","decrease",1,0.558724246304272,56.6666666666667,0.882923385781746,65
"126","rich_ttaxa_caenidae","decrease",1,0,0,0.26,65
"127","rich_ttaxa_cot","decrease",2,5,66.6666666666667,5,65
"128","rich_ttaxa_gatherer","decrease",2,9.25,56.6666666666667,11.6,65
"129","rich_ttaxa_trichoptera","decrease",0,1,40,1.52,65
"130","shannon_ttaxa_trichoptera","decrease",1,0,0,0.32,65
"131","simpson_ttaxa_caenidae","decrease",1,0,0,0.220277777777778,65
