"","metric","disturbance","barbour","de_thresh","de","bde_thresh","bde"
"1","margalef_ttaxa","decrease",3,13.2300873542419,83.3333333333333,12.231947696418,83.3333333333333
"2","rich_ttaxa","decrease",3,31.5,83.3333333333333,29.78,83.3333333333333
"3","menhinick_ttaxa","decrease",3,2.21633226590042,80,2.06105509065438,81.6666666666667
"4","rich_ttaxa_toe","decrease",3,5,86.6666666666667,3.98,81.6666666666667
"5","rich_genus","decrease",3,30,83.3333333333333,29.02,80
"6","rich_ttaxa_ept","decrease",3,3,76.6666666666667,2.56,80
"7","rich_ttaxa_et","decrease",3,3,76.6666666666667,2.56,80
"8","rich_ttaxa_tol_0to7","decrease",3,22.25,86.6666666666667,20.72,80
"9","shannon_ttaxa_cte","decrease",3,1.83369335574079,80,1.57951931451714,80
"10","shannon_ttaxa_toe","decrease",3,1.64663558892502,90,1.48483908153189,80
"11","rich_ttaxa_ep","decrease",3,2,80,1.52,78.3333333333333
"12","rich_ttaxa_insecta","decrease",3,23.5,80,22.6,78.3333333333333
"13","simpson_ttaxa_toe","increase",3,0.359100346020761,80,0.364897959183673,78.3333333333333
"14","dom_5_ttaxa","increase",3,68.0454940596928,76.6666666666667,68.4321380697761,76.6666666666667
"15","shannon_ttaxa_cot","decrease",3,1.88024740157285,76.6666666666667,1.86986601857883,76.6666666666667
"16","shannon_ttaxa_cote","decrease",3,2.11048115924521,80,1.92112786796552,76.6666666666667
"17","shannon_ttaxa_potec","decrease",3,2.11048115924521,80,1.92112786796552,76.6666666666667
"18","pct_rich_ttaxa_insecta","decrease",2,72.0238095238095,70,72.8194014447884,76.6666666666667
"19","shannon_ttaxa","decrease",3,3.59624025125033,73.3333333333333,3.54091792445534,75
"20","shannon_ttaxa_coe","decrease",3,1.57805491722524,73.3333333333333,1.64056291681667,75
"21","dom_4_ttaxa","increase",3,64.3614560928791,73.3333333333333,64.2864493298645,73.3333333333333
"22","shannon_ttaxa_insecta","decrease",2,3.41178916614968,73.3333333333333,3.40597653796709,73.3333333333333
"23","simpson_ttaxa_cote","increase",2,0.345219852126934,73.3333333333333,0.341375709750567,73.3333333333333
"24","simpson_ttaxa_potec","increase",2,0.333154830482881,73.3333333333333,0.316971972789116,73.3333333333333
"25","dom_3_ttaxa","increase",2,59.1845188779737,70,57.5892264618292,71.6666666666667
"26","pct_rich_ttaxa_cote","decrease",2,20.7983193277311,66.6666666666667,21.0633497536946,71.6666666666667
"27","pct_rich_ttaxa_potec","decrease",2,20.7983193277311,66.6666666666667,21.0633497536946,71.6666666666667
"28","shannon_ttaxa_predator","decrease",2,2.21432662771066,66.6666666666667,2.25035839968689,71.6666666666667
"29","shannon_ttaxa_shredder","decrease",2,1.08919491236176,70,1.36487854565048,70
"30","shannon_ttaxa_facultative","decrease",2,2.87248565842515,66.6666666666667,3.03603606173962,68.3333333333333
"31","pct_rich_ttaxa_coleoptera","decrease",2,5.71428571428571,66.6666666666667,5.774472653783,66.6666666666667
