"","metric","disturbance","barbour","de_thresh","de","bde_thresh","bde"
"1","shannon_ttaxa_toe","decrease",3,1.67487706901365,90,1.39772818658984,86.8817204301075
"2","rich_ttaxa_toe","decrease",3,5,86.6666666666667,3.48,85.2150537634409
"3","shannon_ttaxa_potec","decrease",3,2.01302622528755,86.6666666666667,1.86344404744538,83.6021505376344
"4","margalef_ttaxa","decrease",3,12.5736609217594,83.3333333333333,12.0944321927695,80.3763440860215
"5","rich_ttaxa","decrease",3,30,83.3333333333333,29.78,80.3763440860215
"6","shannon_ttaxa_cot","decrease",3,1.88052985441859,83.3333333333333,1.83582187122774,80.3763440860215
"7","pct_rich_ttaxa_toe","decrease",3,14.4957983193277,80,14.1436781609195,80.3225806451613
"8","rich_ttaxa_cot","decrease",3,5,80,4.6,80.3225806451613
"9","shannon_ttaxa_coe","decrease",3,1.66214469299529,90,1.42085133408797,80.3225806451613
"10","shannon_ttaxa_cote","decrease",3,2.01005371213729,86.6666666666667,1.78676397530906,80.3225806451613
"11","rich_ttaxa_tol_0to7","decrease",3,17.5,80,16.8,80.2688172043011
"12","rich_genus","decrease",3,29,80,28.78,78.7096774193548
"13","pct_rich_ttaxa_insecta","decrease",3,72.953216374269,73.3333333333333,73.129907773386,77.0967741935484
"14","menhinick_ttaxa","decrease",3,2.1082284868089,80,1.9433802238982,77.0430107526882
"15","pct_rich_ttaxa_coe","decrease",3,16.4661654135338,76.6666666666667,15.2,77.0430107526882
"16","rich_ttaxa_insecta","decrease",3,22.5,80,21.52,77.0430107526882
"17","shannon_ttaxa_cte","decrease",3,1.72312717622723,86.6666666666667,1.3648325927906,77.0430107526882
"18","simpson_ttaxa_potec","increase",3,0.314691655601416,76.6666666666667,0.331746031746032,77.0430107526882
"19","simpson_ttaxa_coe","increase",3,0.368007256235828,76.6666666666667,0.3913,76.989247311828
"20","dom_5_ttaxa","increase",3,68.6699381811229,76.6666666666667,68.3508273529164,75.4301075268817
"21","simpson_ttaxa_cote","increase",3,0.32885536741672,76.6666666666667,0.31984693877551,75.4301075268817
"22","pct_rich_ttaxa_cote","decrease",2,21.4285714285714,73.3333333333333,20.8888888888889,75.3763440860215
"23","pct_rich_ttaxa_cte","decrease",3,16.6666666666667,73.3333333333333,16.0459770114943,75.3763440860215
"24","pct_rich_ttaxa_potec","decrease",2,21.4285714285714,73.3333333333333,20.8888888888889,75.3763440860215
"25","rich_ttaxa_coleoptera","decrease",3,2,73.3333333333333,1.52,75.3763440860215
"26","shannon_ttaxa","decrease",2,3.36622396849009,70,3.43630467734974,73.763440860215
"27","shannon_ttaxa_insecta","decrease",2,3.31021855950906,70,3.39068290011445,73.763440860215
"28","rich_family","decrease",2,14,66.6666666666667,14.6,72.1505376344086
"29","rich_ttaxa_chironominae","decrease",2,7,66.6666666666667,7.58,72.1505376344086
"30","rich_ttaxa_scraper","decrease",2,2,66.6666666666667,1.56,72.0430107526882
"31","pct_rich_ttaxa_cot","decrease",2,15.2476780185759,70,15.824649859944,70.4838709677419
"32","dom_4_ttaxa","increase",2,64.7058823529412,70,64.124218335983,68.8709677419355
"33","rich_ttaxa_chironomidae","decrease",2,11.5,66.6666666666667,12.4,68.8709677419355
"34","pct_gatherer","increase",2,56.0830375490379,66.6666666666667,53.6311664549209,68.8172043010753
