"macrophyte_pct","spcond","ph","landcover_nat_pct","landcover_dev_pct","landcover_ag_pct","habitat_total_score"
"nbr.val",158,158,158,158,158,158,158
"nbr.null",21,0,0,0,0,14,0
"nbr.na",0,0,0,0,0,0,0
"min",0,17.6,4.35,0.264324030164036,0.0903639201511542,0,26
"max",100,2743,8.8,99.2988011762045,99.6268366632978,88.8520971302428,188
"range",100,2725.4,4.45,99.0344771460405,99.5364727431466,88.8520971302428,162
"sum",4560.93333333333,83399.6,1142.67,8463.79674375096,3198.12784034001,3960.54483636579,21327.96967331
"median",20,403.5,7.36,49.2389313577941,5.68622961450851,19.6443119325156,136
"mean",28.8666666666667,527.845569620253,7.23208860759494,53.5683338212086,20.2413154451899,25.0667394706696,134.987149831076
"SE.mean",2.07307574472081,39.7563569903484,0.0514646445746536,2.16587645908305,2.26397727080942,1.83293709827008,2.19125882785508
"CI.mean.0.95",4.09471674520946,78.5263254907403,0.101652408245444,4.27801571054354,4.47178337075447,3.62039749310411,4.32815069027527
"var",679.027600849257,249729.731540756,0.418480323308877,741.181292089604,809.843707073181,530.826028181931,758.655209603149
"std.dev",26.0581580478985,499.729658456206,0.646900551328314,27.2246449396425,28.4577530222114,23.0396620674421,27.5436963678289
"coef.var",0.90270755362235,0.946734589087724,0.089448648437321,0.508222731558319,1.40592409121187,0.919132785275112,0.204046802990486
