BAS_LOC_RM	LG_reg_v2	COND	LU_pct_nat_wetlnd
08-BENE-0.2	Adirondacks	17.6	98.451491
12-TEET-0.8	Adirondacks	18	99.3
08-MURM-3.4	Adirondacks	48	90.38836407
08-BLAC-2.5	Adirondacks	59	88.92
17-PECN-8.9	Long Island	63	58.55
09-PLMB-12.4	Adirondacks	65	96.82
08-BARE_T5-0.5	Adirondacks	70	92.2
10-NSAR_T7-0.8	Adirondacks	71	99.14
10-MILC-6.3	Adirondacks	82	95.94
06-NING-7.7	Southern Tier	84	88.73
03-SAND_T21-4.0	Adirondacks	95	94.55
03-LSAM_N-7.9	Adirondacks	97	94.48
09-ENGL-17.6	Adirondacks	111	93.78
07-LITR-0.2	Adirondacks	119	89.28960792
10-TWOB-3.6	Adirondacks	120	90.49
17-TERR-0.2	Long Island	127	37.37
05-CAMB-11.2	Southern Tier	136	53.97
10-PUTM_T5-0.3	Adirondacks	136	95.1
14-HURL-2.8	Hudson Valley	147	77.66
16-BOGH-0.3	Hudson Valley	161	96.38
09-BLCH-0.2	Adirondacks	164	97.59
10-COLW-0.7	Adirondacks	166	93.57
13-BASC_T17-2.4	Hudson Valley	175	83.99044205
17-NISS-4.7	Long Island	179	12.99
17-CARM-9.0	Long Island	202	28.75
14-WLAK-5.8	Hudson Valley	208	80.88
06-MADB-0.1	Southern Tier	211	66.79
09-PIKC-8.7	Adirondacks	211	90.64
09-FARR-3.1	Adirondacks	213	74.02
17-CARM-12.9	Long Island	218	25.66
17-GREN-0.8	Long Island	230	1.17
16-SWEL-0.1	Hudson Valley	233.6	61.67307437
13-IDNK-0.5	Hudson Valley	236	82.20159583
17-CARL-0.8	Long Island	240	11.87
11-TOMH-12.2	Hudson Valley	245	76.28672528
16-WEBA-23.3	Hudson Valley	258	57.67
17-SAMP-2.1	Long Island	262	13.99
17-BVDC-0.4	Long Island	275	45.44
01-STYB_T5-0.3	Southern Tier	282	48.02
02-CASS-25.6	Southern Tier	284	70.48312071
09-TRAY-2.9	Adirondacks	284	78.53
12-ALPL_T11-2.1	Hudson Valley	285	78.35
10-ARNO-0.1	Adirondacks	286	69.4
17-BRWN-0.9	Long Island	288	1.09
09-ALLE-1.9	Adirondacks	290	74.65
02-RAWS-0.8	Southern Tier	304	77.2955077
09-BRND-2.5	Adirondacks	309	72.6
11-GORN-6.0	Hudson Valley	310	74.73
10-URIL-0.4	Adirondacks	314	78.38
17-MUDL-1.4	Long Island	320	14.5
