"","metric","disturbance","barbour","de_thresh","de","bde_thresh","bde"
"1","rich_ttaxa_ept","decrease",3,3.5,86.6666666666667,2.6,83.494623655914
"2","rich_ttaxa_et","decrease",3,3.5,86.6666666666667,2.6,83.494623655914
"3","margalef_ttaxa","decrease",3,12.8021998609469,83.3333333333333,12.1603274157769,81.989247311828
"4","menhinick_ttaxa","decrease",3,2.14859461811985,80,2.04997448901332,80.3225806451613
"5","rich_ttaxa","decrease",3,30.5,83.3333333333333,29.6,80.3225806451613
"6","pct_rich_ttaxa_potec","decrease",3,22.8354978354978,80,21.2695099818512,80.2688172043011
"7","rich_genus","decrease",3,30,80,29.88,78.7096774193548
"8","rich_family","decrease",3,15.5,80,15.14,77.0967741935484
"9","shannon_ttaxa_cot","decrease",3,1.78284002465393,76.6666666666667,1.79280681362995,77.0967741935484
"10","rich_ttaxa_intol_facul","decrease",3,19,76.6666666666667,18.86,77.0430107526882
"11","rich_ttaxa_intolerant","decrease",3,3,76.6666666666667,2.46,77.0430107526882
"12","pct_rich_ttaxa_cote","decrease",3,22.8354978354978,80,21.5065134099617,75.4301075268817
"13","pct_rich_ttaxa_toe","decrease",3,15.4704944178628,76.6666666666667,15.6785714285714,75.4301075268817
"14","shannon_ttaxa_intol_facul","decrease",2,2.87425454930525,73.3333333333333,2.89000602060382,73.763440860215
"15","shannon_ttaxa","decrease",2,3.51956957695109,70,3.60866810210693,72.1505376344086
"16","simpson_ttaxa_cot","increase",2,0.371111111111111,70,0.33212144116906,72.1505376344086
"17","dom_5_ttaxa","increase",2,68.6699381811229,70,68.3575217264218,72.0967741935484
"18","pct_rich_ttaxa_bivalvia","increase",2,3.27956989247312,66.6666666666667,3.09130434782609,70.4838709677419
"19","shannon_ttaxa_facultative","decrease",2,2.80843337870318,66.6666666666667,2.90912877226082,70.4838709677419
"20","shannon_ttaxa_insecta","decrease",2,3.44244276301086,70,3.44420824773341,70.4838709677419
"21","rich_ttaxa_chironomidae","decrease",2,11.5,66.6666666666667,11.68,70.4301075268817
"22","dom_3_ttaxa","increase",2,59.8811938568531,66.6666666666667,55.1501400560224,68.8709677419355
"23","dom_4_ttaxa","increase",2,64.6189510286873,66.6666666666667,63.4925759840558,67.2043010752688
"24","rich_ttaxa_chironominae","decrease",2,7,66.6666666666667,7,65.5913978494624
"25","rich_ttaxa_gatherer","decrease",2,10.5,66.6666666666667,11.4,65.5913978494624
